Trial,mri-1.8.7,mri-2.3.3,ruby+omr,rtl-mjit,jruby-1.7.27,jruby-9.1.13,truffleruby-0.30.2
1,94.3828125,42.296875,62.609375,34.10546875,640.72265625,675.125,773.9296875
2,94.3828125,42.296875,62.609375,34.10546875,668.76953125,695.125,808.48828125
3,94.3828125,42.296875,62.609375,34.10546875,696.76953125,695.125,843.0078125
4,94.3828125,42.296875,62.609375,34.10546875,718.46484375,695.125,877.2109375
5,94.3828125,42.296875,62.609375,34.10546875,746.4765625,695.1796875,911.40234375
6,94.3828125,42.296875,62.609375,34.10546875,774.5859375,695.1796875,943.49609375
7,94.3828125,42.296875,62.609375,34.10546875,800.5859375,695.1796875,977.6875
8,94.3828125,42.296875,62.609375,34.10546875,828.5859375,699.1796875,1009.765625
9,94.3828125,42.296875,62.609375,34.10546875,854.5859375,707.1796875,1043.765625
10,94.3828125,42.296875,62.609375,34.10546875,884.4296875,707.24609375,1077.83203125
11,94.3828125,42.296875,62.609375,34.10546875,912.44921875,707.24609375,1109.9296875
12,94.3828125,42.296875,62.609375,34.10546875,938.44921875,707.34375,1144.04296875
13,94.3828125,42.296875,62.609375,34.10546875,966.453125,707.34375,1178.04296875
14,94.3828125,42.296875,62.609375,34.10546875,994.453125,709.34375,1210.046875
15,94.3828125,42.296875,62.609375,34.10546875,1020.453125,709.34375,1244.12109375
16,94.3828125,42.33203125,62.609375,34.10546875,1048.453125,709.34375,1278.12109375
17,94.3828125,42.33203125,62.609375,34.10546875,1074.453125,709.34375,1310.12109375
18,94.3828125,42.33203125,62.609375,34.10546875,1102.453125,709.38671875,1344.12109375
19,94.3828125,42.33203125,62.609375,34.10546875,1130.5234375,709.38671875,1376.12109375
20,94.3828125,42.33203125,62.609375,34.10546875,1156.57421875,709.38671875,1410.359375
21,94.3828125,42.33203125,62.609375,34.10546875,1184.58203125,711.38671875,1444.4609375
22,94.3828125,42.33203125,62.609375,34.10546875,1210.58203125,711.38671875,1476.5546875
23,94.3828125,42.33203125,62.609375,34.10546875,1238.58203125,711.38671875,1510.8515625
24,94.3828125,42.33203125,62.609375,34.10546875,1283.48828125,711.38671875,1544.99609375
25,94.3828125,42.33203125,62.609375,34.10546875,1283.48828125,711.38671875,1577.06640625
26,94.3828125,42.33203125,62.609375,34.10546875,1283.48828125,711.38671875,1611.06640625
27,94.3828125,42.33203125,62.609375,34.10546875,1283.48828125,711.38671875,1645.0703125
28,94.3828125,42.33203125,62.609375,34.10546875,1283.48828125,711.38671875,1679.09765625
29,94.3828125,42.33203125,62.609375,34.10546875,1283.48828125,711.38671875,1713.10546875
30,94.3828125,42.33203125,62.609375,34.10546875,1280.08984375,711.38671875,1745.11328125
31,94.3828125,42.33203125,62.609375,34.10546875,1280.08984375,713.38671875,1779.11328125
32,94.3828125,42.33203125,62.609375,34.10546875,1280.08984375,715.38671875,1813.24609375
33,94.3828125,42.33203125,62.609375,34.10546875,1280.08984375,715.39453125,1845.24609375
34,94.3828125,42.33203125,62.609375,34.10546875,1280.11328125,715.39453125,1879.48046875
35,94.3828125,42.33203125,62.609375,34.10546875,1280.11328125,715.39453125,1911.5234375
