Trial,mri-1.8.7,mri-2.3.3,ruby+omr,rtl-mjit,jruby-1.7.27,jruby-9.1.13,truffleruby-0.30.2
1,6.5766e-05,9.9204e-05,0.000121878,0.000104347,0.000112102,7.5867e-05,6.689e-05
2,8.396374567,2.349726132,2.563941071,2.340465948,0.944942587,1.412636358,0.535985873
3,16.787931266,4.708583512,5.057325712,4.696672169,1.858824283,2.798467615,1.077741439
4,25.154125709,7.079472637,7.524226386,6.983007364,2.738881558,4.180312439,1.598975953
5,33.611531984,9.414968736,10.04463416,9.26480446,3.540393922,5.547758728,2.108678086
6,42.21817735,11.803109802,12.542295669,11.603264467,4.353633293,6.931690281,2.611229867
7,50.591053793,14.165320959,15.04676124,13.953574781,5.175353313,8.313028768,3.092300926
8,58.974018098,16.497305865,17.588322134,16.233360655,5.979448813,9.664213326,3.587526421
9,67.461679747,18.829710853,20.09921011,18.560141463,6.782579166,11.042335672,4.077862643
10,75.853661887,21.188724942,22.617094563,20.841066235,7.599348306,12.417767032,4.558872816
11,84.256998768,23.519607412,25.120497254,23.109250963,8.638236265,13.763810617,5.042704015
12,92.658099569,25.872910714,27.607272993,25.430828178,9.50022986,15.135632703,5.523598988
13,101.092234088,28.212924752,30.146666283,27.712772535,10.350954309,16.505281816,6.008005006
14,109.462647287,30.538471966,32.695697202,29.994748568,11.209409933,17.86214987,6.482477596
15,117.895657161,32.961205311,35.196120332,32.31326658,12.06563253,19.236269398,6.966873243
16,126.335498208,35.354490809,37.7099746,34.613189355,12.932701384,20.613858262,7.452289875
17,134.721543335,37.677220585,40.174902586,36.888868208,13.788388425,21.988327569,7.934940058
18,143.124876087,40.031469905,42.636469299,39.163251825,14.645955126,23.369141056,8.413257444
19,151.60909003,42.36884088,45.159285425,41.438997802,15.492876489,24.731612904,8.89649587
20,159.986118984,44.720283998,47.642980887,43.72770377,16.361479042,26.09192577,9.390746962
21,168.564238254,47.09308501,50.104282438,46.074978566,17.2238762,27.453686608,9.873148696
22,177.304614339,49.438685021,52.637404668,48.389369762,18.086835638,28.825388843,10.376000549
23,185.9578684,51.752906343,55.144964248,50.658311643,18.936829762,30.181544137,10.874309856
24,194.693360112,54.0849765,57.69135599,52.941898123,19.827956321,31.545914767,11.355159045
25,203.449018356,56.40563617,60.149983341,55.218956433,20.747432287,32.9172831,11.848613444
26,212.274425202,58.79583206,62.623818317,57.51183706,21.58022112,34.279615117,12.341329448
27,221.130408406,61.113889735,65.09372437,59.778809344,22.412605998,35.642830028,12.825179265
28,230.11600055,63.46002445,67.593831513,62.126867887,23.266937725,37.00916331,13.293327093
29,238.979602117,65.800663579,70.050887803,64.402375967,24.099150458,38.370390049,13.819129159
30,248.101980948,68.149973961,72.520406717,66.726342682,24.941251324,39.747434996,14.302795915
31,257.038958735,70.494725634,75.012715401,69.013186862,25.784548522,41.127950628,14.780887792
32,265.919205191,72.844643628,77.553339331,71.297355012,26.624667106,42.487166785,15.273706879
33,274.83796074,75.229213078,80.014520847,73.583288747,27.472218837,43.853024517,15.773733643
34,283.810043336,77.584053401,82.529869842,75.872649521,28.315854684,45.234083507,16.255150239
35,292.754448861,79.904219035,85.078539549,78.154650758,29.150340119,46.590390068,16.737916021
36,301.604238079,82.254944421,87.635734714,80.457102044,29.990821613,47.954094021,17.241564588
37,310.53671893,84.641045537,90.102928901,82.762653066,30.836999105,49.335389616,17.724604155
38,319.558236932,87.003131811,92.586600814,85.061093609,31.678520402,50.690526798,18.212073584
39,328.465927678,89.331671326,95.106223816,87.333744997,32.533802385,52.058136117,18.701706282
40,337.186590784,91.675215908,97.569265648,89.619252142,33.374677369,53.424052209,19.190736477
41,345.910960011,94.001075852,100.069677081,91.912510922,34.230341711,54.789937333,19.680713865
42,354.595071844,96.439372759,102.56935973,94.186050285,35.083564267,56.153631923,20.162263336
