Trial,mri-1.8.7,mri-2.3.3,ruby+omr,rtl-mjit,jruby-1.7.27,jruby-9.1.13,truffleruby-0.30.2
1,8.387305859,2.337697437,2.553551929,2.32929667,0.938621684,1.406693779,0.529056735
2,8.391201456,2.343314794,2.479799719,2.346732604,0.895098767,1.36982438,0.530843189
3,8.365637025,2.367407142,2.465272457,2.284174068,0.878014145,1.380668527,0.518985514
4,8.457066563,2.331770819,2.517508004,2.278916607,0.799621955,1.364603481,0.507120513
5,8.606131306,2.385077613,2.494448088,2.336058964,0.812073412,1.382547377,0.500168215
6,8.372533654,2.359373419,2.501250205,2.347583745,0.819503413,1.380134958,0.479466883
7,8.382475971,2.328827697,2.538507777,2.278193033,0.801555892,1.349747628,0.493770042
8,8.487314367,2.329050112,2.507458514,2.324154542,0.800299557,1.376519985,0.48820393
9,8.391631796,2.354750106,2.514549196,2.278285072,0.814777591,1.373998496,0.478878393
10,8.402952951,2.327865105,2.500494618,2.265436784,1.037189181,1.343433352,0.482456738
11,8.400757302,2.350223005,2.483711088,2.318771391,0.859055936,1.368496902,0.479100546
12,8.433786188,2.336876405,2.536085775,2.279283123,0.848440202,1.366465249,0.482649977
13,8.370061657,2.315857657,2.545794442,2.278982412,0.855794614,1.353128281,0.473071707
14,8.432609308,2.420041225,2.496944916,2.315618762,0.852354236,1.365740188,0.482335969
15,8.439418227,2.390002091,2.510643594,2.296447371,0.863654517,1.374094139,0.481345866
16,8.385658266,2.320228299,2.46164022,2.272038289,0.85207179,1.370682684,0.480429665
17,8.402855849,2.351628772,2.458342317,2.270475111,0.854294277,1.376947194,0.47624785
18,8.483748581,2.334636781,2.519560715,2.272149834,0.844656643,1.358387298,0.480598876
19,8.376628521,2.348653454,2.480246785,2.285024734,0.866612191,1.356582055,0.491017976
20,8.57770472,2.37000422,2.457793735,2.343555556,0.858701778,1.358005252,0.47916775
21,8.739955131,2.341786133,2.529569845,2.310779352,0.859553942,1.369764526,0.50003626
22,8.652873945,2.310236838,2.504126567,2.265341608,0.846603547,1.352424391,0.495592185
23,8.735041202,2.327962916,2.542739657,2.279331854,0.887027239,1.360953074,0.477931127
24,8.755115211,2.316771234,2.45548967,2.272969877,0.916055701,1.366977098,0.491104498
25,8.824954348,2.387627638,2.469940797,2.28835482,0.830425168,1.358140504,0.489637199
26,8.855562388,2.313914706,2.466211691,2.262241391,0.830453005,1.35958642,0.481488385
27,8.985177766,2.342085419,2.496377605,2.343163338,0.85080781,1.364611301,0.466084798
28,8.863181442,2.33665447,2.453115634,2.266601585,0.829074714,1.357499072,0.522604759
29,9.121891395,2.345217435,2.46555348,2.320393372,0.838065008,1.373775139,0.480281081
30,8.936546644,2.340892737,2.488459867,2.28276012,0.841242696,1.378600219,0.475239499
31,8.879903436,2.345847131,2.536726465,2.279876753,0.836014439,1.355167641,0.489211284
32,8.918272892,2.380300606,2.457609629,2.282109581,0.843569066,1.361940888,0.496777594
33,8.971610499,2.350660515,2.511647179,2.285370453,0.839578225,1.377113045,0.478290965
34,8.943974233,2.316071014,2.543848554,2.277769122,0.832549547,1.352117496,0.480378207
35,8.849337568,2.346566558,2.552106601,2.297776327,0.836273436,1.359583888,0.501451021
36,8.932062185,2.381794033,2.462389875,2.301087238,0.841837677,1.37702582,0.480704381
37,9.020992031,2.357904968,2.47893665,2.293548831,0.837301362,1.350965616,0.48514538
38,8.907337286,2.324016859,2.514952725,2.267778041,0.851310703,1.364467075,0.484884688
39,8.720158713,2.339379704,2.458170281,2.281180787,0.836077025,1.362757412,0.484003409
40,8.723908925,2.32159018,2.495259322,2.288602877,0.853509147,1.361138127,0.483725993
41,8.683686931,2.434086458,2.49429281,2.268742497,0.848604077,1.358196038,0.476615955
42,8.984183963,2.315168692,2.508910463,2.292390422,0.843230617,1.356911156,0.636669445
43,8.774059341,2.335651881,2.529046005,2.271724052,0.841963037,1.380761763,0.469698102
44,8.694576504,2.331303088,2.47954065,2.261367696,0.85547993,1.363362055,0.456882767
45,8.773842024,2.370922418,2.528390647,2.26446012,0.841780996,1.359332332,0.464541152
46,8.798727944,2.325737575,2.483585477,2.271288251,0.841113084,1.379666677,0.453534677
47,8.802542339,2.34336049,2.471184101,2.275429594,0.883730691,1.363079189,0.443037552
48,8.758917718,2.378028467,2.508592013,2.291407289,0.854088979,1.372729493,0.45140897
49,8.483586038,2.399352389,2.535903144,2.311768337,0.878748152,1.360845426,0.494535607
50,8.527778975,2.378724087,2.497535567,2.280603338,0.8815087,1.397717093,0.59357403
51,8.616758083,2.37426925,2.48060082,2.272209231,0.859374758,1.372935909,0.493221395
52,8.621785554,2.311482559,2.470964735,2.333192369,0.865282182,1.388636643,0.453956747
53,8.627028807,2.358797342,2.484276597,2.341351095,0.84737474,1.354814353,0.685213239
54,8.471034734,2.406813419,2.461272193,2.319196598,0.862026602,1.359548311,0.47284805
55,8.760570885,2.391065894,2.465123226,2.278659746,0.97383862,1.354716581,0.473539891
56,8.808334221,2.313050594,2.461432583,2.287567562,0.836101047,1.366578299,0.473395205
57,8.832997727,2.34179026,2.565980549,2.31188291,0.841897106,1.372321684,0.45252762
58,8.868174723,2.339698361,2.495928833,2.327594889,0.845105705,1.356342592,0.447691263
59,8.905915115,2.401386822,2.45671275,2.297704122,0.855962159,1.357573664,0.457546269
60,8.96482405,2.355495506,2.470223181,2.295691567,0.832063335,1.391391355,0.446070919
61,8.945414295,2.39018796,2.507251251,2.345139719,0.844583387,1.357316822,0.462842026
62,8.913406852,2.338666151,2.495159094,2.313962735,0.826282068,1.36324157,0.45366818
63,8.879703997,2.343441801,2.523953757,2.296879068,0.832731857,1.362125117,0.443828526
64,8.899897295,2.335498129,2.539064179,2.315299656,0.842420711,1.365609223,0.452004424
65,8.905080668,2.340370698,2.459058388,2.343018866,0.831850114,1.403657061,0.451244627
66,8.974505158,2.359457176,2.484887526,2.28292738,0.834149672,1.361209468,0.448552334
67,8.961510265,2.354330231,2.511891482,2.289758806,0.85944828,1.366850111,0.449623244
68,9.040330971,2.315382641,2.471946408,2.281187591,0.835610645,1.355076719,0.48134301
69,8.979756263,2.377843765,2.480921592,2.312909088,0.834938531,1.366303931,0.453327788
70,8.954977855,2.3323895,2.456286747,2.383213335,0.842869011,1.356917391,0.465038251
71,8.930185511,2.332753583,2.46335066,2.301112379,0.846753681,1.364067683,0.441826569
72,8.866374337,2.343338435,2.474498237,2.277109058,0.834239037,1.369195583,0.453266892
73,8.851665162,2.418937365,2.494958898,2.27065896,0.839235628,1.373880097,0.451585918
74,8.842451367,2.344032435,2.470917286,2.337693641,0.830985857,1.354519621,0.440862041
75,8.82636506,2.375038273,2.495220605,2.290019491,0.838652153,1.364066393,0.452740011
76,8.817935695,2.324417733,2.478699977,2.287763631,0.835817215,1.366774442,0.456700623
77,8.958583256,2.369694067,2.485783055,2.292016526,0.861111842,1.356539476,0.459419
78,8.742215235,2.360956469,2.457851118,2.426836955,0.833423643,1.373657365,0.44828429
79,8.716550872,2.329970379,2.480866339,2.277816269,0.836932503,1.374495711,0.465028023
80,8.751514973,2.317460415,2.459454111,2.272330037,0.84102777,1.358887603,0.451005002
81,8.711038357,2.397150439,2.482812616,2.285963252,0.840051805,1.367803918,0.446101327
82,8.692862757,2.364556105,2.508612584,2.271490137,0.826508729,1.371638726,0.449279275
83,8.647342048,2.402380841,2.538627437,2.287920926,0.84403987,1.36615517,0.458245484
84,8.662344341,2.3796353,2.466626653,2.34998845,0.833558893,1.365762526,0.563248472
85,8.672179533,2.388828265,2.458152586,2.298929981,0.84664533,1.359121154,0.446062435
86,8.65389498,2.317394571,2.48127841,2.259708349,0.827246366,1.360334446,0.447448476
87,8.604932826,2.380911999,2.474787426,2.259625331,0.849375511,1.403785253,0.452374774
88,8.632939389,2.348615811,2.463144755,2.262629945,0.84428161,1.365233782,0.447272726
89,8.586935136,2.468645626,2.456171173,2.269034275,0.852766457,1.363582591,0.437728209
90,8.728935809,2.403448229,2.483012774,2.260241843,0.922399104,1.363549797,0.446536555
91,8.789606365,2.400075285,2.45822627,2.269836946,0.838242944,1.382324571,0.455044809
92,8.946180941,2.362780651,2.535263592,2.268819609,0.838814872,1.379909182,0.447310342
93,8.908640984,2.332526632,2.473364609,2.279786918,0.839184209,1.360682549,0.44381552
94,8.942548493,2.31097945,2.466161418,2.263937477,0.839080161,1.351748535,0.447389931
95,9.008067955,2.330898838,2.471080749,2.271446005,0.821196254,1.388905553,0.445229481
96,9.03872298,2.368771981,2.479194061,2.272197615,0.847306923,1.387929093,0.453248044
97,9.136469607,2.430008151,2.456628585,2.263978982,0.828199073,1.36308113,0.443307211
