Trial,mri-1.8.7,mri-2.3.3,ruby+omr,rtl-mjit,jruby-1.7.27,jruby-9.1.13,truffleruby-0.30.2
1,4.08203125,9.71875,9.890625,9.3125,275.04296875,328.75,704.63671875
2,4.08203125,9.71875,9.890625,9.3125,338.55078125,394.8125,713.05078125
3,4.55078125,9.71875,9.890625,9.3125,400.67578125,466.8984375,716.328125
4,4.55078125,9.9765625,9.890625,9.3125,460.67578125,510.9609375,717.15625
5,4.55078125,9.9765625,9.890625,9.5703125,504.8125,515.40625,734.33984375
6,4.55078125,9.9765625,10.1484375,9.5703125,504.8125,515.50390625,755.5390625
7,4.55078125,9.9765625,10.1484375,9.5703125,508.95703125,521.5703125,761.734375
8,4.55078125,9.9765625,10.1484375,9.5703125,508.95703125,521.5859375,769.9453125
9,4.51171875,10.234375,10.1484375,9.5703125,508.9921875,523.609375,775.7109375
10,4.51171875,10.234375,10.40625,9.828125,510.296875,539.91796875,775.7109375
11,4.51171875,10.234375,10.40625,9.828125,506.48046875,539.91796875,776.1328125
12,4.51171875,10.234375,10.40625,9.828125,508.48046875,539.9609375,791.58984375
13,4.50390625,10.234375,10.40625,9.828125,518.48046875,539.9609375,791.65625
14,4.50390625,10.4921875,10.6640625,10.0859375,518.640625,539.9609375,801.84375
15,4.50390625,10.4921875,10.6640625,10.0859375,518.640625,539.9609375,803.84375
16,4.50390625,10.4921875,10.6640625,10.0859375,518.640625,536.02734375,812.12109375
17,4.50390625,10.4921875,10.66796875,10.0859375,518.71875,536.02734375,813.171875
18,4.50390625,10.75,10.92578125,10.34375,518.71875,536.02734375,814.03125
19,4.50390625,10.75,10.92578125,10.34375,518.98046875,536.02734375,814.03125
20,4.50390625,10.75,10.92578125,10.34375,519.08984375,536.02734375,814.03515625
21,4.50390625,10.75,10.92578125,10.34375,519.08984375,536.02734375,815.1640625
22,4.50390625,10.75,11.18359375,10.6015625,519.08984375,536.02734375,815.09375
23,4.50390625,10.98828125,11.18359375,10.6015625,519.08984375,539.890625,815.09375
24,4.50390625,10.98828125,11.18359375,10.6015625,519.08984375,539.890625,815.64453125
25,4.50390625,10.98828125,11.18359375,10.6015625,519.08984375,539.890625,815.6484375
26,4.50390625,10.98828125,11.44140625,10.859375,519.08984375,539.890625,815.6484375
27,4.44140625,10.98828125,11.44140625,10.859375,519.08984375,540.15625,816.15234375
28,4.44140625,10.98828125,11.44140625,10.859375,519.08984375,539.95703125,815.6484375
29,4.44140625,11.2421875,11.44140625,10.859375,519.08984375,547.890625,815.6484375
30,4.44140625,11.2421875,11.69921875,10.859375,519.08984375,547.890625,816.05078125
31,4.44140625,11.2421875,11.69921875,11.1171875,519.08984375,547.890625,816.0546875
32,4.44140625,11.2421875,11.69921875,11.1171875,519.08984375,543.91796875,816.375
33,4.44140625,11.2421875,11.69921875,11.1171875,519.15625,543.91796875,816.375
34,4.44140625,11.2421875,11.95703125,11.1171875,519.08984375,543.91796875,817.11328125
35,4.44140625,11.2421875,11.95703125,11.1171875,521.08984375,567.91796875,817.6796875
36,4.44140625,11.2421875,11.95703125,11.1171875,521.08984375,620.1171875,817.6796875
37,4.44140625,11.5,11.95703125,11.1171875,521.08984375,643.91796875,820.1328125
38,4.44140625,11.5,12.21484375,11.1171875,521.08984375,643.91796875,820.203125
39,4.44140625,11.5,12.21484375,11.375,521.16015625,643.9296875,820.44140625
40,4.44140625,11.5,12.21484375,11.375,521.16015625,643.9296875,820.703125
41,4.44140625,11.5,12.21484375,11.375,521.16015625,643.9296875,820.703125
42,4.44140625,11.5,12.47265625,11.375,521.16015625,643.9296875,820.703125
43,4.44140625,11.5,12.47265625,11.375,525.16015625,643.98046875,820.703125
44,4.44140625,11.5,12.47265625,11.375,573.16015625,643.98046875,820.703125
45,4.44140625,11.5,12.47265625,11.375,617.16015625,643.98046875,820.703125
46,4.44140625,11.5,12.47265625,11.375,631.16015625,643.98046875,820.703125
47,4.44140625,11.5,12.47265625,11.6328125,631.16015625,643.98046875,820.703125
48,4.44140625,11.5,12.47265625,11.6328125,631.16015625,643.98046875,820.703125
49,4.44140625,11.5,12.73046875,11.6328125,631.55078125,643.98046875,820.7734375
50,4.43359375,11.5,12.73046875,11.6328125,631.55078125,644.23046875,820.703125
51,4.43359375,11.5,12.73046875,11.6328125,631.55078125,644.44921875,813.4609375
52,4.43359375,11.5,12.73046875,11.6328125,631.55078125,644.44921875,813.4609375
53,4.43359375,11.5,12.73046875,11.890625,631.55078125,644.44921875,819.75
54,4.43359375,11.5,12.73046875,11.890625,631.55078125,644.44921875,819.82421875
55,4.43359375,11.5,12.73046875,11.890625,631.55078125,644.44921875,819.75390625
56,4.43359375,11.5,12.73046875,11.890625,631.55859375,644.44921875,819.75390625
57,4.43359375,11.7578125,12.98828125,11.890625,631.55078125,644.44921875,824.875
58,4.43359375,11.7578125,12.98828125,11.890625,631.55078125,644.44921875,824.875
59,4.4296875,11.7578125,12.98828125,12.1484375,631.55078125,644.45703125,824.875
60,4.4296875,11.7578125,12.98828125,12.1484375,631.55078125,644.44921875,824.875
61,4.4296875,11.7578125,12.98828125,12.1484375,631.55078125,644.44921875,824.8828125
62,4.4296875,12.015625,12.98828125,12.1484375,631.55078125,644.44921875,824.8828125
63,4.4296875,12.015625,12.98828125,12.1484375,631.6328125,644.44921875,832.8828125
64,4.4296875,12.015625,12.98828125,12.1484375,631.55078125,644.44921875,833.62890625
