Trial,mri-1.8.7,mri-2.3.3,ruby+omr,rtl-mjit,jruby-1.7.27,jruby-9.1.13,truffleruby-0.30.2
1,9.6386e-05,8.6112e-05,7.7031e-05,8.718e-05,8.2931e-05,0.000108173,9.0502e-05
2,2.679370245,2.736831471,2.563090832,2.614357506,0.736155824,0.982309741,2.472944689
3,5.331531048,5.417921205,5.256183974,5.331011655,1.554480136,1.748113598,4.070057761
4,7.983636154,8.08107244,7.971959371,8.057356383,2.4142014,2.510560014,4.970536902
5,10.640844379,10.602746371,10.644773581,10.718837075,3.150980453,3.319979937,6.6175805
6,13.307796296,13.286009301,13.00042316,13.293849132,3.879668042,4.037428686,8.143427553
7,15.958930892,15.851329132,15.531024511,15.915143019,4.667887658,4.961328075,10.088099006
8,18.647884419,18.503750198,18.146472039,18.644712572,5.355183879,6.069078376,10.709145752
9,21.300638539,21.089249789,20.789400888,21.490310379,6.151797724,7.058871363,11.356104244
10,24.008928039,23.642432611,23.583356896,24.177190212,6.888513383,7.798097928,12.710402579
11,26.668357239,26.156907273,26.395323694,26.625180015,7.731320432,8.633077308,13.340391344
12,29.34302736,28.817509538,28.91207017,29.117424287,8.426862738,9.560353518,14.406459038
13,32.011512065,31.372507914,31.473140924,31.744498661,9.097089127,10.282245859,15.602644961
14,34.665767678,33.969290158,34.141405973,34.568636536,9.809464509,11.025432055,16.147447564
15,37.351919237,36.468365072,36.817588146,37.342105412,10.787577988,11.874942295,16.661621303
16,39.999678436,38.997967438,39.509800485,39.911047639,11.551441277,12.923632577,17.139229696
17,42.68527763,41.435927402,42.227558932,42.664787258,12.283587941,13.988929374,18.763199871
18,45.321463518,43.986983986,44.9770122,45.443392712,13.084737493,14.723799003,20.17276883
19,47.938046068,46.589433019,47.739214774,48.021692264,13.737067331,15.96426066,21.379645247
20,50.58502667,49.25843063,50.546069964,50.796410319,14.665881663,16.726504328,21.901513856
21,53.225858398,52.026335458,53.215251427,53.736030568,15.378279769,17.508548497,22.40345215
22,55.844338172,54.589922003,55.802176471,56.320459491,16.147739848,18.286083801,22.970198913
23,58.469181361,57.173381929,58.523516773,58.78596221,16.790552725,18.994405486,23.580186547
24,61.151874197,59.64757805,61.071611318,61.544332052,17.567561763,19.98186271,24.111301492
25,63.878338098,62.458275969,63.787579882,64.238347138,18.33581099,20.710523809,24.591672967
