Trial,mri-1.8.7,mri-2.3.3,ruby+omr,rtl-mjit,jruby-1.7.27,jruby-9.1.13,truffleruby-0.30.2
1,2.667449279,2.728201388,2.55347634,2.604896429,0.727544233,0.97406598,2.463435433
2,2.651795906,2.670060608,2.678326462,2.704819519,0.808861268,0.754398418,1.582772749
3,2.651601258,2.66154358,2.714125928,2.724455121,0.858295256,0.760559738,0.89757353
4,2.656747858,2.519576351,2.671174267,2.659589272,0.735708305,0.807165914,1.644304216
5,2.666539133,2.681416785,2.353989621,2.572878188,0.727055998,0.715176141,1.523747524
6,2.650746714,2.563620028,2.528822885,2.619512407,0.786712381,0.921550113,1.941751947
7,2.688535236,2.65026953,2.61365881,2.727273227,0.685562873,1.10534838,0.61834519
8,2.652381403,2.583349845,2.64107944,2.843283686,0.795002923,0.987431416,0.641205135
9,2.707788101,2.55093563,2.791990779,2.684723177,0.734200791,0.737312256,1.35238692
10,2.65893665,2.511942999,2.810000266,2.445392242,0.841150048,0.832583136,0.628312755
11,2.67427301,2.65817766,2.514799861,2.490000131,0.693750978,0.924598374,1.064341707
12,2.66799523,2.553109493,2.559065704,2.624487438,0.668377109,0.719057046,1.194836738
13,2.653781883,2.594582436,2.666215746,2.821785723,0.710484056,0.74141933,0.541139935
14,2.685716192,2.496629859,2.673972581,2.770804463,0.976080538,0.846841738,0.512804838
15,2.647326298,2.527514481,2.690202204,2.566329636,0.761986709,1.046466157,0.47625836
16,2.685075662,2.435791495,2.716296515,2.750681927,0.730082273,1.062903077,1.622438848
17,2.635701813,2.548906057,2.747460409,2.775682319,0.799192026,0.732488675,1.407898271
18,2.616126493,2.599963397,2.759768981,2.572226252,0.650352924,1.237785915,1.205469364
19,2.646646534,2.666476235,2.804329091,2.772587413,0.92680041,0.760131654,0.520159713
20,2.640341673,2.765115229,2.666721379,2.937397518,0.710326289,0.779888592,0.50049797
21,2.618112804,2.56113563,2.58448673,2.581616915,0.767121354,0.775373875,0.564391566
22,2.624475431,2.580487325,2.718815617,2.463005571,0.64042468,0.705864805,0.607244558
23,2.682276957,2.471561743,2.545646701,2.755745606,0.774689705,0.985100497,0.529187575
24,2.726099905,2.807842126,2.713440029,2.691299808,0.765847967,0.726320754,0.478338383
25,2.675247262,2.599683515,2.613695189,2.584078653,0.7305957,1.071099907,0.662392854
26,2.709286535,2.380120985,2.719015105,2.81719934,0.676456301,0.691978361,1.826223749
27,2.626459473,2.39680277,2.546172879,2.752525573,0.739317372,0.734823176,0.660086061
28,2.663657491,2.646643191,2.754587679,2.646156036,0.716934542,0.835820126,0.58831032
29,2.6323211,2.776429569,2.554756733,2.513843758,0.971827088,1.075736574,0.537113843
30,2.652019063,2.583891214,2.47881556,2.704942959,0.761556621,0.677672054,0.476052611
31,2.646868521,2.572959419,2.343456477,2.672659896,0.708236223,0.710203612,0.53331267
32,2.662350704,2.552311793,2.513341653,2.998743628,0.743684984,0.732499542,1.297260857
33,2.648401612,2.377895232,2.7638878,2.955829346,0.784695463,0.768722825,1.068432894
34,2.643496795,2.465439894,2.453360106,2.687457035,0.750540498,0.716423368,0.615765951
35,2.635579625,2.549590888,2.675467081,2.781374431,0.786808899,0.791153681,0.46523512
36,2.618679088,2.537471037,2.788597172,2.574231202,0.781387526,0.839797588,0.49346903
37,2.66059297,2.482592758,2.650137611,2.762150156,0.681159881,0.85973288,1.126289005
38,2.647075076,2.502026208,2.607152158,2.729616048,0.726223512,0.702803914,0.904408423
39,2.663191013,2.429050017,2.667730492,2.798992473,0.661175614,0.75347668,0.538398839
40,2.636865381,2.704015532,2.628555721,2.365920662,0.704819295,0.754743215,0.550884505
41,2.674417415,2.62603093,2.55477851,2.457627818,0.726057483,0.93000112,0.476546694
42,2.670182019,2.599297995,2.551878611,2.666887798,0.672350334,0.776250568,0.48776294
43,2.714308093,2.623937868,2.629318108,2.744150069,0.724346806,0.950212016,0.492789385
44,2.651248586,2.800033086,2.613449307,2.691603949,0.702434781,0.708053101,0.575496542
45,2.676955273,2.504668063,2.629817013,2.839096794,0.755255248,1.119940835,0.529105581
46,2.654933364,2.758536373,2.613866882,2.691204598,0.722853737,0.763158762,0.49187704
47,2.643041564,2.571398393,2.651063335,2.741137377,0.733184349,0.987637398,0.487017774
48,2.644047445,2.629710712,2.654053411,2.793896643,0.708519322,0.696683121,0.471343155
49,2.642798159,2.348347586,2.727743312,2.544963783,0.65278513,0.692744098,0.47458486
50,2.657263985,2.696778793,2.715731021,2.798294361,0.736448202,0.743356562,0.572095071
51,2.670200078,2.491282816,2.732037738,2.77622609,0.72503178,0.677863971,0.571776254
52,2.649218727,2.642792463,2.688391945,2.911353438,0.762069767,0.7406146,0.633450314
53,2.629087961,2.678281445,2.708273355,2.925414624,0.706736156,0.797489767,0.935626823
54,2.664552301,2.587419775,2.610244793,2.736102626,0.702322671,0.795338032,0.56526323
