Trial,mri-1.8.7,mri-2.3.3,ruby+omr,rtl-mjit,jruby-1.7.27,jruby-9.1.13,truffleruby-0.30.2
1,9.9959e-05,0.000101667,9.8037e-05,0.000114028,0.000146471,0.000150174,7.277e-05
2,58.757669332,8.683049593,8.274540679,8.459391527,4.158121893,3.973840326,1.756525224
3,117.207858528,17.238060441,16.52252309,16.938982646,7.929735921,7.907503278,3.353593448
4,175.692309836,25.747929593,24.840860281,25.471599531,11.67356422,11.746085859,3.678319241
5,234.306477941,34.310150969,33.076397349,33.978169687,15.395030402,15.580326931,4.02379641
6,292.903034072,42.882772711,41.297994363,42.480153697,19.135998175,19.450934882,4.344832196
7,351.691878087,51.387655317,49.52908671,51.093494495,22.884959127,23.306463289,4.674694776
8,410.730378997,59.893708789,57.716934845,59.592682232,26.61511549,27.158656869,4.997412742
9,469.85145367,68.463314994,66.007783499,68.120325539,30.356730025,30.979688904,5.319425221
10,528.533504129,77.015369081,74.225217132,76.661899743,34.096866981,34.823649797,5.655143411
11,587.416427342,85.527323581,82.537963912,85.130138227,38.009286147,38.614050763,5.981064255
12,645.975948653,94.080195848,90.782795846,93.675099398,41.817427528,42.41828696,6.30122384
13,704.801744209,102.641340587,98.976339057,102.266540887,45.181764838,46.210688898,6.634737357
14,763.291972231,111.149809365,107.28290969,110.886460418,48.542962283,50.060827161,6.957605491
15,821.939784503,119.682328644,115.519587587,119.383676601,51.862676681,53.886508672,7.279314744
16,880.514785429,128.229607919,123.730191532,127.856601734,55.207581486,57.762481633,7.610033376
17,939.039053772,136.771707138,131.97113676,136.380885127,58.544293104,61.750070435,7.930993585
18,997.642915146,145.340103129,140.212832675,144.854546963,61.870664951,65.698723618,8.249760048
19,1056.157732526,153.965036251,148.429030856,153.341732602,65.193682526,69.585480829,8.588926427
20,1114.970795893,162.578625531,156.678376346,161.810661235,68.564183958,73.492683816,8.907498159
21,1173.304719949,171.090456767,164.953025962,170.267428019,71.896746255,77.385296082,9.227697372
22,,179.615157861,173.266716951,178.80283908,75.226514941,81.347040108,9.553503838
23,,188.122649594,181.490607025,187.337421655,78.54557398,85.162864972,9.8733082
24,,196.698244541,189.80825068,195.872864555,81.886778875,88.99202037,10.204040255
25,,205.229627796,198.076430569,204.369945161,85.225833314,92.867174955,10.523792591
26,,213.789074713,206.351614845,212.874381754,88.561734148,96.722050988,10.853131999
27,,222.300206602,214.649850809,221.32913186,91.94407996,100.595279009,11.185107064
28,,230.950119547,222.976238515,229.805807348,95.423322659,104.438490717,11.50928673
29,,239.455482993,231.215196315,238.298607527,98.845768278,108.257780431,11.834892035
30,,247.971183682,239.47535728,246.798371122,102.204688018,112.134168736,12.164622021
31,,256.481553545,247.741886162,255.33097837,105.62204664,116.081460926,12.510313977
32,,264.979731511,255.957406284,263.815298669,109.017126452,119.973117488,12.829325775
33,,273.519503302,264.319705841,272.354621305,112.390480878,123.938914918,13.161570325
34,,282.026918212,272.582715063,280.860571319,115.719072598,127.825208411,13.490854718
35,,290.55258986,280.840450438,289.405549506,119.109487014,131.6943799,13.81299921
36,,298.983981482,289.039407288,297.902061834,122.497680332,135.623924926,14.134549807
37,,307.509670367,297.23185968,306.399889452,125.908479836,139.517943577,14.458147813
38,,316.020243131,305.521413225,314.945084153,129.333628835,143.449830779,14.780116185
39,,324.531055158,313.84535294,323.415842461,132.786794288,147.355538155,15.109614627
40,,333.083389874,322.168559826,331.984637687,136.163276613,151.286769999,15.432668258
41,,341.638133311,330.447730835,340.479097879,139.556993647,155.169817291,15.759415032
42,,350.252388152,338.675867773,349.063638587,142.903991102,159.007255292,16.090900967
43,,358.931316889,346.973013941,357.589362307,146.281494267,162.884302734,16.413592853
44,,367.42536118,355.188400926,366.094182549,149.67261052,166.840665443,16.752894463
45,,375.917657575,363.36579759,374.577511593,153.093600484,170.666567426,17.073511474
46,,384.416807699,371.639171191,383.103667157,156.427590835,174.520575321,17.395504117
47,,392.914016661,379.908925157,391.605254377,159.762631232,178.360831715,17.71480235
48,,401.423578855,388.173177962,400.168143397,163.103284038,182.20768213,18.042088917
49,,409.920812411,396.429472993,408.631679986,166.508180715,186.061321775,18.36658922
50,,418.406927794,404.704654723,417.176289425,169.924735499,189.911721782,18.68895149
51,,426.92140185,413.018316276,425.675578115,173.301610407,193.766866118,19.014826467
