Trial,mri-1.8.7,mri-2.3.3,ruby+omr,rtl-mjit,jruby-1.7.27,jruby-9.1.13,truffleruby-0.30.2
1,58.743807984,8.671601468,8.260981947,8.445594185,4.146550774,3.961456632,1.743869346
2,58.449815086,8.540314324,8.232560887,8.470284633,3.761924813,3.918868402,1.582454652
3,58.483936751,8.507309006,8.315631841,8.530186883,3.741423981,3.836376046,0.323220348
4,58.613740381,8.558939662,8.232415846,8.503921193,3.718612902,3.831926241,0.339714039
5,58.59602209,8.569882318,8.218687016,8.499371339,3.738212473,3.868064364,0.318847136
6,58.788401294,8.501899631,8.227957312,8.610680429,3.746383365,3.853565267,0.328344531
7,59.037905506,8.502968459,8.184651561,8.496070052,3.727522577,3.849799185,0.320948484
8,59.120696095,8.566473788,8.278570539,8.524848279,3.738724955,3.818816717,0.319417595
9,58.681657259,8.548913682,8.21444125,8.538920047,3.738490047,3.841414745,0.333900371
10,58.882511511,8.508656108,8.309794795,8.465331056,3.909894605,3.78806909,0.323158447
11,58.55906542,8.549305161,8.242106803,8.541268758,3.805539459,3.801394835,0.31751735
12,58.825361887,8.557691206,8.19077252,8.588298064,3.361531056,3.789555499,0.331524938
13,58.48976936,8.504799459,8.303591079,8.616680986,3.358283387,3.846863445,0.321096245
14,58.647360904,8.522622897,8.233671451,8.494363855,3.316719078,3.822396658,0.319199048
15,58.574462781,8.544170898,8.207730979,8.469942278,3.342000429,3.874290513,0.327711495
16,58.523832886,8.538914279,8.237533594,8.521318992,3.333597944,3.984087393,0.318857661
17,58.603364987,8.565238541,8.238464471,8.470602836,3.323168979,3.944923199,0.316636706
18,58.514407397,8.6217362,8.212957683,8.484045101,3.319908375,3.882808018,0.337139333
19,58.812538236,8.610251165,8.24540878,8.465741235,3.367380464,3.902815755,0.316461464
20,58.333472802,8.508551965,8.271295946,8.453644563,3.329250392,3.888342637,0.316459003
21,58.787264673,8.521019796,8.310226398,8.532075372,3.326328941,3.959673597,0.32236592
22,,8.50405862,8.220555425,8.531135364,3.31595191,3.81118776,0.316574311
23,,8.571946476,8.314375605,8.532057221,3.3376442,3.82474517,0.328572058
24,,8.52765988,8.2648041,8.493548514,3.335442858,3.870878884,0.315875334
25,,8.555734076,8.271742975,8.501019659,3.332313033,3.849686104,0.32652222
26,,8.507692436,8.294796333,8.451311713,3.378131108,3.869295795,0.328005124
27,,8.646478133,8.322926097,8.47315682,3.475032646,3.839291624,0.321069433
28,,8.501822014,8.235347509,8.489272002,3.418236913,3.81539504,0.323692642
29,,8.51234985,8.256673268,8.496433046,3.355537448,3.874351727,0.326406148
30,,8.506934928,8.26308265,8.528980132,3.412948727,3.943383513,0.34215675
31,,8.494844701,8.212005027,8.480617108,3.390547118,3.888241416,0.316567989
32,,8.536326587,8.358711643,8.535616796,3.368699367,3.961796125,0.330257149
33,,8.503798652,8.259784642,8.501710596,3.323544584,3.882566055,0.325664671
34,,8.522006505,8.254231616,8.541748388,3.385725233,3.865234612,0.3179032
35,,8.427737571,8.195356416,8.49240236,3.38335878,3.925554032,0.319580832
36,,8.522072808,8.188710036,8.493472222,3.401815288,3.889814375,0.321799491
37,,8.50689399,8.285814449,8.540644154,3.421222196,3.927786782,0.318125453
38,,8.507108353,8.32004382,8.466007584,3.449031168,3.901608531,0.324778903
39,,8.548871175,8.318809192,8.563857335,3.37248607,3.926832748,0.319265974
40,,8.551150827,8.275038121,8.490017703,3.390129655,3.878956329,0.320602476
41,,8.610427805,8.224630907,8.576547999,3.343092001,3.833405239,0.327016658
42,,8.674702616,8.292985508,8.521687972,3.373469096,3.87418809,0.319030361
43,,8.490231941,8.211570428,8.50113872,3.387360442,3.952613038,0.337300382
44,,8.488636752,8.173653768,8.47970557,3.417308086,3.822306496,0.317300434
45,,8.495404461,8.269999291,8.522776873,3.330355095,3.850420956,0.316655478
46,,8.493401773,8.265857232,8.497880702,3.331293432,3.836745915,0.316224097
47,,8.505787731,8.257132168,8.559268646,3.336848467,3.843237571,0.322479496
48,,8.493390754,8.252602824,8.459727955,3.402411206,3.849989791,0.319529711
49,,8.482451053,8.271579188,8.541072496,3.413541316,3.846924546,0.318402928
50,,8.507193616,8.310207246,8.495529655,3.373105265,3.853125928,0.322789067
51,,8.516745074,8.633122159,8.542407303,3.414355775,3.808580302,0.319751535
52,,8.534247901,8.285623756,8.514136961,3.339779251,3.89162592,0.319275486
53,,8.501776267,8.32488776,8.548479606,3.346690877,3.842310106,0.487330223
54,,8.368641703,8.231807854,8.566095956,3.414505185,3.839254232,0.326229424
55,,8.328902559,8.265140368,8.609132875,3.31136817,3.835172097,0.322918789
56,,8.392434488,8.300455961,8.533482682,3.404187915,3.849703727,0.319957879
57,,8.531204711,8.144483359,8.624538175,3.322988154,3.894156475,0.317379394
58,,8.532680233,8.192308662,8.577753339,3.365642659,3.897591526,0.315466814
59,,8.550361812,8.287187689,8.547260114,3.38035966,3.814779054,0.323345552
60,,8.419911815,8.237049994,8.516948432,3.318843694,3.832690233,0.321886651
61,,8.572642109,8.178142927,8.523011497,3.317485118,3.850666386,0.319848412
62,,8.545244644,8.2513298,8.600743693,3.319583889,3.85329865,0.343807065
63,,8.493753195,8.233557398,8.652246875,3.331870993,3.912813649,0.316170872
64,,8.585513726,8.282824534,8.545785418,3.341914718,3.884564928,0.316947412
65,,8.645870074,8.230258148,8.546343256,3.368726392,3.834185548,0.326445878
66,,8.526961668,8.274900076,8.554335693,3.336737185,3.843867727,0.31698778
67,,8.377280755,8.3050649,8.510240246,3.377724611,3.872912099,0.319182328
68,,8.495410478,8.236615623,8.589316403,3.328867182,3.990317275,0.317976665
69,,8.506518538,8.235254767,8.719262912,3.382898543,3.80502989,0.317709858
70,,8.435983539,8.247801455,8.534794169,3.359669339,3.805978945,0.319268327
71,,8.502035008,8.265020813,8.551763652,3.314717714,3.842902206,0.324069145
72,,8.531418694,8.277568495,8.549904599,3.321121532,3.87449345,0.319086546
73,,8.531589705,8.285893845,8.599549107,3.359232323,3.873277085,0.322689505
74,,8.50192572,8.309470862,8.571630698,3.375823661,3.948203851,0.326564173
75,,8.502707335,8.287618833,8.537299806,3.35988313,3.834406564,0.318016523
76,,8.563386231,8.28858695,8.536259173,3.362397914,3.797626043,0.338737188
77,,8.546188927,8.344704028,8.535480149,3.378738964,3.863275023,0.318370452
78,,8.512852114,8.295554288,8.578248956,3.32251585,3.906577603,0.319017451
79,,8.520308584,8.326094451,8.550521974,3.367351193,3.863595902,0.325987827
80,,8.59968902,8.335952623,8.575211914,3.338248843,3.825926375,0.322153991
81,,8.442103529,8.263283893,8.648619424,3.387965559,3.845876611,0.320175494
82,,8.563436275,8.240402782,8.515901169,3.325472234,3.916008642,0.330751637
83,,8.558474702,8.253011596,8.573687689,3.337329445,3.870814251,0.319901704
84,,8.487672485,8.228959145,8.572742985,3.324376813,3.815341931,0.319210106
85,,8.586302503,8.303243758,8.54514498,3.334790258,3.831575984,0.318248048
86,,8.545498597,8.257826195,8.582878444,3.332280664,3.8572228,0.318737089
87,,8.569426561,8.288362224,8.664151079,3.327354844,3.814948492,0.321909319
88,,8.370176492,8.191370598,8.557510685,3.357987358,3.84954524,0.324096223
89,,8.508016704,8.228147105,8.573811887,3.365300424,3.882316032,0.318394937
90,,8.549647042,8.215448518,8.518469689,3.40551333,3.801001069,0.349852874
91,,8.579696807,8.235231104,8.609892671,3.363790618,3.829644264,0.318700849
92,,8.637040861,8.21620004,8.589797483,3.311194036,3.799591724,0.317497999
93,,8.533868302,8.191027677,8.689605705,3.322501022,3.827164186,0.3176511
94,,8.507334389,8.2696944,8.527298901,3.33405797,3.843000929,0.317531666
95,,8.402553898,8.326041427,8.652419567,3.324530303,3.821596217,0.315876603
96,,8.362669316,8.21513382,8.524612341,3.325516419,3.867756989,0.319444047
97,,8.551949947,8.274769618,8.550728284,3.334313961,3.87558246,0.324488167
98,,8.546217714,8.261703442,8.448913817,3.336183757,3.838004074,0.324763024
99,,8.680007988,8.225006578,8.602202438,3.385779159,3.869213624,0.327020654
100,,8.532435035,8.29276443,8.687980143,3.338191529,3.895545339,0.334891356
101,,8.555958745,8.252461083,8.497809474,3.316096463,3.839980126,0.318148172
102,,8.464145966,8.235960063,8.578473242,3.317875981,3.845619898,0.343179275
103,,8.523270092,8.265216434,8.525349039,3.329439076,3.806403288,0.320575701
104,,8.537460811,8.200253815,8.580747199,3.309905742,3.806825906,0.342711026
105,,8.542217075,8.208663134,8.594539159,3.316781683,3.807832369,0.317728176
106,,8.523999692,8.222474429,8.536368758,3.3161467,3.933597714,0.32000577
107,,8.545351841,8.245341038,8.59156322,3.323460331,3.841594326,0.319431705
108,,8.500431801,8.247693313,8.652813107,3.323768051,3.818097393,0.33958392
