Trial,mri-1.8.7,mri-2.3.3,ruby+omr,rtl-mjit,jruby-1.7.27,jruby-9.1.13,truffleruby-0.30.2
1,6.3605e-05,0.000119492,0.000101389,7.4218e-05,0.000100668,7.918e-05,7.5431e-05
2,11.416553614,3.340599924,3.292885307,3.078043881,2.691838859,2.694477787,4.371282761
3,22.880230675,6.719053138,6.533038153,6.14020146,5.294759713,5.306991033,7.32210725
4,34.153128811,10.062750616,9.776423307,9.19350841,7.807484786,7.806540638,10.299123753
5,45.52909621,13.441376365,13.035500232,12.288343527,10.291675435,10.370288301,14.011439707
6,56.774047387,16.745937938,16.25038345,15.313697752,12.802699139,12.888333541,17.787038217
7,68.433543896,20.113542786,19.446047574,18.377582965,15.311375823,15.458621421,21.505438302
8,79.709136361,23.448890379,22.696978333,21.46939259,17.837393552,18.004228073,25.240059856
9,91.032517084,26.803159325,25.903304905,24.569963243,20.357621722,20.545498016,29.136189172
10,102.292402671,30.164045898,29.169479388,27.678442756,22.871955933,23.108750745,32.887479101
11,113.61738524,33.50110169,32.380003348,30.746164263,25.408101249,25.638511791,36.548137144
12,124.862719793,36.889001793,35.688047991,33.824192802,27.961887026,28.168852612,40.330170695
13,136.116172058,40.240410037,38.991622471,36.929621655,30.490480658,30.69575701,44.119451706
14,147.385558494,43.646906325,42.255627457,40.042586205,33.017641488,33.248497057,47.831496027
15,158.712759231,47.003958258,45.41943357,43.104088702,35.603709981,35.760265299,51.553488462
16,170.061750588,50.384658959,48.667429645,46.148040682,38.16099257,38.282622279,55.264685054
17,181.339760006,53.77335241,51.92321835,49.205104026,40.662064254,40.829551576,59.104451709
18,192.722215368,57.121241134,55.19635731,52.281692724,43.232312803,43.365608391,62.831087859
19,204.022798279,60.541292818,58.427976308,55.389181699,45.782138147,45.907415875,66.54105021
20,215.337373557,63.906974639,61.62267362,58.466653501,48.285175724,48.424784147,70.215916401
21,226.64445269,67.271804281,64.840732546,61.529075171,50.832172714,50.927640324,73.933319387
22,237.928282337,70.709027676,68.121349667,64.623209145,53.415615718,53.435298162,77.544717202
23,249.244701732,74.061498656,71.347310775,67.69657585,55.928058283,55.946886748,81.241276449
24,260.603453064,77.400649558,74.619903849,70.777971799,58.436277083,58.543968356,84.944009185
25,271.8700947,80.78479955,77.825028799,73.835528315,60.993940281,61.063901802,88.73135715
26,283.171478186,84.13026554,81.055816006,76.922325303,63.525558815,63.597179759,92.390039363
27,294.575238312,87.4913921,84.291906372,80.010027308,66.045916007,66.124463418,96.080884215
28,305.915524772,90.939791811,87.527784918,83.061044208,68.590076658,68.608424992,99.74137664
29,317.337642348,94.341639461,90.69989923,86.178770894,71.094730786,71.133148108,103.424310125
30,328.605898023,97.700154032,93.911120544,89.256879186,73.640602374,73.637151744,107.044676869
31,339.950068677,101.095566235,97.226624489,92.312567295,76.159038084,76.155417526,110.703294984
32,351.339835644,104.431048985,100.491494858,95.423391351,78.691018502,78.669376342,114.388681973
33,362.680424713,107.7890097,103.777212992,98.520636818,81.23673634,81.195981357,118.040382139
34,374.016268125,111.228341219,107.032014508,101.645907831,83.772855674,83.724730036,121.649655128
35,385.40153671,114.550345212,110.274326685,104.693020391,86.273942863,86.261655453,125.710454568
36,396.69984348,117.896481727,113.51159025,107.777706379,88.821815414,88.772242676,129.398334205
37,408.045224095,121.278885978,116.756146881,110.858889686,91.323638166,91.312438634,133.027641233
38,419.325903954,124.609067504,119.959449181,113.916514512,93.874229248,93.843470238,136.657769286
39,430.698838421,128.010518947,123.171407761,117.049643806,96.42725975,96.35433759,140.372423852
40,442.029193747,131.382313442,126.415808885,120.08700945,98.975141258,98.860074635,144.016296729
41,453.399806671,134.789918266,129.63434931,123.144981901,101.487323759,101.374024407,147.671771859
42,464.657197423,138.124424483,132.890952256,126.21454567,104.02308303,103.909847632,151.335943258
43,476.002506286,141.506603885,136.071580668,129.336432417,106.630587567,106.432788121,155.027434586
44,487.298197599,144.928358764,139.323993827,132.394252925,109.194924366,108.971659109,158.675958841
45,498.556152447,148.29250916,142.555302626,135.426833734,111.694888613,111.494247408,162.33304098
46,509.838770459,151.697597231,145.795592188,138.5590272,114.208134013,114.040212999,166.031861256
