Trial,mri-1.8.7,mri-2.3.3,ruby+omr,rtl-mjit,jruby-1.7.27,jruby-9.1.13,truffleruby-0.30.2
1,11.407389217,3.322264904,3.274826783,3.054014607,2.682607394,2.68562591,4.365069598
2,11.463459562,3.367242271,3.231317608,3.054250867,2.593517138,2.595809226,2.922691063
3,11.27239154,3.34127656,3.241610919,3.050837366,2.511080165,2.498061854,2.974925537
4,11.375526243,3.377226522,3.257511318,3.092112576,2.482592601,2.56234539,3.710119958
5,11.244501238,3.30283111,3.212847287,3.023502356,2.509098449,2.515874325,3.772275358
6,11.658673248,3.365429364,3.193476162,3.06257363,2.506044225,2.568770949,3.716311277
7,11.275072338,3.332305868,3.248733564,3.088904116,2.524259578,2.543934021,3.732334415
8,11.322846441,3.350953721,3.204076479,3.097553405,2.516830714,2.53855081,3.893891649
9,11.259591295,3.357554279,3.263941333,3.105432172,2.511410958,2.561439783,3.749212208
10,11.32458181,3.335221111,3.208104452,3.065742561,2.534216895,2.525925514,3.65865098
11,11.24481742,3.385574425,3.29789421,3.075396847,2.551506521,2.528286603,3.779931212
12,11.252955841,3.347993632,3.301370361,3.102379658,2.526678742,2.524171613,3.787218323
13,11.268964824,3.402639641,3.262533882,3.109767815,2.524469457,2.551029384,3.708930505
14,11.326608183,3.353007001,3.16153665,3.058097909,2.583671446,2.50822497,3.720294034
15,11.348588057,3.378124994,3.245816907,3.041706465,2.555436265,2.51992435,3.709398812
16,11.277406574,3.385864683,3.253260104,3.054923881,2.498033914,2.544462556,3.838115352
17,11.382035726,3.345438203,3.269900057,3.074545682,2.56834995,2.533836696,3.722270572
18,11.300283798,3.417593397,3.230003697,3.105408523,2.547136944,2.537491524,3.7073312
19,11.314179015,3.362842899,3.192463828,3.075356031,2.498899787,2.514907657,3.672085205
20,11.306696207,3.360787578,3.215874237,3.06038027,2.54369833,2.500552016,3.714140461
21,11.283240706,3.433388673,3.278415886,3.089788449,2.579591334,2.504309456,3.608309182
22,11.315684668,3.343396995,3.223441862,3.069636052,2.509506273,2.509052557,3.694220695
23,11.358196301,3.336016631,3.269200587,3.079756524,2.504352011,2.593978025,3.699092234
24,11.266109816,3.381153811,3.201785841,3.05406965,2.554323237,2.516766522,3.785196694
25,11.301082838,3.343091238,3.228479542,3.08442465,2.523622364,2.531000122,3.655670462
26,11.40339627,3.358671556,3.233711292,3.084061741,2.517274837,2.51729807,3.686695425
27,11.339726244,3.444747118,3.234373056,3.048537071,2.541586237,2.481540406,3.65783878
28,11.421824378,3.386243674,3.169700844,3.113832877,2.501247752,2.509434293,3.680186576
29,11.267746037,3.355958608,3.208219169,3.075124697,2.543542411,2.501199624,3.617635482
30,11.343886119,3.391619714,3.311947429,3.052887914,2.515746901,2.514430272,3.655696302
31,11.389398752,3.331748336,3.261402896,3.106233019,2.528595839,2.511085191,3.682489468
32,11.340185826,3.355346174,3.282261777,3.093042493,2.54290334,2.52263431,3.649909044
33,11.33549623,3.436746521,3.252298089,3.123134754,2.533923613,2.526680961,3.606322492
34,11.384746981,3.318106812,3.239652788,3.041195045,2.496508912,2.534170541,4.056601249
35,11.298017156,3.342614259,3.234321812,3.079533743,2.544984897,2.505575242,3.685286209
36,11.344538823,3.380622528,3.241795997,3.07739254,2.49871006,2.537078617,3.625770903
37,11.280276151,3.327372306,3.199890842,3.052597554,2.546622302,2.527204293,3.627122204
38,11.372631042,3.39952555,3.208141594,3.128294458,2.549864138,2.507492775,3.711524961
39,11.330038775,3.369043943,3.241117197,3.029909862,2.544735449,2.502101064,3.641203053
40,11.370109287,3.405749767,3.214086273,3.054179223,2.508068785,2.510194939,3.652175467
41,11.256920244,3.331476392,3.254328433,3.067354381,2.532817049,2.531959459,3.660908873
42,11.344895169,3.379055366,3.175855118,3.118054521,2.604344819,2.519403217,3.688373662
43,11.295299297,3.418776807,3.248181715,3.05560142,2.554565826,2.533165478,3.646065088
