Trial,mri-1.8.7,mri-2.3.3,ruby+omr,rtl-mjit,jruby-1.7.27,jruby-9.1.13,truffleruby-0.30.2
1,3.765625,9.3984375,9.25,8.859375,640.890625,654.0078125,689.2421875
2,3.765625,9.3984375,9.25,8.859375,640.890625,656.0078125,689.5
3,3.765625,9.3984375,9.25,8.859375,640.890625,656.0078125,689.5
4,3.7734375,9.3984375,9.25,8.859375,640.890625,656.109375,689.5
5,3.7734375,9.3984375,9.25,8.859375,640.890625,656.15234375,689.7734375
6,3.7734375,9.3984375,9.25,8.859375,640.890625,656.15234375,689.91015625
7,3.7734375,9.3984375,9.25,8.859375,640.890625,656.15234375,690.04296875
8,3.7734375,9.3984375,9.25,8.859375,640.94140625,656.15234375,690.265625
9,3.7734375,9.3984375,9.25,8.859375,640.96875,656.1875,690.3984375
10,3.7734375,9.3984375,9.25,8.859375,642.28125,656.39453125,696.47265625
11,3.7734375,9.3984375,9.25,8.859375,642.28125,656.39453125,696.5625
12,3.7734375,9.3984375,9.25,8.859375,642.3203125,656.41015625,696.71875
13,3.7734375,9.3984375,9.25,8.859375,642.3203125,653.61328125,700.80859375
14,3.7734375,9.3984375,9.25,8.859375,642.3203125,653.61328125,701.00390625
15,3.7734375,9.3984375,9.25,8.859375,642.3203125,653.61328125,701.00390625
16,3.7734375,9.3984375,9.25,8.859375,642.3203125,653.61328125,701.23046875
17,3.7734375,9.3984375,9.25,8.859375,642.3203125,653.53515625,705.328125
18,3.7734375,9.3984375,9.25,8.859375,642.3203125,653.53515625,705.44921875
19,3.7734375,9.3984375,9.25,8.859375,642.30078125,653.53515625,705.6328125
20,3.7734375,9.3984375,9.25,8.859375,642.30078125,653.53515625,705.6875
21,3.7734375,9.3984375,9.25,8.859375,642.30078125,653.53515625,709.81640625
22,3.7734375,9.3984375,9.25,8.859375,642.30078125,653.53515625,709.81640625
23,3.7734375,9.3984375,9.25,8.859375,642.30078125,653.53515625,709.88671875
24,,9.3984375,9.25,8.859375,642.30078125,655.33984375,709.97265625
25,,9.3984375,9.25,8.859375,642.30078125,655.33984375,714.1484375
26,,9.3984375,9.25,8.859375,642.30078125,655.33984375,714.19921875
27,,9.3984375,9.25,8.859375,642.30078125,655.33984375,714.19921875
28,,9.3984375,9.25,8.859375,642.30078125,655.33984375,714.2734375
29,,9.3984375,9.25,8.859375,642.3046875,655.33984375,714.2734375
