Trial,mri-1.8.7,mri-2.3.3,ruby+omr,rtl-mjit,jruby-1.7.27,jruby-9.1.13,truffleruby-0.30.2
1,0.000101688,0.000100274,0.000105414,0.000122995,7.0986e-05,9.5928e-05,8.8181e-05
2,54.268899917,12.969232015,12.744172528,13.041727441,6.378594853,7.442820707,2.775044026
3,108.649380048,25.921897245,25.503302172,26.096406221,12.80400829,14.89920069,3.35364306
4,163.105655877,39.04993689,38.264437312,39.110405045,19.182206887,22.322801014,3.555710964
5,217.496702693,51.961733016,50.938996746,52.228089688,25.563903211,29.800301097,3.734269189
6,271.768723941,64.926012419,63.602177225,65.405700266,31.957342595,37.341713413,3.902544904
7,326.235298469,77.905109787,76.271785094,78.504465089,38.360516562,44.844371522,4.076791679
8,380.747815873,90.921778323,88.970129708,91.59622506,44.799945535,52.352494148,4.270228605
9,435.25805773,103.874730949,101.766884311,104.653044499,51.181762572,59.916013187,4.441926339
10,489.623759951,116.766813439,114.472269013,117.642445849,57.594277437,67.424290271,4.613662912
11,544.109414606,129.688678751,127.209957511,130.684829054,64.152156085,74.948694192,4.805309353
12,598.215284465,142.667430925,139.910462814,143.776193525,70.489659214,82.412610752,4.975262884
13,652.502767804,155.586690678,152.615264867,156.898354114,76.798680222,89.882330287,5.148570965
14,706.644037471,168.466045547,165.368532768,170.019742952,83.131041461,97.413568845,5.374129162
15,760.926107534,181.367051184,178.045252463,183.227090651,89.419767335,104.895319473,5.550197797
16,815.514943706,194.354251143,190.735599641,196.274213853,95.751001944,112.382878791,5.723504922
17,869.863154308,207.264251282,203.555024204,209.304913689,102.086401913,119.869190535,5.893465481
18,923.980354103,220.200599221,216.212248801,222.32996071,108.373921395,127.491009089,6.083116429
19,978.401697794,233.169053805,228.918521005,235.363696371,114.673854998,135.026691929,6.254090664
20,1032.653336678,246.144599712,241.649393003,248.404090661,121.009356053,142.575417692,6.423044357
21,1087.084716787,259.180075259,254.310392158,261.540053761,127.316051589,150.065778367,6.590697281
22,1141.518377034,272.054517196,267.044669671,274.920426593,133.582473096,157.528470648,6.775700854
23,1195.861924938,285.006932865,279.817960463,288.248704947,139.909650383,165.008595305,6.950490473
24,,298.049276873,292.483041473,301.278565262,146.218653457,172.519010824,7.121956102
25,,310.936683175,305.17182369,314.344393525,152.538186151,180.00499317,7.295110495
26,,323.802879423,317.895353384,327.336808958,158.836933868,187.432067621,7.487483919
27,,336.840648495,330.649381907,340.40002963,165.172366469,194.848723525,7.656980518
28,,349.954978808,343.342554841,353.535753434,171.462326543,202.220045973,7.827113711
29,,362.99866351,356.038927071,366.685382313,177.75464581,209.620302236,7.996439959
30,,375.901996747,368.845144905,379.902217833,184.101098416,217.051124435,8.176647888
31,,388.889751284,381.575313399,392.984656799,190.438161891,224.49067061,8.349232664
32,,401.929725212,394.322131751,405.94562706,196.781881914,231.925413224,8.518416139
33,,414.931257748,407.0344986,418.953542688,203.121519343,239.343358337,8.692353968
34,,427.890316269,419.835704087,431.968839955,209.412874865,246.764040698,8.872692244
