Trial,mri-1.8.7,mri-2.3.3,ruby+omr,rtl-mjit,jruby-1.7.27,jruby-9.1.13,truffleruby-0.30.2
1,54.255036088,12.95681832,12.73061122,13.033763203,6.364574759,7.433754697,2.7639366
2,54.37999688,12.932867268,12.749269713,13.03912521,6.412463847,7.443572536,0.569613355
3,54.455681139,13.125627213,12.758518975,13.010921523,6.375728999,7.420603349,0.200402849
4,54.390584481,12.909066982,12.671849424,13.113551636,6.378124097,7.474104698,0.176643959
5,54.271586766,12.961626344,12.660535864,13.175065404,6.389744639,7.538674843,0.166625048
6,54.465996728,12.976085073,12.66668891,13.096141821,6.400623115,7.49964431,0.172680621
7,54.511989218,13.013727037,12.695406169,13.088541259,6.436847182,7.504321295,0.191904153
8,54.509692523,12.950344243,12.794098237,13.053724498,6.37900056,7.560874685,0.169440338
9,54.365225553,12.889243843,12.702559138,12.986589995,6.410624981,7.505777569,0.170078464
10,54.485155516,12.91921395,12.734848358,13.039329664,6.55571549,7.52180893,0.188053894
11,54.105364564,12.975791612,12.697684157,13.087683925,6.33430113,7.460659781,0.167942921
12,54.287016775,12.916126814,12.701821443,13.119207592,6.305646769,7.466245639,0.169650782
13,54.140752174,12.87653395,12.750337623,13.118298617,6.329071694,7.526622772,0.223244522
14,54.269467767,12.898022777,12.673453139,13.20358901,6.285588601,7.478331781,0.166962359
15,54.588453927,12.984120752,12.6873098,13.043889299,6.327947279,7.482829849,0.170241191
16,54.347827543,12.90678633,12.816320326,13.027350473,6.33242306,7.481639089,0.16639974
17,54.116688587,12.933185498,12.653978896,13.021755838,6.282997677,7.616840872,0.18561536
18,54.420953919,12.964994525,12.702900704,13.030038587,6.296396236,7.531882938,0.167759905
19,54.25125075,12.972109729,12.727480299,13.036883636,6.330589115,7.545026246,0.167048585
20,54.43088561,13.032128814,12.657770768,13.132620896,6.302174231,7.486283098,0.166015327
21,54.433255127,12.870780674,12.731371997,13.376611444,6.262068149,7.458886527,0.182962883
22,54.343163325,12.948837061,12.770065831,13.324331662,6.322983382,7.475413942,0.171168178
23,54.512795369,13.03881358,12.66132762,13.026089778,6.304472486,7.505994827,0.168429903
24,,12.883841577,12.684960244,13.061815175,6.315157901,7.481825614,0.170819649
25,,12.862555567,12.718744547,12.98835539,6.294392972,7.417063077,0.189967435
26,,13.03399102,12.750187058,13.059247432,6.330221974,7.412603709,0.166438507
27,,13.109754442,12.689223688,13.131327244,6.285558674,7.367203128,0.166723159
28,,13.040200982,12.692618875,13.145177128,6.288049526,7.396076853,0.16711455
29,,12.899508662,12.802083715,13.212306233,6.341685015,7.427111926,0.176873464
30,,12.984228731,12.72605545,13.078614097,6.332548542,7.434914455,0.16909708
31,,13.036086104,12.742408419,12.956866062,6.334697201,7.430708109,0.166104471
32,,12.997454003,12.70810929,13.003544538,6.3357606,7.413746771,0.171256419
33,,12.955026159,12.796852146,13.010555923,6.287018031,7.415505916,0.177668911
34,,12.980062323,12.774926509,13.006287308,6.288101176,7.424249847,0.165821134
35,,12.939676422,12.800893501,13.071705567,6.283099223,7.401711309,0.170010196
36,,12.987155973,12.777982495,13.272002902,6.31282628,7.433815398,0.164249203
