Trial,mri-1.8.7,mri-2.3.3,ruby+omr,rtl-mjit,jruby-1.7.27,jruby-9.1.13,truffleruby-0.30.2
1,8.4375,11.0546875,10.6796875,10.5390625,653.33203125,678.9765625,1000.6796875
2,8.6953125,13.4921875,12.09375,11.4375,651.15625,678.9765625,1005.00390625
3,8.6953125,14.0078125,13.7265625,12.01171875,651.86328125,679.15234375,1145.72265625
4,8.6953125,14.5234375,14.23828125,12.01171875,648.078125,679.15234375,1184.0234375
5,8.7109375,15.296875,14.49609375,12.01171875,648.296875,679.15234375,1270.03125
6,8.7109375,15.296875,14.49609375,12.01171875,648.41015625,679.30078125,1316.03125
7,8.7109375,15.296875,14.49609375,12.01171875,648.48828125,679.30078125,1356.03125
8,8.7109375,15.296875,14.49609375,12.26953125,648.48828125,679.30078125,1432.19140625
9,8.7109375,15.296875,14.49609375,12.26953125,648.48828125,679.328125,1432.2265625
10,8.7109375,15.5546875,14.49609375,12.28515625,666.6328125,679.328125,1436.2265625
11,8.7109375,15.5546875,14.75390625,12.28515625,650.86328125,679.328125,1436.2265625
12,8.7109375,15.5546875,14.75390625,12.28515625,650.86328125,679.328125,1436.2265625
13,8.7109375,15.5546875,14.75390625,12.28515625,650.86328125,679.328125,1436.2265625
14,8.7109375,15.5546875,14.75390625,12.3125,651.89453125,679.578125,1438.2265625
15,8.7109375,15.5546875,14.75390625,12.3125,651.89453125,679.578125,1438.2265625
16,8.7109375,15.5546875,14.75390625,12.3125,651.89453125,679.6015625,1444.2265625
17,8.7109375,15.5546875,14.75390625,12.3125,651.89453125,679.6015625,1444.2265625
18,8.7109375,15.5546875,14.75390625,12.3125,651.89453125,679.6015625,1444.2265625
19,8.7109375,15.5546875,14.75390625,12.3125,651.89453125,679.6015625,1444.23046875
20,8.7109375,15.5546875,14.75390625,12.3125,651.89453125,679.6015625,1444.23046875
21,8.7109375,15.5546875,14.75390625,12.3125,651.89453125,679.6171875,1444.23046875
22,8.7109375,15.5546875,14.75390625,12.3125,651.89453125,679.640625,1444.43359375
23,8.7109375,15.5546875,14.75390625,12.3125,651.89453125,679.640625,1444.43359375
24,8.7109375,15.5546875,14.75390625,12.3125,651.89453125,680.0390625,1444.43359375
25,8.7109375,15.5546875,14.75390625,12.3125,651.89453125,680.0390625,1444.43359375
26,8.7109375,15.5546875,16.4375,12.3125,651.89453125,680.19921875,1444.43359375
27,8.7109375,15.5546875,16.82421875,12.3125,651.89453125,680.19921875,1444.43359375
28,8.7109375,15.5546875,17.33984375,12.3125,651.89453125,680.19921875,1444.43359375
29,8.7109375,15.5546875,17.33984375,12.3125,651.89453125,680.19921875,1444.4375
30,8.7109375,15.5546875,17.33984375,12.3125,651.89453125,680.19921875,1444.4375
31,8.7109375,15.5546875,17.33984375,12.3125,652.19140625,680.42578125,1444.4375
32,8.7109375,15.5546875,17.33984375,12.3125,652.19140625,680.42578125,1444.4375
33,8.7109375,15.5546875,17.33984375,12.3125,652.19140625,680.42578125,1444.4375
34,8.7109375,15.57421875,17.33984375,12.3125,652.19140625,680.42578125,1444.4375
35,8.7109375,15.57421875,17.33984375,12.3125,652.19140625,680.42578125,1444.4375
36,8.7109375,15.57421875,17.33984375,12.3125,652.19140625,680.59375,1444.4375
37,8.7109375,15.57421875,17.33984375,12.3125,652.19140625,680.7421875,1444.4375
38,8.7109375,15.57421875,17.33984375,12.3125,652.19140625,680.7421875,1444.4375
39,8.7109375,15.57421875,17.33984375,12.3125,652.19140625,680.7421875,1444.44921875
40,8.7109375,15.57421875,17.33984375,12.3125,652.19140625,680.7421875,1444.44921875
41,8.7109375,15.57421875,17.59765625,12.3125,652.19140625,680.7421875,1444.5625
42,8.7109375,15.57421875,17.59765625,12.3125,652.19140625,680.7421875,1444.81640625
43,8.7109375,15.57421875,17.59765625,12.3125,652.19140625,680.74609375,1444.81640625
44,8.7109375,15.57421875,17.59765625,12.3125,652.19140625,680.74609375,1444.81640625
45,8.7109375,15.57421875,17.59765625,12.3125,656.5625,680.74609375,1446.81640625
46,8.7109375,15.57421875,17.59765625,12.3125,656.68359375,680.74609375,1446.81640625
47,8.7109375,15.57421875,17.59765625,12.3125,656.68359375,680.74609375,1446.81640625
48,8.7109375,15.57421875,17.59765625,12.3125,652.34375,680.9140625,1446.81640625
49,8.7109375,15.57421875,17.59765625,12.3125,652.34375,680.9140625,1446.81640625
50,8.7109375,15.57421875,17.59765625,12.3125,652.34375,681.16796875,1447.0703125
51,8.7109375,15.57421875,17.59765625,12.3125,652.34375,681.25,1447.0703125
52,8.7109375,15.57421875,17.59765625,12.3125,652.34375,681.25,1447.0703125
53,8.7109375,15.57421875,17.59765625,12.3125,652.34375,681.25,1447.0703125
54,8.7109375,15.57421875,17.59765625,12.3515625,652.34375,681.25,1447.0703125
55,8.7109375,15.57421875,17.59765625,12.3515625,652.34375,681.25,1447.0703125
56,8.7109375,15.57421875,17.59765625,12.3515625,652.34375,681.3984375,1447.0703125
57,8.7109375,15.57421875,17.59765625,12.3515625,652.34375,681.3984375,1447.0703125
58,8.96484375,15.57421875,17.59765625,12.3515625,652.34375,681.3984375,1447.08203125
59,8.96484375,15.57421875,17.59765625,12.3515625,652.34375,681.3984375,1447.08203125
60,9.19140625,15.57421875,17.59765625,12.3515625,652.34375,681.3984375,1447.08203125
61,9.19140625,15.57421875,17.59765625,12.3515625,652.34375,681.3984375,1447.08203125
62,9.19140625,15.57421875,17.59765625,12.3515625,652.34375,681.56640625,1447.08203125
63,9.19140625,15.57421875,17.59765625,12.3515625,652.34375,681.56640625,1447.08203125
64,9.31640625,15.57421875,17.59765625,12.3515625,652.34375,681.56640625,1447.08203125
65,9.31640625,15.57421875,17.59765625,12.3515625,652.34375,681.56640625,1447.08203125
66,9.31640625,15.57421875,17.59765625,12.35546875,652.34375,681.56640625,1447.08203125
67,9.31640625,15.57421875,17.59765625,12.35546875,652.34375,681.56640625,1447.08203125
68,9.31640625,15.57421875,17.59765625,12.35546875,652.34375,681.56640625,1447.08203125
69,9.31640625,15.57421875,17.59765625,12.35546875,652.34375,681.57421875,1447.08203125
70,9.31640625,15.57421875,17.59765625,12.35546875,652.34375,681.57421875,1447.08203125
