Trial,mri-1.8.7,mri-2.3.3,ruby+omr,rtl-mjit,jruby-1.7.27,jruby-9.1.13,truffleruby-0.30.2
1,0.000124701,9.9676e-05,0.000122655,9.8681e-05,6.9984e-05,6.2811e-05,0.000154921
2,15.454420626,3.301218967,3.664534385,3.437380589,3.048671128,5.208096793,24.733026928
3,28.630202262,6.544494202,7.244558202,6.906990529,5.811559628,10.044510339,28.473252911
4,41.978204249,9.778705856,10.916974946,10.37834504,8.571238272,14.762792153,37.056851242
5,55.329068511,13.030375437,14.506657802,13.813097784,11.309081966,19.491029461,40.083003328
6,68.495681103,16.321621546,18.071074285,17.327559847,14.034984155,24.181571948,42.014131314
7,81.778086765,19.564309107,21.748841941,20.760848215,16.742231862,28.872718594,44.132407275
8,94.940588971,22.814288486,25.294034297,24.290340005,19.451351387,33.599301473,46.343074003
9,108.299373324,26.12421382,28.90539812,27.752886776,22.144864431,38.274341882,48.572925491
10,121.46301257,29.457079672,32.51506519,31.28715462,24.838573989,43.074334015,50.126092947
11,134.690605634,32.735347417,36.128059961,34.721875846,28.120027806,47.759443304,51.672338415
12,148.161144651,36.00153657,39.732569274,38.230909729,30.849695501,52.482873242,53.220188987
13,161.412795754,39.28438427,43.39045761,41.679835419,33.592210129,57.216779833,55.047070309
14,174.849663891,42.625039787,46.972243809,45.239668442,36.335188479,61.927120713,56.599146786
15,188.224565921,45.856302632,50.616545324,48.715800061,39.127288597,66.635498029,58.298156015
16,201.653327891,49.131973993,54.32189066,52.231889112,41.839233494,71.334802746,59.852073324
17,214.988748826,52.432149319,58.036995637,55.72354739,44.570749156,76.087438146,61.397219838
18,228.360549579,55.768712961,61.690781528,59.235342251,47.294435054,80.771683131,62.933307808
19,241.533028624,59.016171448,65.369597004,62.705721411,50.036106499,85.495249533,64.457974238
20,254.57530507,62.29365543,69.108565604,66.238715559,52.771755111,90.179521699,65.982383621
21,267.803260301,65.604406757,72.771912181,69.721129803,55.495249347,94.884382472,67.509134225
22,280.868097142,68.954874151,76.415325709,73.249751565,58.222008477,99.570896862,69.030930813
23,294.091360234,72.190302116,80.059990763,76.72612622,60.947906323,104.232811911,70.543768721
24,307.345675107,75.458896875,83.699282443,80.264673414,63.654579626,108.921952344,72.057406946
25,320.457164099,78.730470309,87.353265419,83.720441529,66.4002163,113.59927177,73.576102229
26,333.488724629,82.105284755,91.019061378,87.257533964,69.116834217,118.281109293,75.090438858
27,346.749185718,85.344145874,94.602114306,90.707264356,71.846408274,122.934655801,76.617337575
28,360.005502753,88.591896498,98.171764176,94.238554193,74.566306202,127.623783282,78.133252588
29,373.087160623,91.887952198,101.777370082,97.67945126,77.267009092,132.314339315,79.667479631
30,386.328673698,95.201402628,105.293305581,101.255583201,79.986015129,137.000536656,81.202574189
31,399.405254569,98.459578569,108.832194765,104.717341157,82.700966252,141.714386667,82.733916825
32,412.674894547,101.734279881,112.42356456,108.251094294,85.430806519,146.431647819,84.345170498
33,425.764356431,105.024283963,116.032120818,111.695248387,88.151842946,151.149065734,85.868669829
34,438.886419142,108.357481568,119.529253142,115.23108321,90.863771888,155.832500497,87.397572918
35,452.034612867,111.599121369,123.060894441,118.660126597,93.590185737,160.572737741,88.924101396
36,465.317556908,114.870424331,126.638992978,122.180098258,96.301856383,165.268347457,90.440526249
37,478.619519023,118.185971566,130.257098997,125.626320971,99.003425613,169.979230179,91.959552074
38,491.982411631,121.488068352,134.00615959,129.166069731,101.736086588,174.698655143,93.501945405
39,505.400708659,124.747784423,137.512730555,132.687871872,104.452386361,179.415066838,95.026348951
40,518.663898514,128.019552225,141.085791522,136.224843408,107.167722059,184.102475924,96.559264098
41,532.021279111,131.334274819,144.659860715,139.669334622,109.895124643,188.902678917,98.148735629
42,545.304674557,134.564691653,148.262064538,143.209203425,112.62998562,193.6566326,99.673820568
43,558.595909231,137.819104735,151.798255306,146.632096609,115.347172102,198.327239897,101.214393728
44,571.747637153,141.090710029,155.352342861,150.142536206,118.048898607,203.006351153,102.769140977
45,585.094463093,144.449815332,158.952322551,153.57322921,120.767760319,207.684895884,104.288181428
