Trial,mri-1.8.7,mri-2.3.3,ruby+omr,rtl-mjit,jruby-1.7.27,jruby-9.1.13,truffleruby-0.30.2
1,15.445476625,3.288451231,3.650540986,3.42511583,3.041360188,5.197252199,24.726464498
2,13.175379115,3.229954945,3.568105065,3.456100856,2.751746996,4.822819332,3.727425617
3,13.347597631,3.231584284,3.669986927,3.468807677,2.755514914,4.715608901,8.582219341
4,13.350410626,3.24848433,3.586705035,3.431850423,2.734766824,4.725536119,3.024571614
5,13.165944579,3.288150657,3.561648264,3.511542485,2.72326628,4.68867851,1.928951283
6,13.28186975,3.239223466,3.675283165,3.430425729,2.704122248,4.688422091,2.116801954
7,13.162106536,3.246586644,3.542299252,3.525981867,2.706197648,4.724234633,2.209080147
8,13.358298069,3.306612135,3.608472531,3.459462893,2.690301836,4.672392154,2.228101313
9,13.163073779,3.329323147,3.606567527,3.531218227,2.691139618,4.797639698,1.551290778
10,13.227224608,3.268511718,3.610083887,3.431837674,3.279894931,4.683096545,1.544422281
11,13.470107061,3.2632437,3.601677153,3.506557929,2.726261972,4.720616273,1.544741001
12,13.251156909,3.279839421,3.655006734,3.445912191,2.739625385,4.731547307,1.824174067
13,13.436345339,3.337613005,3.578723641,3.556770597,2.734652016,4.707181054,1.549273387
14,13.374454259,3.228258304,3.641362786,3.472867849,2.787274093,4.704478442,1.696535801
15,13.428265488,3.272618197,3.702261465,3.512828521,2.708609693,4.695709917,1.55108873
16,13.335029508,3.297071644,3.71206167,3.488619859,2.728664804,4.749599792,1.541717414
17,13.371327708,3.333391554,3.650620547,3.508521964,2.720509229,4.680608075,1.5323883
18,13.171961368,3.245096581,3.675607715,3.467116755,2.738307391,4.719589041,1.518406779
19,13.041848742,3.274377904,3.735703103,3.529642381,2.732104105,4.680276132,1.521658865
20,13.22751541,3.307582247,3.660027203,3.478565924,2.719583641,4.70146643,1.52402398
21,13.064433167,3.347183264,3.639997556,3.524477231,2.723544465,4.682885604,1.520102731
22,13.22288269,3.232069539,3.640906378,3.472627057,2.722987024,4.657885464,1.509472925
23,13.253861447,3.26524525,3.635574103,3.534386172,2.703113708,4.685342835,1.509994673
24,13.111040481,3.2681751,3.650194651,3.451741421,2.742033585,4.67333299,1.515569734
25,13.031186631,3.371335688,3.662034661,3.532898503,2.712135447,4.677616545,1.512684979
26,13.259943008,3.235687583,3.579171148,3.445535051,2.726120196,4.649416242,1.525148145
