Trial,mri-1.8.7,mri-2.3.3,ruby+omr,rtl-mjit,jruby-1.7.27,jruby-9.1.13,truffleruby-0.30.2
1,3.5625,9.54296875,9.296875,8.89453125,634.359375,671.375,653.73828125
2,3.5625,9.54296875,9.296875,8.89453125,634.359375,671.375,654.28125
3,3.5625,9.54296875,9.296875,8.89453125,634.359375,671.41015625,654.484375
4,3.5625,9.54296875,9.296875,8.89453125,634.359375,671.41015625,654.734375
5,3.5625,9.54296875,9.296875,8.89453125,634.359375,671.41015625,655.12890625
6,3.5625,9.54296875,9.296875,8.89453125,634.359375,671.50390625,655.328125
7,3.5625,9.54296875,9.296875,8.89453125,634.4609375,671.50390625,655.7421875
8,3.5625,9.54296875,9.296875,8.89453125,634.4609375,671.50390625,655.97265625
9,3.5625,9.54296875,9.296875,8.89453125,634.4609375,671.50390625,656.2265625
10,3.5625,9.54296875,9.296875,8.89453125,639.8203125,676.87109375,656.28515625
11,3.5625,9.54296875,9.296875,8.89453125,639.85546875,676.91015625,656.74609375
12,3.5625,9.54296875,9.296875,8.89453125,639.85546875,676.91015625,656.921875
13,3.5625,9.54296875,9.296875,8.89453125,639.85546875,676.91015625,656.921875
14,3.5625,9.54296875,9.296875,8.89453125,639.85546875,676.91796875,657.0078125
15,3.5625,9.54296875,9.296875,8.89453125,639.85546875,676.91796875,657.12109375
16,3.5625,9.54296875,9.296875,8.89453125,639.85546875,676.98046875,657.2265625
17,3.5625,9.54296875,9.296875,8.89453125,639.85546875,676.98046875,657.46484375
18,3.5625,9.54296875,9.296875,8.89453125,639.78515625,676.98046875,657.61328125
19,3.5625,9.54296875,9.296875,8.89453125,639.78515625,676.98046875,657.6875
20,3.5625,9.54296875,9.296875,8.89453125,639.78515625,676.98046875,657.7578125
21,3.5625,9.54296875,9.296875,8.89453125,639.78515625,676.98046875,657.83203125
22,3.5625,9.54296875,9.296875,8.89453125,639.78515625,676.98046875,657.9296875
23,3.5625,9.54296875,9.296875,8.89453125,639.78515625,676.98046875,657.9296875
24,,9.54296875,9.296875,8.89453125,639.78515625,676.98046875,657.9296875
25,,9.54296875,9.296875,8.89453125,639.78515625,676.98046875,657.99609375
26,,9.54296875,9.296875,8.89453125,639.78515625,676.98046875,657.99609375
27,,9.54296875,9.296875,8.89453125,639.78515625,676.98046875,657.99609375
28,,9.54296875,9.296875,8.89453125,639.78515625,676.98046875,658.140625
29,,9.54296875,9.296875,8.89453125,639.78515625,676.98046875,658.3125
30,,9.54296875,9.296875,8.89453125,639.78515625,676.98046875,658.3125
31,,9.54296875,9.296875,8.89453125,639.78515625,676.98046875,658.37890625
32,,9.54296875,9.296875,8.89453125,639.78515625,676.98046875,658.37890625
33,,9.54296875,9.296875,8.89453125,639.78515625,676.98046875,658.7109375
34,,9.54296875,9.296875,8.89453125,639.78515625,676.98046875,661.48828125
35,,9.54296875,9.296875,8.89453125,639.78515625,677.06640625,661.48828125
36,,9.54296875,9.296875,8.89453125,639.78515625,677.06640625,661.48828125
37,,9.54296875,9.296875,8.89453125,639.78515625,677.06640625,661.61328125
38,,9.54296875,9.296875,8.89453125,639.78515625,677.0703125,661.61328125
39,,9.54296875,9.296875,8.89453125,639.78515625,677.0703125,661.61328125
40,,9.54296875,9.296875,8.89453125,639.78515625,677.0703125,661.61328125
41,,9.54296875,9.296875,8.89453125,639.90625,677.0703125,661.61328125
42,,9.54296875,9.296875,8.89453125,639.90625,677.0703125,661.61328125
43,,9.54296875,9.296875,8.89453125,639.90625,677.0703125,661.61328125
44,,9.54296875,9.296875,8.89453125,639.90625,677.26171875,661.61328125
45,,9.54296875,9.296875,8.89453125,639.90625,679.26171875,661.61328125
46,,9.54296875,9.296875,8.89453125,639.90625,679.26171875,661.75390625
47,,9.54296875,9.296875,8.89453125,639.90625,679.26171875,661.75390625
48,,9.54296875,9.296875,8.89453125,639.90625,679.26171875,661.75390625
49,,9.54296875,9.296875,8.89453125,640.1015625,679.26171875,661.83203125
50,,9.54296875,9.296875,8.89453125,640.1015625,679.5859375,661.83203125
51,,9.54296875,9.296875,8.89453125,640.1015625,679.5859375,661.92578125
52,,9.54296875,9.296875,8.89453125,640.1015625,679.5859375,662.0
53,,9.54296875,9.296875,8.89453125,640.1015625,679.73828125,663.66015625
54,,9.54296875,9.296875,8.89453125,640.1015625,679.73828125,663.80078125
55,,9.54296875,9.296875,8.89453125,640.1015625,679.73828125,663.92578125
56,,9.54296875,9.296875,8.89453125,640.1015625,679.69921875,663.92578125
57,,9.54296875,9.296875,8.89453125,640.171875,679.69921875,663.92578125
58,,9.54296875,9.296875,8.89453125,640.171875,679.69921875,664.0859375
59,,9.54296875,9.296875,8.89453125,640.171875,679.69921875,664.0859375
60,,9.54296875,9.296875,8.89453125,640.171875,679.69921875,664.0859375
61,,9.54296875,9.296875,8.89453125,640.171875,679.69921875,664.0859375
62,,9.54296875,9.296875,8.89453125,642.171875,679.69921875,664.21875
63,,9.54296875,9.296875,8.89453125,642.171875,679.69921875,664.21875
64,,9.54296875,9.296875,8.89453125,642.921875,679.70703125,664.21875
65,,9.54296875,9.296875,8.89453125,642.921875,679.70703125,664.359375
66,,9.54296875,9.296875,8.94140625,642.921875,679.70703125,664.359375
67,,9.54296875,9.296875,10.90234375,642.921875,679.70703125,664.453125
68,,9.54296875,9.296875,10.90234375,642.921875,679.70703125,664.453125
69,,9.54296875,9.296875,10.90234375,642.921875,679.70703125,664.453125
70,,9.54296875,9.296875,10.90234375,642.921875,679.70703125,664.5546875
71,,9.54296875,9.296875,10.90234375,642.921875,679.70703125,664.5546875
72,,9.54296875,9.296875,10.90234375,642.921875,679.90625,664.625
73,,9.54296875,9.296875,10.90234375,642.921875,679.90625,664.625
74,,9.54296875,9.296875,10.90234375,642.921875,679.90625,664.890625
75,,9.54296875,9.3203125,10.90234375,642.921875,679.90625,664.890625
76,,9.54296875,9.3203125,10.90234375,642.921875,679.90625,664.89453125
77,,9.54296875,9.3203125,10.90234375,642.921875,679.90625,665.03125
78,,9.54296875,9.3203125,10.90234375,642.921875,679.90625,665.0859375
79,,9.54296875,9.3203125,10.90234375,642.921875,679.90625,665.0859375
80,,9.54296875,9.3203125,10.90234375,642.921875,679.90625,665.0859375
81,,9.54296875,9.3203125,10.90234375,642.921875,679.90625,665.16796875
82,,9.54296875,9.3203125,10.90234375,642.921875,679.9296875,665.265625
83,,9.54296875,9.3203125,10.90234375,642.921875,679.9296875,665.265625
84,,9.54296875,9.3203125,10.90234375,642.921875,680.1015625,665.265625
85,,9.54296875,9.3203125,10.90234375,642.92578125,680.2578125,665.265625
86,,9.54296875,9.3203125,10.90234375,642.92578125,680.83984375,665.265625
87,,9.5703125,9.3203125,10.90234375,642.92578125,681.30859375,665.3515625
88,,9.5703125,9.3203125,10.90234375,642.92578125,686.7265625,665.3515625
89,,9.5703125,9.3203125,10.90234375,642.92578125,700.65234375,665.3515625
90,,9.5703125,9.3203125,10.90234375,642.92578125,700.65234375,665.3515625
91,,9.5703125,9.3203125,10.90234375,642.92578125,700.65234375,665.3515625
92,,9.5703125,9.3203125,10.90234375,642.92578125,700.65234375,665.5546875
93,,9.5703125,9.3203125,10.90234375,642.92578125,700.65234375,665.5546875
94,,9.5703125,9.3203125,10.90234375,642.92578125,702.65234375,665.62890625
95,,9.5703125,9.3203125,10.90234375,642.92578125,702.71484375,665.62890625
96,,9.5703125,9.3203125,10.90234375,642.92578125,703.625,665.6640625
97,,9.5703125,9.3203125,10.90234375,642.92578125,703.80078125,665.6640625
98,,9.5703125,9.3203125,10.90234375,642.92578125,703.80078125,665.6640625
99,,9.5703125,9.3203125,10.90234375,642.92578125,703.80078125,665.75390625
100,,9.5703125,9.3203125,10.90234375,642.92578125,703.80078125,665.8046875
101,,9.5703125,9.3203125,10.90234375,642.92578125,703.80078125,665.94921875
102,,9.5703125,9.3203125,10.90234375,642.92578125,703.80078125,665.94921875
103,,9.5703125,9.3203125,10.90234375,642.9296875,704.0,665.94921875
104,,9.5703125,9.3203125,10.90234375,642.9296875,704.0,665.94921875
105,,9.5703125,9.3203125,10.90234375,642.9296875,704.0,665.94921875
106,,9.5703125,9.3203125,10.90234375,642.9296875,704.0,665.99609375
107,,9.5703125,9.3203125,10.90234375,642.9296875,704.0,665.99609375
108,,9.5703125,9.3203125,10.90234375,642.9296875,704.0,665.99609375
109,,9.5703125,9.3203125,10.90234375,642.9296875,704.0,665.99609375
110,,9.5703125,9.3203125,10.90234375,642.9296875,704.0,665.99609375
111,,9.5703125,9.3203125,10.90234375,642.9296875,704.0,665.99609375
112,,9.5703125,9.3203125,10.90234375,642.9296875,704.0,665.99609375
113,,9.5703125,9.3203125,10.90234375,642.9296875,704.0,665.99609375
114,,9.5703125,9.3203125,10.90234375,642.9296875,704.00390625,665.99609375
115,,9.5703125,9.3203125,10.90234375,643.109375,704.00390625,665.99609375
116,,9.5703125,,10.90234375,643.109375,704.00390625,665.99609375
117,,,,10.90234375,643.109375,704.00390625,666.12890625
118,,,,10.90234375,643.109375,704.00390625,666.12890625
119,,,,10.90234375,643.109375,704.00390625,666.12890625
120,,,,10.90234375,643.109375,704.00390625,666.12890625
121,,,,10.90234375,643.109375,704.00390625,666.12890625
122,,,,10.90234375,645.109375,704.00390625,666.16015625
123,,,,10.90234375,645.109375,704.00390625,666.16015625
124,,,,10.90234375,645.109375,704.00390625,666.16015625
125,,,,,645.109375,704.00390625,666.16015625
126,,,,,645.109375,,666.16015625
127,,,,,645.36328125,,666.16015625
128,,,,,645.59375,,666.16015625
129,,,,,645.59375,,666.16015625
130,,,,,645.59375,,666.16015625
131,,,,,645.59375,,666.16015625
132,,,,,645.59375,,666.16015625
133,,,,,645.59375,,666.16015625
134,,,,,645.59375,,666.16015625
135,,,,,645.59375,,666.16015625
136,,,,,645.59375,,666.16015625
137,,,,,645.59375,,666.16015625
138,,,,,645.59375,,666.16015625
139,,,,,645.59375,,666.16015625
140,,,,,645.59375,,666.16015625
141,,,,,645.59375,,666.16015625
142,,,,,645.59375,,666.16015625
143,,,,,645.59375,,666.16015625
144,,,,,645.59375,,666.16015625
145,,,,,645.59375,,666.16015625
146,,,,,645.59375,,666.16015625
147,,,,,645.59375,,666.6328125
148,,,,,645.59375,,666.6328125
149,,,,,645.59375,,666.6328125
150,,,,,645.59375,,666.6328125
151,,,,,645.59375,,666.6328125
152,,,,,645.59375,,666.6328125
153,,,,,645.59375,,666.6328125
154,,,,,645.59375,,666.6328125
155,,,,,645.59375,,666.6328125
156,,,,,645.59375,,666.6328125
157,,,,,645.59375,,666.6328125
158,,,,,645.59375,,666.6328125
