Trial,mri-1.8.7,mri-2.3.3,ruby+omr,rtl-mjit,jruby-1.7.27,jruby-9.1.13,truffleruby-0.30.2
1,9.8404e-05,9.6664e-05,9.8207e-05,0.000101664,6.7813e-05,0.000106049,0.000137633
2,53.390970101,10.43911894,10.527459653,9.801429781,6.732461901,9.348281193,1.161627651
3,106.850003814,20.820391308,21.258651053,19.513957207,13.50001329,18.588564361,2.213997514
4,160.207171896,31.202449169,31.939827507,29.279021521,20.246479188,28.367713732,3.185288083
5,213.483564877,41.482370849,42.641149978,39.048459479,26.979503096,37.802748409,4.154221375
6,267.199533595,51.790279769,53.299100494,48.835167893,33.689173319,47.230406828,5.138085333
7,320.902528008,62.087577379,63.815223394,58.70711144,40.409460871,56.672559893,6.109007235
8,374.607628641,72.435335106,74.282970099,68.392017173,47.121838201,66.114986931,7.077661262
9,428.107560196,82.740444181,84.88393053,78.05419473,53.848891514,75.575146175,8.047234896
10,481.580233659,93.167922628,95.397628336,87.723506412,60.547386296,85.007219905,9.016195304
11,535.311500259,103.478834233,105.975243089,97.383914984,67.773542129,94.414644597,9.980811215
12,589.019260915,113.898182885,116.478664765,107.051711706,74.67029816,103.848591381,10.939369414
13,642.812603511,124.250589539,127.050257656,116.711451834,81.552958804,113.266170485,11.917108564
14,696.475984099,134.594448506,137.691056085,126.387856096,88.434904581,122.733427665,12.875473813
15,750.269246506,144.970129011,148.287312033,136.064966248,95.342299479,132.116742599,13.839520738
16,804.154733574,155.406836458,158.926023118,145.75856922,102.259804424,141.511622392,14.808387562
17,857.969448472,165.808542648,169.499812512,155.432057476,109.146991761,150.855582332,15.770630385
18,911.730605989,176.222529906,180.067528974,165.103948248,116.029777914,160.214706197,16.735219903
19,965.578891575,186.636379698,190.78659866,174.784294401,122.884855308,169.551069713,17.701242344
20,1019.626119904,196.984763284,201.380851702,184.481835876,129.749404294,178.8900068,18.67965539
21,1073.488135385,207.450586507,211.919932452,194.175936835,136.629048471,188.265003793,19.635294134
22,1127.189431441,217.893453241,222.420297048,203.856097398,143.539510146,197.707206229,20.592502593
23,1181.04469675,228.267131596,232.923216353,213.577680225,150.471109942,207.079562905,21.548186621
24,,238.668061209,243.39736371,223.254246837,157.369045868,216.531924933,22.52951913
25,,249.03394861,253.942828458,232.944591332,164.287239535,226.054779717,23.494904449
26,,259.46826284,264.400850203,242.646776036,171.196450281,235.428011558,24.475722308
27,,269.80750402,274.862674815,252.335645149,178.153864419,244.874089469,25.431565282
28,,280.290685082,285.338141986,262.024016913,185.045883682,254.272708117,26.415594409
29,,290.680001579,295.795286974,271.715897616,191.929695315,263.704946744,27.374235869
30,,301.098028934,306.28832641,281.432928533,198.806979585,273.082666813,28.331262971
31,,311.605959611,316.795359287,291.19071957,205.672370478,282.49889576,29.286889222
32,,321.983928167,327.328575988,300.922414979,212.560709991,291.891577905,30.252214406
33,,332.419847324,337.793316028,310.628362549,219.449492544,301.313986654,31.205313631
34,,342.799525283,348.280627997,320.324694569,226.326647777,310.766147236,32.201372582
35,,353.270184627,358.784237906,330.077622803,233.264555816,320.1797774,33.254014952
36,,363.755201054,369.26445033,339.859549836,240.158445137,329.609016924,34.223607945
37,,374.222294658,379.72046159,349.631202063,247.029091758,339.006231038,35.189238184
38,,384.602393769,390.197799664,359.352971896,253.889019849,348.410640911,36.144464641
39,,395.092202275,400.665670721,369.101391905,260.759134229,357.814231496,37.109737115
40,,405.467964824,411.122460264,378.845287309,267.630381928,367.297916584,38.064314303
41,,415.883266768,421.727403566,388.538246399,274.525238741,376.772697897,39.018984824
42,,426.32891946,432.268901574,398.288835949,281.441176183,386.192018552,39.975876372
43,,436.778320196,442.755182125,408.087024928,288.313349683,395.603640718,40.93054387
44,,447.229796321,453.250963288,417.779609762,295.220421138,404.983858858,41.888531871
45,,457.719093824,463.782251526,427.534617801,302.104907609,414.417005299,42.858273126
46,,468.206904919,474.305764953,437.285739506,309.038852487,423.811132218,43.830735701
47,,478.640819128,484.764418745,447.033727525,315.949981041,433.200201893,44.797992037
48,,489.065295732,495.250845365,456.850736327,322.859767391,442.576793095,45.760746862
49,,499.388235518,505.773078889,466.668824092,329.795280296,451.964156102,46.732903877
50,,509.729533482,516.261762138,476.421952142,336.733303443,461.407153523,47.692615057
51,,520.107125,526.765823939,486.160974275,343.634377596,470.829099825,48.645751559
52,,530.47231635,537.231183696,495.915369241,350.533918259,480.892045111,49.619128199
53,,540.858259469,547.716325489,505.678126214,357.441102447,491.019363749,50.585085232
54,,551.193085065,558.228746643,515.522909727,364.343905716,501.07410848,51.559555441
55,,561.570429978,568.897368652,525.250455949,371.261393189,511.136275145,52.513134454
56,,571.887222335,579.357082121,535.043829242,378.152819424,521.223220887,53.467178064
57,,582.190119383,589.862404066,544.773370546,385.040322538,531.280173117,54.418486324
58,,592.536473934,600.327412458,554.506681507,391.948354712,541.333710897,55.375340543
59,,602.911910325,610.816096061,564.297146409,398.832952735,551.360064173,56.337934101
60,,613.222581859,621.284605068,574.105270647,405.734189237,561.421469217,57.292615502
61,,623.631390968,631.783385431,583.875372579,412.627166692,571.593071009,58.246139094
62,,634.01589766,642.270996532,593.605275922,419.543974575,581.745171598,59.241721877
63,,644.328450627,652.855899665,603.317205946,426.435595713,591.84959817,60.213459071
64,,654.670872919,663.352118408,613.070127037,433.350016449,601.90040552,61.210874497
65,,665.088405641,673.911329913,622.850247438,440.294135395,611.963807056,62.210233488
66,,675.471208627,684.411313056,632.596049722,447.204812119,622.094812223,63.173050975
67,,685.840253055,694.884229861,642.276629392,454.127274286,632.236621346,64.150029374
68,,696.191036226,705.354726541,651.955953184,461.018667228,642.312652733,65.113249457
69,,706.532324371,715.921802031,661.694410612,467.936486469,652.40135627,66.090474528
70,,716.88492415,726.399352672,671.484111612,474.8511959,662.473832277,67.058941074
71,,727.285510048,736.903373169,681.159344322,481.752875823,672.560967501,68.022416273
72,,737.567061191,747.381185496,690.980734977,488.646554787,682.627534047,68.997344761
73,,747.930571576,757.873492627,700.640768527,495.561251781,692.706521344,69.965578345
74,,758.332868917,768.394970424,710.343585573,502.464058558,702.827441674,70.926501072
75,,768.645411381,778.904521145,720.052256362,509.362251667,712.952955256,71.881295624
76,,778.978507095,789.436766694,729.761506057,516.303263976,723.055278127,72.842061482
77,,789.271235217,799.933482118,739.405064422,523.198417916,733.149770025,73.831452122
78,,799.582726588,810.4249905,749.057119521,530.099883025,743.226819296,74.802473016
79,,809.879386272,820.93324602,758.714859879,537.015068571,753.337663542,75.790060017
80,,820.203155247,831.454726217,768.388124652,543.899085042,763.418836349,76.785591027
81,,830.565673792,841.942526132,778.119051626,550.81991411,773.480468739,77.768010817
82,,840.910313228,852.437863528,787.858510249,557.737812825,783.640223886,78.738509506
83,,851.213348346,862.952682859,797.577892771,564.667520222,793.781727628,79.702560865
84,,861.5280839,873.441950605,807.301387433,571.576185288,803.970058393,80.665810733
85,,871.833651622,883.92225752,817.024146123,578.48637473,814.112838429,81.660881238
86,,882.144475884,894.397695621,826.705263733,585.41450934,824.202035069,82.657501952
87,,892.465973655,904.877848337,836.422861593,592.351978586,834.251425911,83.618220941
88,,902.775182237,915.35596603,846.089790162,599.257927318,844.347020805,84.589210236
89,,912.980883153,925.825200999,855.852307094,606.210202937,854.438725251,85.556554811
90,,923.239140259,936.294415474,865.613455024,613.12451542,864.647965496,86.518772797
91,,933.485377062,946.813913885,875.287253464,620.05662333,874.804927072,87.480424202
92,,943.764711945,957.267228494,885.009753579,626.980850025,884.92532113,88.445756124
93,,954.050190588,967.714321717,894.791057615,633.883350459,895.035849692,89.481391328
94,,964.293203714,978.200209162,904.50306475,640.795502928,905.169358928,90.486959629
95,,974.556767615,988.663727022,914.259568205,647.768643668,915.315244487,91.499274334
96,,984.871074301,999.134573567,924.004640351,654.690805486,925.247896215,92.516005871
97,,995.161764825,1009.588178059,933.787867488,661.607349664,934.587618411,93.566061371
98,,1005.420401277,1020.079372617,943.474428601,668.512800122,943.918038535,94.578925593
99,,1015.756614849,1030.572969073,953.140491601,675.41159857,953.266195712,95.591211868
100,,1026.070816817,1041.038033841,962.840173954,682.34249747,962.621494007,96.60263982
101,,1036.436902502,1051.500074189,972.658006781,689.266490563,971.975173553,97.622928353
102,,1046.784977039,1061.950109398,982.426758076,696.16569971,981.339618939,98.652861568
103,,1057.109643972,1072.426305599,992.159408005,703.114063654,990.700709902,99.65914904
104,,1067.378235493,1082.882313848,1001.889065975,710.017287257,1000.034032045,100.672484464
105,,1077.619850229,1093.363378314,1011.677500211,716.933897689,1009.453503639,101.680236596
106,,1087.884742651,1103.872167125,1021.429103759,723.850632325,1018.762009105,102.686890256
107,,1098.238640476,1114.334018501,1031.161028637,730.764228233,1028.096729121,103.72060224
108,,1108.525475697,1124.794132111,1040.900934215,737.699622649,1037.487310899,104.72694867
109,,1118.840191918,1135.258593819,1050.768449988,744.606282993,1046.815130352,105.781416768
110,,1129.204866736,1145.801860162,1060.512728212,751.54813926,1056.187921358,106.797561328
111,,1139.513374485,1156.269555381,1070.19110539,758.457757643,1065.507589286,107.807304287
112,,1149.807123118,1166.758007598,1079.862305845,765.388630785,1074.84997757,108.813515357
113,,1160.154144859,1177.215791932,1089.59082311,772.312562568,1084.162157167,109.817712223
114,,1170.427269153,1187.712552371,1099.273916175,779.25470366,1093.582302478,110.846364202
115,,1180.668903433,1198.207845788,1108.949985745,786.179668304,1102.971946345,111.855022576
116,,1191.087322235,,1118.6294844,793.125670396,1112.297112261,112.883162872
117,,,,1128.300816819,800.08343614,1121.61928768,113.894803556
118,,,,1137.989495092,806.975358092,1131.005490711,114.904867555
119,,,,1147.640257166,813.897914266,1140.37413832,115.914394359
120,,,,1157.312443091,820.810171591,1149.760894557,116.943093043
121,,,,1166.957716505,827.705450367,1159.119721172,117.945880194
122,,,,1176.67759479,834.606141126,1168.468800264,118.958938163
123,,,,1186.328927924,841.509177462,1177.787699706,119.96713205
124,,,,1196.031997405,848.435539376,1187.131250894,120.988057555
125,,,,,855.341535015,1196.473139273,122.01167055
126,,,,,862.26989257,,123.031882894
127,,,,,869.191430288,,124.065172488
128,,,,,876.184210023,,125.072124192
129,,,,,883.166977597,,126.080619681
130,,,,,890.111731227,,127.086636871
131,,,,,897.022723277,,128.091103356
132,,,,,903.99645051,,129.100339388
133,,,,,910.908066613,,130.132776267
134,,,,,917.838271321,,131.13905295
135,,,,,924.787931952,,132.154032622
136,,,,,931.744003674,,133.159153423
137,,,,,938.664607252,,134.165667195
138,,,,,945.582827046,,135.188434811
139,,,,,952.489636357,,136.192869443
140,,,,,959.394376628,,137.198620898
141,,,,,966.328901607,,138.212195556
142,,,,,973.219347209,,139.218357166
143,,,,,980.141325335,,140.239094536
144,,,,,987.035669164,,141.240762077
145,,,,,993.971008455,,142.249720712
146,,,,,1000.88282749,,143.257192965
147,,,,,1007.792997195,,144.268332907
148,,,,,1014.689984579,,145.284486117
149,,,,,1021.588484179,,146.290945121
150,,,,,1028.519928916,,147.299907081
151,,,,,1035.435967644,,148.304923601
152,,,,,1042.366588993,,149.315682372
153,,,,,1049.283817802,,150.357688479
154,,,,,1056.209453695,,151.373180043
155,,,,,1063.157664127,,152.380520536
156,,,,,1070.052376192,,153.38683067
157,,,,,1076.961128762,,154.390926033
158,,,,,1083.903761091,,155.397425859
159,,,,,1090.824659371,,156.403150106
160,,,,,1097.756253664,,157.406627286
161,,,,,1104.670516337,,158.409608735
162,,,,,1111.606819331,,159.421176952
163,,,,,1118.544310044,,160.444598852
164,,,,,1125.428412702,,161.469454102
165,,,,,1132.314605553,,162.474707102
166,,,,,1139.220834653,,163.478102725
167,,,,,1146.156515993,,164.488655775
168,,,,,1153.052706628,,165.538029287
169,,,,,1159.93815706,,166.501972366
170,,,,,1166.874632838,,167.484724198
171,,,,,1173.768306215,,168.449909889
172,,,,,1180.674304018,,169.416817376
173,,,,,1187.616592039,,170.379111126
174,,,,,1194.54382141,,171.342127854
175,,,,,,,172.303661685
176,,,,,,,173.261963559
177,,,,,,,174.237204968
178,,,,,,,175.202190698
179,,,,,,,176.169194027
180,,,,,,,177.130058194
181,,,,,,,178.093070512
182,,,,,,,179.07960149
183,,,,,,,180.112257461
184,,,,,,,181.079883446
185,,,,,,,182.049211866
186,,,,,,,183.023768032
187,,,,,,,184.005199332
188,,,,,,,184.970878525
189,,,,,,,185.935002478
190,,,,,,,186.899908415
191,,,,,,,187.866418559
192,,,,,,,188.834601499
193,,,,,,,189.804602747
194,,,,,,,190.767512733
195,,,,,,,191.727299665
196,,,,,,,192.687412246
197,,,,,,,193.653968873
198,,,,,,,194.62455856
199,,,,,,,195.602250485
200,,,,,,,196.781482207
201,,,,,,,197.76291903
202,,,,,,,198.747342687
203,,,,,,,199.71917882
204,,,,,,,200.679980465
205,,,,,,,201.643957907
206,,,,,,,202.602913001
207,,,,,,,203.559547519
208,,,,,,,204.519983582
209,,,,,,,205.483737375
210,,,,,,,206.452327575
211,,,,,,,207.435967466
212,,,,,,,208.415387015
213,,,,,,,209.398623492
214,,,,,,,210.369367513
215,,,,,,,211.329291584
216,,,,,,,212.308016369
217,,,,,,,213.270407707
218,,,,,,,214.23696871
219,,,,,,,215.202107012
220,,,,,,,216.168707029
221,,,,,,,217.154923844
222,,,,,,,218.140051225
223,,,,,,,219.103058209
224,,,,,,,220.065865014
225,,,,,,,221.032529827
226,,,,,,,222.015516532
227,,,,,,,222.980353257
228,,,,,,,223.983647801
229,,,,,,,224.947195238
230,,,,,,,225.904087908
231,,,,,,,226.872658159
232,,,,,,,227.871867843
233,,,,,,,228.876760603
234,,,,,,,229.860871027
235,,,,,,,230.83239263
236,,,,,,,231.820118536
237,,,,,,,232.779998055
238,,,,,,,233.740125237
239,,,,,,,234.707049838
240,,,,,,,235.671464663
241,,,,,,,236.631704419
242,,,,,,,237.592285988
243,,,,,,,238.558457357
244,,,,,,,239.51827344
245,,,,,,,240.483124533
246,,,,,,,241.445107089
247,,,,,,,242.409507748
248,,,,,,,243.372552078
249,,,,,,,244.337654232
250,,,,,,,245.334983819
251,,,,,,,246.370477463
252,,,,,,,247.334487396
253,,,,,,,248.295393729
254,,,,,,,249.252759512
255,,,,,,,250.227701125
256,,,,,,,251.200144712
257,,,,,,,252.162884835
258,,,,,,,253.114780423
259,,,,,,,254.07255584
260,,,,,,,255.03575397
261,,,,,,,256.042157631
262,,,,,,,256.996474642
263,,,,,,,257.95664028
264,,,,,,,258.927135365
265,,,,,,,259.887086262
266,,,,,,,260.847627222
267,,,,,,,261.80728397
268,,,,,,,262.766715562
269,,,,,,,263.72722181
270,,,,,,,264.699772871
271,,,,,,,265.684193993
272,,,,,,,266.655089686
273,,,,,,,267.622882932
274,,,,,,,268.579795292
275,,,,,,,269.574871545
276,,,,,,,270.531429706
277,,,,,,,271.514985387
278,,,,,,,272.479459182
279,,,,,,,273.44723774
280,,,,,,,274.419036302
281,,,,,,,275.378088262
282,,,,,,,276.337435883
283,,,,,,,277.295632379
284,,,,,,,278.257366392
285,,,,,,,279.215801195
286,,,,,,,280.172136599
287,,,,,,,281.139058188
288,,,,,,,282.09861477
289,,,,,,,283.072562188
290,,,,,,,284.031472781
291,,,,,,,285.013536364
292,,,,,,,285.972312109
293,,,,,,,286.935740948
294,,,,,,,287.913875646
295,,,,,,,288.86783972
296,,,,,,,289.827262412
297,,,,,,,290.787419417
298,,,,,,,291.747300338
299,,,,,,,292.706765967
300,,,,,,,293.666101037
301,,,,,,,294.624708877
302,,,,,,,295.588620394
303,,,,,,,296.557127614
304,,,,,,,297.520445203
305,,,,,,,298.491583098
306,,,,,,,299.475947217
307,,,,,,,300.483517269
308,,,,,,,301.477066889
309,,,,,,,302.469678928
310,,,,,,,303.435160938
311,,,,,,,304.41937761
312,,,,,,,305.408482835
313,,,,,,,306.370560357
314,,,,,,,307.331198633
315,,,,,,,308.292672166
316,,,,,,,309.261672504
317,,,,,,,310.240273462
318,,,,,,,311.224997299
319,,,,,,,312.207157504
320,,,,,,,313.212813606
321,,,,,,,314.176906699
322,,,,,,,315.15424855
323,,,,,,,316.119628584
324,,,,,,,317.09131018
325,,,,,,,318.061649764
326,,,,,,,319.035918532
327,,,,,,,320.007381351
328,,,,,,,320.981703642
329,,,,,,,321.951050604
330,,,,,,,322.912488019
331,,,,,,,323.873309073
332,,,,,,,324.832442132
333,,,,,,,325.803658232
334,,,,,,,326.788666785
335,,,,,,,327.750762185
336,,,,,,,328.719408054
337,,,,,,,329.688185695
338,,,,,,,330.649207913
339,,,,,,,331.617502296
340,,,,,,,332.618703767
341,,,,,,,333.602809253
342,,,,,,,334.575398569
343,,,,,,,335.546614318
344,,,,,,,336.508813786
345,,,,,,,337.479199944
346,,,,,,,338.445923518
347,,,,,,,339.424467007
348,,,,,,,340.39483444
349,,,,,,,341.364071511
350,,,,,,,342.348612009
351,,,,,,,343.346784753
352,,,,,,,344.333158165
353,,,,,,,345.302916601
354,,,,,,,346.272115537
