Trial,mri-1.8.7,mri-2.3.3,ruby+omr,rtl-mjit,jruby-1.7.27,jruby-9.1.13,truffleruby-0.30.2
1,53.377364275,10.429896907,10.513579443,9.787601095,6.718413909,9.33800156,1.152474071
2,53.458656735,10.370402421,10.715488209,9.699280187,6.751502237,9.226825804,1.039263947
3,53.356785959,10.379520911,10.678589011,9.762790186,6.744100064,9.776829597,0.968723214
4,53.275956308,10.277159996,10.698428422,9.766870907,6.729952977,9.432070336,0.966026947
5,53.715578067,10.305474294,10.655213465,9.783936375,6.707092936,9.424695378,0.980804282
6,53.702602293,10.294408594,10.513200879,9.869178423,6.71747416,9.439208036,0.967864806
7,53.704722868,10.345052948,10.464941844,9.682175607,6.709624831,9.439322725,0.95955968
8,53.499465488,10.302430645,10.59811196,9.659510117,6.722629209,9.456967835,0.967881732
9,53.472301262,10.424653395,10.510305575,9.66669194,6.696486266,9.429667312,0.967398761
10,53.73082321,10.30774864,10.574505371,9.657474125,7.223399313,9.403477569,0.96251279
11,53.707405908,10.416264735,10.500202628,9.664743084,6.893727978,9.430956453,0.956616876
12,53.79298854,10.34920387,10.568496832,9.65665897,6.878481194,9.414430292,0.975497036
13,53.663017469,10.340890796,10.637545172,9.673262958,6.878272359,9.463948028,0.956103296
14,53.792891319,10.372305567,10.592999856,9.673903095,6.903756329,9.379699184,0.962267104
15,53.885135228,10.43345668,10.635501572,9.690568165,6.913796726,9.391626532,0.966553824
16,53.814343194,10.398243022,10.570775949,9.670385717,6.882272528,9.339941396,0.959506436
17,53.760770149,10.410555443,10.564372192,9.668463733,6.878916955,9.355241507,0.961801336
18,53.847923241,10.410432352,10.715689648,9.676990199,6.851142691,9.332392675,0.963320171
19,54.04679477,10.344868889,10.590867293,9.694416947,6.860544119,9.328429657,0.976759647
20,53.86166886,10.462651795,10.535454976,9.690377909,6.87571136,9.371873068,0.952880424
21,53.700829271,10.439304399,10.496770904,9.676166005,6.906725099,9.43874733,0.954189508
22,53.854911925,10.369995631,10.499256866,9.717677628,6.927438702,9.368820671,0.952672892
23,53.866914468,10.397341587,10.470374739,9.672363665,6.893961751,9.44879484,0.977664768
24,,10.362144933,10.541790806,9.686114118,6.91346706,9.517787112,0.961703891
25,,10.430653607,10.454146413,9.698024524,6.90470226,9.369786738,0.977122215
26,,10.335485274,10.457623121,9.684802462,6.949391826,9.442086993,0.952590049
27,,10.479318096,10.471368694,9.684642443,6.888472432,9.3947437,0.980975223
28,,10.38558481,10.452672724,9.687650428,6.879981901,9.428769031,0.955196114
29,,10.414300564,10.488628121,9.712694512,6.873475879,9.374260078,0.953665102
30,,10.503592084,10.502740315,9.753161455,6.861638183,9.412629353,0.952670558
31,,10.373615597,10.528969681,9.726878041,6.883110655,9.389169922,0.962016212
32,,10.431487387,10.460559548,9.696243495,6.884777903,9.418542891,0.949420552
33,,10.375323177,10.482896559,9.692633692,6.872979746,9.448194375,0.992794697
34,,10.46643863,10.498978619,9.748976723,6.93378658,9.409755388,1.04941849
35,,10.480790667,10.475372051,9.778071423,6.890040855,9.425614362,0.966040151
36,,10.462901631,10.450822314,9.768006668,6.866849688,9.393123992,0.962171423
37,,10.375659437,10.47374049,9.717911122,6.855801304,9.40051802,0.951610072
38,,10.484724009,10.463898114,9.744177889,6.865786409,9.39952794,0.961470725
39,,10.37087695,10.452801736,9.73991016,6.866972577,9.479664977,0.950906885
40,,10.407569603,10.601092107,9.689446031,6.890754607,9.470612146,0.950645376
41,,10.441744209,10.537587122,9.746921953,6.911949014,9.415609598,0.952961372
42,,10.445400654,10.482239569,9.794188718,6.868126676,9.407951219,0.951370652
43,,10.447638975,10.491925698,9.688749831,6.903141659,9.376546278,0.954280521
44,,10.485584546,10.52756833,9.751339622,6.880744262,9.429349077,0.966910334
45,,10.484095757,10.519665756,9.747395276,6.930209074,9.390325442,0.968818844
46,,10.430142184,10.45490821,9.744245943,6.907259456,9.385510201,0.960705641
47,,10.420751714,10.482688616,9.813205228,6.905953234,9.37270294,0.959629683
48,,10.319304625,10.518405929,9.814275147,6.931746432,9.383376444,0.968657502
49,,10.337481059,10.484906645,9.749346987,6.934547298,9.439573648,0.956157515
50,,10.373836429,10.500325576,9.735219216,6.897114712,9.419456548,0.950165627
51,,10.36134878,10.461632524,9.750578365,6.895617942,10.059582853,0.969854371
52,,10.382156425,10.481326335,9.759016948,6.903192515,10.123211515,0.964048229
53,,10.331082221,10.508633989,9.8410392,6.898782406,10.048132838,0.971125508
54,,10.3735357,10.664869947,9.723637378,6.914317702,10.058186873,0.950501906
55,,10.312977123,10.455852871,9.789599349,6.887396355,10.083209795,0.95167874
56,,10.299336207,10.50142373,9.725566641,6.883379486,10.05299951,0.948072698
57,,10.343024259,10.461106644,9.729301842,6.90391074,10.049542781,0.953251765
58,,10.371593862,10.484542384,9.786387717,6.879020192,10.022361619,0.959212135
59,,10.306747356,10.464468531,9.804012033,6.895343553,10.057470198,0.951038596
60,,10.404820793,10.494640091,9.765961436,6.888815602,10.167590639,0.949908709
61,,10.380405484,10.483475377,9.725711116,6.912066819,10.148021608,0.991888147
62,,10.308365364,10.580746588,9.704648091,6.887714042,10.100380305,0.968946767
63,,10.338239482,10.492039679,9.748770703,6.907724473,10.046934275,0.993589286
64,,10.413420028,10.554792379,9.776017874,6.939933418,10.059272098,0.995644256
65,,10.378492311,10.49245322,9.741708778,6.906636158,10.12682543,0.958878763
66,,10.36476445,10.468686505,9.676515846,6.918234238,10.137884307,0.973744169
67,,10.346751291,10.466255566,9.675098332,6.887087885,10.07180355,0.959274646
68,,10.335084191,10.562872882,9.734534501,6.913586056,10.084457158,0.973156709
69,,10.348478058,10.473262294,9.787256705,6.910390399,10.068165403,0.964362884
70,,10.396399381,10.499653859,9.673457044,6.897348047,10.08286112,0.9594454
71,,10.27761884,10.473498061,9.817480406,6.889572749,10.062132748,0.970842741
72,,10.359138536,10.487967775,9.655607301,6.910318925,10.074537725,0.964035502
73,,10.398064136,10.517046774,9.69848101,6.898402594,10.116576684,0.954767179
74,,10.30822401,10.505226057,9.704260973,6.894102937,10.12132884,0.950654693
75,,10.328730314,10.527788355,9.704853634,6.936564053,10.097806525,0.956665657
76,,10.288339637,10.492291222,9.639130566,6.89054275,10.089855011,0.985222603
77,,10.307042433,10.487050033,9.64796542,6.89688051,10.072689046,0.966862712
78,,10.292218615,10.503774307,9.653310761,6.910507734,10.104467718,0.983304695
79,,10.319357116,10.517019274,9.668906677,6.8793724,10.076740922,0.991435813
80,,10.358253473,10.483277625,9.726295119,6.916118019,10.057078345,0.978191519
81,,10.340164662,10.491044607,9.734780841,6.913080306,10.155195661,0.96627678
82,,10.298671145,10.510221407,9.714675002,6.922522551,10.136892474,0.959825659
83,,10.310238966,10.48454019,9.718958612,6.903994117,10.184640145,0.958928095
84,,10.301171882,10.475476779,9.718010335,6.905505461,10.138453157,0.990704712
85,,10.306030949,10.470650708,9.676655852,6.923407363,10.084485666,0.992548327
86,,10.316883623,10.475404089,9.710796483,6.932543662,10.044809137,0.956308876
87,,10.304654126,10.473155519,9.662174313,6.90110994,10.090824047,0.967018271
88,,10.201299588,10.464195373,9.758002042,6.947462132,10.086837133,0.963097286
89,,10.25326341,10.463092101,9.756377963,6.909487802,10.204424717,0.958647322
90,,10.241145098,10.514666638,9.668898731,6.927276197,10.152421,0.956988378
91,,10.272523521,10.448478539,9.717900444,6.919277987,10.115511984,0.960965534
92,,10.280580871,10.442175414,9.776416322,6.897546706,10.10560822,1.033262029
93,,10.238091933,10.480904615,9.707099337,6.907204451,10.128943579,1.000833662
94,,10.258647024,10.458609317,9.751463533,6.968208347,10.140920503,1.007449536
95,,10.309691725,10.465948309,9.740273843,6.917071616,9.927681164,1.009764568
96,,10.285965229,10.448694,9.778157301,6.911489773,9.334748459,1.045419344
97,,10.253659863,10.486199176,9.681487038,6.90035009,9.32564248,1.00817435
98,,10.331206875,10.488572212,9.661344645,6.893672325,9.343160398,1.007568262
99,,10.309149061,10.460344089,9.694561647,6.925606212,9.348325083,1.006713888
100,,10.361191966,10.456973464,9.813173921,6.918703777,9.348709042,1.015790425
101,,10.343077179,10.444878802,9.763539401,6.893877857,9.359745891,1.025280669
