Trial,mri-1.8.7,mri-2.3.3,ruby+omr,rtl-mjit,jruby-1.7.27,jruby-9.1.13,truffleruby-0.30.2
1,80.8359375,62.92578125,78.4296875,60.6015625,694.94921875,728.14453125,785.15234375
2,87.0234375,70.66015625,83.9296875,67.3046875,710.26953125,731.22265625,790.359375
3,91.40625,82.26171875,84.65625,77.359375,720.8125,742.4140625,804.74609375
4,125.2890625,90.421875,86.19921875,81.04296875,735.66015625,748.68359375,813.73046875
5,132.765625,89.9453125,87.5546875,86.97265625,749.734375,761.0703125,824.69140625
6,139.6953125,90.2421875,87.9453125,88.83203125,764.65625,773.59765625,835.234375
7,146.9140625,90.2421875,88.08203125,89.08984375,778.5859375,795.59765625,874.3125
8,154.72265625,90.2421875,88.23828125,88.6328125,791.1640625,805.59765625,906.58203125
9,159.90234375,90.5390625,88.23828125,88.76171875,806.17578125,805.59765625,915.7109375
10,164.890625,92.328125,91.8671875,88.85546875,820.234375,817.59765625,915.71484375
11,217.8828125,92.3203125,104.2421875,88.91796875,834.359375,829.59765625,925.95703125
12,,92.3203125,113.5234375,89.4296875,848.359375,841.68359375,938.21484375
13,,91.38671875,115.51953125,89.59375,860.578125,861.8203125,938.21484375
14,,91.38671875,115.7734375,89.59375,874.7421875,874.1171875,944.21875
15,,91.38671875,117.8359375,89.59375,888.95703125,884.1171875,958.21875
16,,90.10546875,119.12109375,89.65625,903.6484375,896.57421875,968.32421875
17,,90.10546875,119.2109375,89.91015625,915.75390625,909.0078125,996.48046875
18,,91.48046875,119.46484375,90.94140625,929.96875,932.6796875,1004.67578125
19,,91.46484375,119.9921875,91.109375,944.26953125,946.86328125,1012.71484375
20,,91.46484375,120.16796875,91.109375,958.6015625,955.3359375,1020.71875
21,,90.1171875,120.16796875,91.12890625,972.76171875,956.23046875,1023.5234375
22,,90.1171875,120.25,91.15234375,986.94140625,966.22265625,1031.52734375
23,,90.62890625,120.38671875,91.15234375,1000.9453125,974.22265625,1039.69921875
24,,91.65625,120.60546875,89.90234375,1015.75,988.44921875,1055.703125
25,,91.65625,120.609375,90.0390625,1030.19140625,999.30078125,1063.859375
26,,91.73046875,120.609375,90.29296875,1044.35546875,1015.296875,1063.86328125
27,,90.3671875,120.7578125,90.390625,1056.46484375,1025.9453125,1079.86328125
28,,90.3671875,120.7578125,90.390625,1070.46484375,1035.9453125,1079.8671875
29,,90.375,120.7578125,90.390625,1085.12109375,1049.9453125,1089.8671875
30,,90.375,120.76171875,90.390625,1107.02734375,1062.171875,1097.87109375
31,,90.62890625,121.2734375,90.390625,1119.02734375,1074.171875,1110.65625
32,,91.1171875,121.31640625,90.390625,1133.234375,1084.28515625,1118.66015625
33,,91.1171875,121.328125,90.390625,1147.609375,1094.28515625,1126.66015625
34,,91.1171875,121.328125,90.390625,1161.67578125,1108.7265625,1134.7578125
35,,91.1640625,121.328125,90.390625,,1121.08203125,1142.7578125
36,,91.1640625,121.58203125,90.390625,,1131.08203125,1150.76171875
37,,91.28125,121.80078125,90.390625,,1141.08203125,1164.76171875
38,,91.265625,121.80078125,90.390625,,1153.2421875,1174.9375
39,,91.265625,121.97265625,90.390625,,1169.3671875,1182.9375
40,,91.32421875,121.97265625,90.41015625,,1177.4765625,1190.9375
41,,91.32421875,121.97265625,90.4140625,,1188.546875,1200.9375
42,,91.32421875,121.97265625,90.421875,,1200.796875,1209.046875
43,,91.31640625,122.00390625,90.421875,,1212.36328125,1209.046875
44,,91.31640625,122.00390625,90.421875,,1226.46484375,1217.046875
45,,91.33203125,122.00390625,90.421875,,1236.46484375,1236.3828125
46,,91.31640625,122.00390625,90.421875,,1246.46484375,1242.3828125
47,,91.31640625,122.00390625,90.421875,,1260.5546875,1244.3828125
48,,91.33203125,122.00390625,90.421875,,1268.5546875,1252.4375
49,,91.31640625,122.00390625,90.421875,,1284.68359375,1260.4375
50,,91.31640625,122.00390625,90.421875,,1298.5234375,1276.44921875
51,,91.32421875,122.00390625,90.42578125,,1313.94921875,1284.80078125
52,,91.32421875,122.00390625,90.42578125,,1327.6171875,1284.80078125
53,,91.32421875,122.00390625,90.42578125,,1341.59765625,1292.80078125
54,,91.73046875,122.00390625,90.42578125,,1353.59765625,1294.25
55,,91.73046875,122.00390625,90.42578125,,1367.59765625,1313.0859375
56,,92.22265625,122.00390625,90.42578125,,1381.6015625,1321.15234375
57,,92.20703125,122.00390625,90.4296875,,1393.890625,1321.15234375
58,,92.20703125,122.00390625,90.4296875,,1406.109375,1337.15234375
59,,92.21484375,122.00390625,90.4296875,,1412.1328125,1345.15234375
60,,92.21484375,122.00390625,90.4296875,,1426.1328125,1353.15234375
61,,92.21484375,122.00390625,90.44140625,,1436.1328125,1361.15234375
62,,90.27734375,122.00390625,90.6953125,,1446.1328125,1375.15234375
63,,90.27734375,122.00390625,90.8984375,,1464.1328125,1383.15234375
64,,90.27734375,122.00390625,90.8984375,,1475.078125,1391.2578125
65,,91.15234375,122.00390625,90.8984375,,1485.078125,1391.2578125
66,,91.15234375,122.00390625,89.47265625,,1493.48828125,1399.2578125
67,,91.16796875,122.00390625,89.47265625,,1505.48828125,1417.2578125
68,,91.15234375,122.00390625,89.7265625,,1521.48828125,1425.26171875
69,,91.15234375,122.00390625,90.078125,,1529.5703125,1425.3671875
70,,91.16015625,122.00390625,90.296875,,1541.5703125,1433.3671875
71,,91.16015625,122.00390625,90.296875,,1553.5703125,1449.55078125
72,,91.16015625,122.00390625,90.296875,,1561.5703125,1457.63671875
73,,91.22265625,122.00390625,90.328125,,1575.68359375,1461.63671875
74,,91.22265625,122.00390625,90.328125,,1585.68359375,1465.63671875
75,,91.23828125,122.00390625,89.2265625,,1599.69140625,1473.63671875
76,,91.22265625,122.00390625,89.32421875,,1611.69140625,1481.63671875
77,,91.22265625,122.0390625,89.32421875,,1621.69140625,1497.63671875
78,,91.23828125,122.0390625,89.58203125,,1631.69140625,1497.63671875
79,,91.23046875,122.0390625,89.8125,,1641.88671875,1505.7265625
80,,91.484375,122.0390625,89.8125,,1653.88671875,1515.80859375
81,,92.1953125,122.0390625,89.828125,,1668.1796875,1531.80859375
82,,92.1953125,122.0390625,90.37890625,,1680.1796875,1539.80859375
83,,92.1953125,122.0390625,91.0859375,,1690.2890625,1547.80859375
84,,92.234375,122.0390625,91.0859375,,1700.88671875,1547.90234375
85,,92.234375,122.04296875,91.0859375,,1708.296875,1555.96875
86,,92.25390625,122.04296875,91.0859375,,1727.62890625,1571.96875
87,,90.3203125,122.04296875,91.0859375,,1735.62890625,1579.96875
88,,90.3203125,122.05078125,91.0859375,,1749.62890625,1579.96875
89,,90.70703125,122.05078125,91.0859375,,1759.62890625,1587.96875
90,,90.70703125,122.1484375,91.0859375,,1771.87890625,1596.125
91,,90.70703125,122.18359375,91.0859375,,1784.21484375,1604.125
92,,91.19921875,122.3046875,91.0859375,,1794.76953125,1614.125
93,,91.19921875,122.3046875,89.6875,,1806.8984375,1634.734375
94,,91.96875,122.3046875,89.94140625,,1821.0078125,1642.734375
95,,92.1796875,122.3046875,90.0390625,,1829.0078125,1650.734375
96,,92.1796875,122.3046875,90.0390625,,1845.17578125,1658.734375
97,,92.203125,122.3046875,90.0390625,,1849.7734375,1666.734375
98,,90.703125,122.3046875,90.0390625,,1857.7734375,1674.77734375
99,,90.703125,122.3046875,90.0390625,,1871.78125,1682.77734375
100,,90.7109375,122.3046875,90.0390625,,1882.03125,1690.77734375
101,,90.7109375,122.3046875,90.0390625,,1896.03125,1713.80078125
102,,90.7109375,122.3046875,90.0390625,,1904.03125,1723.96875
103,,91.1953125,122.3046875,90.0390625,,1914.03125,1727.96875
104,,91.1953125,122.3046875,90.0390625,,1928.03125,1737.96875
105,,91.2109375,122.3046875,90.0390625,,1984.171875,1745.96875
106,,,122.3046875,90.0390625,,1998.32421875,1753.96875
107,,,122.3046875,90.0390625,,2002.5546875,1765.96875
108,,,122.3046875,90.0390625,,2004.796875,1779.96875
109,,,122.3046875,90.0390625,,2012.796875,1789.96875
110,,,122.3046875,90.0390625,,2024.89453125,1798.12890625
111,,,122.3046875,90.29296875,,2036.89453125,1806.12890625
112,,,122.3046875,90.51171875,,2046.9609375,1815.1484375
113,,,122.3046875,90.51171875,,2064.98828125,1824.1875
114,,,122.3046875,90.51171875,,2076.98828125,1832.1875
115,,,122.3046875,90.54296875,,2082.01953125,1840.1875
116,,,122.3046875,90.54296875,,2096.01953125,1840.1875
117,,,122.3046875,,,2106.01953125,1848.1875
118,,,,,,2118.1640625,1864.19921875
119,,,,,,2129.37890625,1872.19921875
120,,,,,,2141.37890625,1872.19921875
121,,,,,,2153.5546875,1880.19921875
122,,,,,,,1890.39453125
123,,,,,,,1898.51953125
124,,,,,,,1912.61328125
125,,,,,,,1914.61328125
126,,,,,,,1930.69140625
127,,,,,,,1938.703125
128,,,,,,,1946.91796875
129,,,,,,,1954.91796875
130,,,,,,,1962.91796875
131,,,,,,,1970.91796875
132,,,,,,,1980.91796875
133,,,,,,,1980.91796875
134,,,,,,,1988.91796875
135,,,,,,,2004.91796875
136,,,,,,,2012.91796875
137,,,,,,,2012.91796875
138,,,,,,,2020.91796875
139,,,,,,,2028.91796875
140,,,,,,,2037.1015625
141,,,,,,,2053.1015625
142,,,,,,,2053.27734375
143,,,,,,,2061.27734375
144,,,,,,,2069.27734375
145,,,,,,,2079.27734375
146,,,,,,,2095.27734375
147,,,,,,,2103.27734375
148,,,,,,,2103.27734375
149,,,,,,,2111.27734375
150,,,,,,,2119.27734375
151,,,,,,,2127.27734375
152,,,,,,,2143.328125
153,,,,,,,2143.328125
154,,,,,,,2151.328125
155,,,,,,,2159.328125
156,,,,,,,2167.328125
157,,,,,,,2175.328125
158,,,,,,,2185.328125
159,,,,,,,2193.328125
160,,,,,,,2205.54296875
161,,,,,,,2213.54296875
162,,,,,,,2221.54296875
163,,,,,,,2229.54296875
164,,,,,,,2281.890625
165,,,,,,,2290.3984375
166,,,,,,,2290.3984375
167,,,,,,,2290.3984375
168,,,,,,,2290.3984375
169,,,,,,,2290.3984375
170,,,,,,,2290.3984375
171,,,,,,,2290.3984375
172,,,,,,,2290.3984375
173,,,,,,,2290.3984375
174,,,,,,,2290.3984375
175,,,,,,,2290.3984375
176,,,,,,,2290.3984375
177,,,,,,,2290.5390625
178,,,,,,,2290.5390625
179,,,,,,,2290.5390625
180,,,,,,,2290.5390625
181,,,,,,,2290.5390625
182,,,,,,,2290.5390625
183,,,,,,,2290.5390625
184,,,,,,,2304.19921875
185,,,,,,,2304.19921875
186,,,,,,,2304.19921875
187,,,,,,,2304.359375
188,,,,,,,2304.42578125
189,,,,,,,2317.55859375
190,,,,,,,2317.55859375
191,,,,,,,2317.55859375
192,,,,,,,2317.6328125
193,,,,,,,2317.6328125
194,,,,,,,2317.6328125
195,,,,,,,2317.6328125
196,,,,,,,2317.6328125
197,,,,,,,2305.56640625
198,,,,,,,2305.56640625
199,,,,,,,2319.41796875
200,,,,,,,2319.625
201,,,,,,,2319.625
202,,,,,,,2319.875
203,,,,,,,2319.875
204,,,,,,,2319.875
205,,,,,,,2319.875
206,,,,,,,2305.9375
207,,,,,,,2305.9375
208,,,,,,,2305.9375
209,,,,,,,2305.9375
210,,,,,,,2306.25
211,,,,,,,2306.3671875
212,,,,,,,2306.3671875
213,,,,,,,2306.3671875
214,,,,,,,2306.3671875
215,,,,,,,2306.70703125
216,,,,,,,2306.70703125
217,,,,,,,2306.70703125
218,,,,,,,2306.96484375
219,,,,,,,2307.02734375
220,,,,,,,2307.02734375
221,,,,,,,2307.5390625
222,,,,,,,2307.5390625
223,,,,,,,2308.0859375
224,,,,,,,2308.6015625
225,,,,,,,2318.015625
