Trial,mri-1.8.7,mri-2.3.3,ruby+omr,rtl-mjit,jruby-1.7.27,jruby-9.1.13,truffleruby-0.30.2
1,5.2879e-05,5.092e-05,5.4459e-05,5.2501e-05,5.3423e-05,4.8922e-05,7.9369e-05
2,109.766239913,11.506650649,10.29404126,10.498550098,34.538561712,10.711230969,11.571509198
3,220.40027059,23.006354033,20.663243796,20.928198458,69.832779307,21.332898953,19.768448298
4,332.70511469,34.509357003,31.024298926,31.352230338,105.283606783,31.87490526,25.683167882
5,446.479969042,45.97243415,41.377679615,41.830243108,141.140440218,42.337528267,30.784762481
6,559.89489075,57.429417585,51.775109644,52.27983881,177.31267801,52.718524678,38.271777513
7,673.310283873,68.908762835,62.023027871,62.711598681,212.482119497,62.987704272,45.794806657
8,788.141464078,80.523241336,72.412115019,73.096595372,247.632520631,73.43468106,51.655847338
9,903.236009932,92.120262567,82.784225601,83.425154247,282.891206678,83.77633407,57.036897297
10,1018.368042309,103.601362519,93.083756736,93.817853791,318.673467568,94.095125899,62.856287274
11,1133.939715358,115.059593775,103.578835874,104.200260237,353.955257738,104.499461873,64.135687707
12,,126.636894264,113.942308692,114.55226782,389.926602516,114.684231916,66.118427078
13,,138.274408565,124.253898861,124.906305805,426.564714796,125.156972823,67.506187877
14,,149.984836132,134.579480028,135.37554553,462.379219694,134.993568527,68.704103457
15,,161.524550199,145.008400589,145.906053971,497.785391523,145.271151655,70.095419881
16,,173.196492542,155.406260511,156.338953057,534.034790387,155.516544747,71.478986993
17,,184.742090035,165.769040382,166.799936334,570.583948049,165.888713263,72.918523303
18,,196.315278748,176.031129826,177.235256489,607.918975989,176.257627773,74.357958786
19,,207.767539137,186.455179532,187.794979027,643.896717584,186.526067925,75.69264304
20,,219.244820466,196.82846927,198.254790469,679.547399863,196.689094957,77.128036675
21,,230.869744856,207.131916616,208.698595499,715.676235734,206.658659852,78.574759253
22,,242.484865618,217.433550238,219.162393622,751.308323321,216.945894581,79.979644476
23,,253.966975695,227.661967501,229.586186252,786.925880658,227.281237301,81.344972186
24,,265.617558363,238.123131179,240.035676044,822.805662212,237.678422226,82.335409197
25,,277.171417701,248.418724792,250.622300442,858.660898799,247.940165899,83.39865148
26,,288.829587865,258.816571955,261.222442271,894.519348576,258.098965092,84.700371677
27,,300.407418285,269.244902076,271.634267327,930.653672289,268.374802828,86.14545856
28,,312.022016839,279.574179048,282.12266981,966.327487206,278.523937426,87.591203642
29,,323.605055267,289.936271323,292.534903616,1002.662095901,288.814614286,89.022741749
30,,335.203162744,300.328151272,302.897169301,1038.343367539,299.150122248,90.243806992
31,,346.697474719,310.637590483,313.459564164,1073.790924932,309.491483839,91.470304494
32,,358.177892334,321.016799942,324.022759632,1110.197336569,319.804994525,92.652065684
33,,369.754039971,331.335061539,334.497877409,1146.975015577,329.984779496,93.962460665
34,,381.1616915,341.628073995,344.89359111,1182.617792166,340.199561478,95.21299742
35,,392.712971748,351.924121339,355.381207945,,350.618393495,96.665842102
36,,404.172733451,362.281189773,365.877182454,,360.925539946,98.039153457
37,,415.731276023,372.548825144,376.465458721,,371.095803243,99.427694672
38,,427.262131612,382.937766602,386.897206563,,381.411681691,100.642019105
39,,438.779532391,393.172601137,397.384321448,,391.516674477,101.93863418
40,,450.2232518,403.517533455,407.745631628,,401.820377325,103.385357673
41,,461.703145074,413.88848453,418.306816502,,412.438622525,104.691528094
42,,473.159087839,424.228753167,428.727848978,,422.783306529,106.029263752
43,,484.787997694,434.490174688,439.219812627,,433.118494702,107.4162022
44,,496.294986326,444.72993329,449.641290353,,443.528769528,108.798456002
45,,507.782233387,454.997961277,460.053981808,,453.788547827,110.129891268
46,,519.538962082,465.368518825,470.477826407,,464.073468357,111.392368301
47,,530.994673194,475.593693297,480.903099826,,474.416985077,112.821076908
48,,542.468946195,485.961828586,491.324415846,,484.669693264,114.211003829
49,,553.916847064,496.338321157,501.882780359,,494.918266155,115.469206241
50,,565.354671719,506.745940177,512.26555086,,505.307965328,116.882050148
51,,576.805825678,517.102850081,522.646785311,,515.587284153,118.062453246
52,,588.337701138,527.486906762,533.021010249,,526.147686599,119.265856956
53,,599.821383455,537.820945856,543.435341218,,536.228577071,120.609851006
54,,611.385152427,548.226535448,553.939087257,,546.085929539,122.025600943
55,,622.933767708,558.60277964,564.520896424,,555.587806709,123.453393449
56,,634.481583512,568.985968137,574.895146808,,565.083502553,124.653754696
57,,645.928120223,579.480159164,585.378732094,,574.67261943,125.946150011
58,,657.515123396,589.812880189,595.877050723,,584.337512499,127.383426964
59,,668.994385852,600.200996561,606.359198541,,593.882513166,128.672193496
60,,680.473889778,610.64024192,616.776880467,,603.257835732,129.834417928
61,,692.036096233,620.993277876,627.272207175,,612.823097099,131.296655097
62,,703.553608829,631.442666557,637.729415986,,622.214017646,132.745762931
63,,715.136123063,641.791488233,648.254404088,,631.648546645,134.224308682
64,,726.756439392,652.195277827,658.757540518,,641.279667594,135.703856393
65,,738.253343065,662.636492456,669.190705809,,650.755240441,137.069241782
66,,749.872735287,673.174307227,679.70889419,,660.380675233,138.531413314
67,,761.368787683,683.517182472,690.219199832,,669.968558666,139.857522252
68,,772.832381082,693.930527005,700.658810221,,679.387038208,141.195098652
69,,784.260707719,704.299338361,711.202198572,,689.028083108,142.56151636
70,,795.743730901,714.685599006,721.664942584,,698.73687704,143.870716778
71,,807.265903572,725.078580385,732.077795696,,708.312935725,144.916506546
72,,818.811971616,735.483354024,742.565987333,,717.888132746,146.31290245
73,,830.267934088,745.818765108,753.134964702,,727.385239542,147.726352965
74,,841.747461064,756.303735373,763.576124556,,736.913004348,149.144291663
75,,853.131499711,766.730882292,774.012678964,,746.177449858,150.539936686
76,,864.623380403,777.147569028,784.469990771,,755.72304083,151.958173335
