Trial,mri-2.3.3,ruby+omr,rtl-mjit,jruby-9.1.13
1,80.19921875,91.3203125,75.32421875,775.91796875
2,105.42578125,104.265625,101.10546875,802.53125
3,111.53515625,105.5703125,103.42578125,826.328125
4,111.3828125,107.2578125,103.68359375,832.53515625
5,112.4140625,107.515625,103.94140625,832.74609375
6,113.2265625,107.515625,106.00390625,833.7734375
7,113.7421875,107.515625,106.00390625,833.7734375
8,114.7734375,107.7109375,106.00390625,834.546875
9,114.7734375,107.96875,107.03515625,835.80078125
10,114.7734375,107.96875,106.7734375,836.16015625
11,112.484375,108.2265625,106.7734375,836.67578125
12,113.25390625,108.2265625,108.31640625,837.20703125
13,114.28515625,108.7421875,107.9375,849.9609375
14,114.28515625,109.0,107.9375,852.19921875
15,114.28515625,109.0,108.44921875,852.19921875
16,114.80078125,109.0,108.96484375,854.390625
17,114.80078125,109.0,108.96484375,862.390625
18,114.80078125,109.0,108.96484375,877.296875
19,115.83203125,109.0,107.703125,863.5390625
20,115.83203125,109.2578125,107.703125,863.5390625
21,115.83203125,109.2578125,108.47265625,871.5390625
22,114.66015625,109.2578125,108.98828125,876.55078125
23,114.66015625,109.2578125,108.98828125,876.55078125
24,114.66015625,106.8125,109.50390625,876.55078125
25,114.66015625,106.8125,109.50390625,877.34375
26,114.66015625,107.84375,109.50390625,877.390625
27,114.66015625,107.84375,110.01953125,877.390625
28,114.66015625,108.359375,110.01953125,877.390625
29,114.66015625,109.390625,110.01953125,877.390625
30,114.66015625,109.6484375,110.01953125,889.87109375
31,114.66015625,108.90234375,110.01953125,891.875
32,114.66015625,109.42578125,110.01953125,891.921875
33,114.66015625,110.45703125,110.01953125,892.0234375
34,114.66015625,110.45703125,110.01953125,904.0234375
35,114.66015625,109.68359375,110.01953125,908.0234375
36,114.66015625,108.703125,110.01953125,908.0234375
37,113.453125,109.9921875,110.01953125,908.1171875
38,113.453125,109.9921875,110.01953125,916.62890625
39,114.48046875,109.9921875,110.01953125,920.62890625
40,115.76953125,108.76953125,110.01953125,920.65234375
41,115.76953125,109.54296875,110.01953125,920.65234375
42,115.76953125,110.05859375,110.01953125,928.8203125
43,112.73046875,110.05859375,110.01953125,931.203125
44,115.30859375,110.31640625,108.9453125,931.203125
45,115.56640625,111.34765625,109.71484375,947.41015625
46,115.56640625,111.60546875,109.71484375,951.41015625
47,115.56640625,110.05859375,109.71484375,955.49609375
48,114.7578125,109.38671875,109.71484375,955.49609375
49,114.7578125,109.90234375,108.81640625,955.49609375
50,115.01171875,109.90234375,108.81640625,958.59765625
51,115.01171875,109.90234375,109.0703125,958.421875
52,115.26953125,109.40234375,109.0703125,958.421875
53,115.26953125,109.66015625,109.0703125,958.66796875
54,115.26953125,110.17578125,109.5859375,960.66796875
55,115.26953125,110.17578125,109.5859375,960.71484375
56,115.26953125,110.43359375,109.61328125,960.71484375
57,115.78515625,111.98046875,109.61328125,970.85546875
58,115.78515625,111.98046875,110.125,974.85546875
59,115.78515625,111.30859375,110.125,974.89453125
60,115.78515625,111.30859375,110.3828125,974.9453125
61,115.78515625,111.5625,110.3828125,974.9453125
62,115.78515625,111.5234375,110.3828125,984.9453125
63,115.78515625,108.84375,110.3828125,988.9453125
64,115.78515625,109.25,110.3828125,988.9453125
65,115.78515625,110.28125,110.3828125,988.9453125
66,110.3125,110.28125,110.3828125,1000.9453125
67,112.6328125,109.1328125,110.3828125,1004.9453125
68,114.1796875,109.25390625,110.3828125,1004.9453125
69,114.1796875,110.2421875,110.3828125,1004.9453125
70,114.1796875,110.2421875,110.3828125,1016.9453125
71,111.24609375,109.17578125,110.3828125,1027.625
72,111.24609375,109.1484375,110.3828125,1027.77734375
73,112.7890625,110.171875,110.3828125,1027.90234375
74,113.515625,110.4296875,110.3828125,1027.90234375
75,113.515625,109.59765625,110.3828125,1035.9140625
76,113.515625,108.76171875,110.3828125,1040.1796875
77,112.2109375,110.8125,110.3828125,1040.1796875
78,112.2109375,110.8125,110.3828125,1040.1875
79,113.23828125,108.62890625,110.3828125,1050.1875
80,114.26953125,109.65625,110.3828125,1054.32421875
81,114.26953125,111.203125,110.3828125,
82,114.26953125,111.203125,110.3828125,
83,114.52734375,110.53515625,110.3828125,
84,111.71875,109.6015625,110.3828125,
85,113.00390625,111.1484375,110.3828125,
86,113.00390625,111.1484375,110.3828125,
87,114.03515625,110.3046875,110.3828125,
88,114.03515625,109.58984375,110.8984375,
89,114.03515625,111.39453125,110.8984375,
