Trial,mri-2.3.3,ruby+omr,rtl-mjit,jruby-9.1.13
1,4.7174e-05,9.0207e-05,4.5332e-05,6.0493e-05
2,4.221859162,3.890632051,3.397641828,15.953135247
3,8.41009819,7.773380724,6.734018278,31.360150902
4,12.664924331,11.746896591,10.052948221,46.560466016
5,16.933126744,15.661770084,13.370258727,61.657306371
6,21.181166024,19.578455935,16.674745316,76.771540336
7,25.367753447,23.476581397,19.995890848,91.797458009
8,29.524603311,27.389514204,23.34199123,106.933819469
9,33.754351131,31.266782072,26.651329134,122.050376117
10,37.950501691,35.226457258,29.970925113,137.143568131
11,42.135567373,39.12073228,33.355887331,152.295890467
12,46.29742065,43.078158754,36.662805446,167.395183646
13,50.451756012,46.998950386,39.9984065,182.437156656
14,54.644790741,50.887839014,43.335343932,197.565514172
15,58.812459797,54.797430857,46.651893586,212.853177894
16,62.980275887,58.751533952,49.964811444,228.086869445
17,67.150693349,62.688018537,53.299932399,243.18310788
18,71.360340252,66.619775471,56.646260594,258.227335996
19,75.551420973,70.484831628,59.972589321,273.334792331
20,79.747848788,74.388121043,63.32242711,288.483726669
21,83.917979027,78.251769157,66.639017188,303.659294554
22,88.10755317,82.192637806,69.962917477,318.698457162
23,92.319918226,86.059831495,73.336799224,333.745441555
24,96.465318931,89.952741745,76.643473105,348.806751135
25,100.61477376,93.851557511,79.979439051,363.913802156
26,104.83027943,97.759414208,83.333474739,379.102605856
27,108.993489034,101.691698241,86.657181963,394.22226086
28,113.133587684,105.631892707,89.968088615,409.14714027
29,117.341648211,109.517841754,93.3401731,424.243899231
30,121.51051205,113.420686227,96.631787773,439.517855457
31,125.739772998,117.314615145,99.959292799,454.391821854
32,129.968653923,121.2088725,103.332624046,469.392558015
33,134.163213575,125.12484266,106.636033135,484.514445482
34,138.339556379,129.041494918,109.93770591,499.649938519
35,142.54024318,132.943370795,113.350340782,514.756442868
36,146.697236791,136.877879155,116.656297265,529.830760017
37,150.863994592,140.805067726,119.966907882,544.852898079
38,155.059706058,144.727836343,123.391247348,559.855757056
39,159.256472461,148.591660284,126.782343169,574.808438709
40,163.456819939,152.551203939,130.136355852,589.708898864
41,167.663272623,156.468880486,133.535339649,604.773229758
42,171.895495308,160.464270583,136.829282319,619.791049055
43,176.073928985,164.496936509,140.132094889,634.854724262
44,180.226426274,168.501038824,143.455449387,649.927690703
45,184.385968973,172.392829861,146.755953298,664.90681546
46,188.588963826,176.363509302,150.091318459,680.099157152
47,192.804398273,180.22197231,153.486189828,695.108397296
48,196.979208249,184.118973201,156.867126622,710.091114953
49,201.179117896,187.996879002,160.239167998,725.118949637
50,205.334256822,191.906068539,163.574169722,740.232202051
51,209.493148674,195.844484626,166.934875678,755.392205274
52,213.671750309,199.770579754,170.264077271,770.459654835
53,217.858024062,203.670851295,173.639902741,785.44717078
54,222.015247036,207.631735844,176.993055819,800.511074506
55,226.274252508,211.55514769,180.417866659,815.5910941
56,230.438959891,215.466596854,183.795617361,830.660318026
57,234.604603438,219.321222197,187.099439652,845.637209932
58,238.832402801,223.281996211,190.425091944,860.782347533
59,242.989566537,227.150384597,193.802822608,875.910849006
60,247.188819261,231.056585886,197.112951018,891.04609031
61,251.382024357,234.977413709,200.440946517,906.12393828
62,255.584694869,238.916216134,203.78738778,921.212783734
63,259.799245472,242.761019032,207.102436853,936.348791981
64,263.982848364,246.682876059,210.447464604,951.601247119
65,268.196543389,250.573441678,213.781907219,966.608892968
66,272.475956533,254.481024623,217.128227103,981.502348185
67,276.644051548,258.34229403,220.45398661,996.579284726
68,280.859679048,262.269520296,223.855363635,1011.528690582
69,285.116408383,266.214017503,227.240448492,1026.677426463
70,289.262501364,270.142560941,230.573418793,1041.883098144
71,293.443921898,273.997389308,233.928037098,1057.014404019
72,297.659296956,277.882908115,237.224192349,1072.225808
73,301.869671355,281.775432625,240.527981878,1087.269691968
74,306.149531252,285.685889151,243.921620267,1102.427795536
75,310.360568138,289.566615516,247.318017406,1117.401994608
76,314.568185232,293.477316159,250.669911743,1132.488889797
77,318.703375602,297.408195778,254.042138134,1147.732908141
78,322.930376962,301.343104205,257.350216566,1162.95120156
79,327.099585791,305.201847369,260.660342668,1178.043169049
80,331.299337162,309.098913813,264.033976154,1193.07892935
81,335.538734895,312.994939467,267.384071571,
82,339.827697556,316.945901662,270.720181786,
83,343.970769353,320.819884059,274.090734556,
84,348.18402478,324.886866308,277.396731603,
85,352.348256105,328.751082219,280.75467325,
86,356.568231975,332.69121952,284.131816144,
87,360.708192809,336.560665897,287.472156737,
88,364.898778993,340.48661529,290.798730485,
89,369.084429317,344.366034011,294.125458041,
90,373.250352167,348.277370769,297.456499404,
91,377.456226304,352.19431551,300.78027308,
92,381.661989423,356.115307738,304.208824888,
93,385.84358701,360.017948733,307.535065882,
94,390.071532844,363.948790009,310.845408919,
95,394.282110898,367.802096759,314.183364031,
96,398.484681118,371.772071576,317.495290653,
97,402.686353113,375.70564516,320.803263543,
98,406.888099004,379.637507619,324.143378187,
99,411.112307445,383.570371149,327.443303596,
100,415.252471502,387.492147871,330.779110857,
101,419.468524615,391.392092994,334.13091247,
102,423.689251548,395.321711282,337.449267978,
103,427.891741953,399.190537969,340.747682068,
104,432.126462203,403.120676237,344.08162473,
105,436.310836388,406.994320815,347.376116768,
106,440.477034413,410.928198639,350.767475432,
107,444.69671986,414.798282984,354.117145419,
108,448.937423335,418.706005158,357.420664344,
109,453.086989746,422.576502801,360.721797712,
110,457.301836551,426.491844464,364.041347324,
111,461.514313718,430.415423186,367.344916813,
112,465.666192709,434.327865439,370.673431175,
113,469.962382486,438.255751226,374.002495206,
114,474.177029704,442.190213981,377.308691858,
115,478.335806834,446.113145667,380.620783147,
116,482.529220851,450.064683962,383.934481755,
117,486.793564486,453.988274875,387.231889257,
118,490.971836987,457.913091154,390.539999381,
119,495.164815213,461.785400932,393.882682807,
120,499.332888609,465.710005892,397.205595751,
121,503.611408227,469.597292269,400.547538756,
122,507.787352058,473.498354261,403.932458268,
123,512.109462353,477.379137802,407.23206903,
124,516.320067742,481.310841896,410.564215561,
125,520.534078961,485.185684873,413.925929301,
126,524.685962544,489.133430042,417.234807241,
127,528.888453589,493.022606364,420.552547673,
128,533.09693104,496.945358041,423.899373295,
129,537.250031411,500.857301877,427.208092252,
130,541.577057068,504.812742526,430.528837091,
131,545.76073289,508.717340168,433.892015629,
132,549.989427251,512.690607776,437.197277498,
133,554.185879498,516.542791877,440.51301392,
134,558.350979551,520.477973656,443.844799641,
135,562.494555841,524.350752428,447.143417993,
136,566.746630268,528.259014525,450.49298921,
137,570.933994425,532.127704609,453.843125024,
138,575.083407836,536.096288373,457.150616615,
139,579.371528154,540.090583592,460.453432889,
140,583.624997201,543.997417693,463.775965806,
141,587.787206984,547.882038365,467.076074481,
142,591.982654576,551.810103195,470.386573153,
143,596.158829629,555.709556026,473.718650386,
144,600.354245468,559.623053949,477.054488335,
145,604.526544329,563.518440602,480.371350193,
146,608.682025653,567.42984984,483.710261764,
147,612.925455269,571.298256643,487.020275552,
148,617.10225774,575.216784012,490.332829105,
149,621.300466323,579.081705309,493.659704225,
150,625.510049443,582.99820552,496.980120046,
151,629.686247557,586.85877595,500.352650105,
152,633.874761482,590.749669279,503.770530714,
153,638.109829545,594.618872384,507.103806721,
154,642.29269168,598.527257168,510.431963173,
155,646.484984813,602.42565923,513.805834263,
156,650.671374176,606.360482892,517.128834062,
157,654.879388683,610.280171481,520.454964486,
158,659.138151186,614.233887403,523.808038061,
159,663.385671257,618.107496144,527.108453576,
160,667.556111837,622.006566391,530.463411478,
161,671.748763004,625.906688834,533.78422585,
162,675.945507441,629.82497356,537.096476152,
163,680.088631714,633.695861557,540.426130906,
164,684.251915417,637.603538398,543.753034481,
165,688.430999962,641.496213267,547.08902092,
166,692.629745109,645.41608219,550.451827801,
167,696.793549536,649.303690096,553.80303529,
168,701.091044334,653.235385662,557.17856459,
169,705.318182321,657.135097542,560.4593111,
170,709.458835559,661.067336142,563.763469271,
171,713.699842365,665.026786004,567.037961753,
172,717.856619162,669.026632286,570.320281061,
173,722.104680471,672.903191567,573.654734748,
174,726.334718732,676.84907201,576.936506319,
175,730.4976934,680.786331687,580.221142397,
176,734.693398419,684.72390634,583.530107925,
177,738.889294789,688.63653448,586.809294602,
178,743.172659098,692.58206084,590.089485623,
179,747.370522635,696.538896467,593.40027783,
180,751.541110888,700.449049896,596.688559535,
181,755.778047565,704.362875086,600.000279711,
182,759.966411076,708.320798095,603.320115133,
183,764.173753479,712.169733632,606.587399348,
184,768.304798142,716.198692057,609.873904432,
185,772.523332122,720.081840466,613.179664039,
186,776.697384746,723.985456544,616.441182141,
187,780.880576279,727.885827342,619.748696385,
188,785.104272274,731.78755517,623.048167257,
189,789.281479617,735.632955141,626.318050499,
190,793.441357693,739.585840064,629.5900736,
191,797.669735822,743.459825919,632.916654117,
192,801.916486367,747.373991026,636.191420937,
193,806.107383344,751.238683205,639.468326241,
194,810.316359537,755.170548658,642.780233974,
195,814.468014542,759.014942451,646.045461972,
196,818.699370132,762.949939222,649.348188102,
197,822.863559693,766.789301729,652.644169163,
198,827.080826864,770.714801793,655.965531962,
199,831.278143322,774.598573726,659.234493923,
200,835.499910106,778.455586712,662.530891932,
201,839.653304379,782.352548462,665.808542898,
202,843.852083121,786.322035406,669.0928706,
203,848.089649387,790.306799373,672.403622785,
204,852.422487247,794.176138517,675.756473627,
205,856.608071038,798.013311272,679.045145177,
206,860.831846901,801.901246645,682.392577342,
207,865.029158296,805.767332158,685.692340676,
208,869.206770613,809.726470469,688.970354204,
209,873.395376135,813.601690558,692.267981437,
210,877.574578993,817.622529583,695.537576193,
211,881.747489586,821.522868861,698.822226821,
212,885.908198426,825.388903476,702.143849124,
213,890.05308322,829.249549699,705.41939559,
214,894.268838919,833.139304001,708.793534401,
215,898.381356397,836.980849517,712.23044796,
216,902.519134165,840.922411224,715.538746865,
217,906.674220531,844.804405064,718.824341346,
218,910.791733456,848.761361675,722.118178265,
219,914.968878582,852.634847162,725.389455922,
220,919.128547164,856.568749389,728.712439962,
221,923.252895874,860.415247478,732.012939859,
222,927.376179418,864.325836601,735.322435874,
223,931.513456914,868.202423212,738.607996342,
224,935.621065289,872.100469945,741.914569458,
225,939.76787274,876.01295489,745.19433442,
226,943.872399226,879.93447299,748.538442881,
227,948.011372615,883.776125219,751.847746079,
228,952.192490359,887.75130889,755.129848335,
229,956.338405879,891.590920442,758.438296471,
230,960.456404451,895.501469133,761.811221021,
231,964.611482898,899.357752528,765.09645987,
232,968.72155617,903.242706047,768.407904382,
233,972.910663439,907.143990644,771.696549005,
234,977.094591997,911.040681513,774.973860433,
235,981.257756503,914.905431683,778.256772608,
236,985.440975977,918.855196978,781.570934491,
237,989.650380346,922.707232611,784.862536372,
238,993.798543706,926.597194289,788.1960521,
239,997.89876043,930.448907731,791.560752531,
240,1002.072543622,934.36939038,794.835329009,
241,1006.232911097,938.247924033,798.134818392,
242,1010.352658071,942.195297349,801.476507987,
243,1014.52656511,946.031162882,804.781747177,
244,1018.725495587,949.947566079,808.06800336,
245,1022.859019364,953.819410298,811.434211512,
246,1027.007952667,957.711653968,814.706113632,
247,1031.148250526,961.550283065,817.995292005,
248,1035.310467363,965.45415232,821.327834584,
249,1039.502502554,969.355249222,824.626320834,
250,1043.688037944,973.311508835,827.942374444,
251,1047.862639517,977.212370626,831.263208544,
252,1052.102826805,981.131469561,834.614082235,
253,1056.282417945,985.034512498,837.913654278,
254,1060.422344413,988.995106025,841.223826691,
255,1064.574601189,992.881930704,844.479769464,
256,1068.750030654,996.830082264,847.751713119,
257,1072.961937538,1000.713444113,851.042041811,
258,1077.081664066,1004.609010608,854.317031302,
259,1081.21591049,1008.534060929,857.606534908,
260,1085.386293889,1012.396414764,861.014293729,
261,1089.562808029,1016.345045484,864.286119103,
262,1093.692539577,1020.287571766,867.576372356,
263,1097.863450675,1024.121075888,870.902082786,
264,1101.974462903,1028.004714233,874.204732757,
265,1106.094075885,1031.87165053,877.489585658,
266,1110.253323799,1035.770435229,880.814457572,
267,1114.417412812,1039.623745391,884.114110814,
268,1118.554035696,1043.536672802,887.430887676,
269,1122.746420616,1047.413329803,890.725197508,
270,1126.871286411,1051.337302595,894.050468593,
271,1131.027787513,1055.189360027,897.374056481,
272,1135.208818507,1059.148410366,900.673980488,
273,1139.377475983,1063.037262045,903.945004656,
274,1143.593822356,1066.997394,907.389046051,
275,1147.763317397,1070.85871844,910.706448508,
276,1151.888244671,1074.769934903,913.995915211,
277,1156.026287593,1078.637307551,917.284656217,
278,1160.190025808,1082.559683911,920.582016287,
279,1164.314663757,1086.469706166,923.882605326,
280,1168.503820168,1090.370418573,927.176714664,
281,1172.66122961,1094.248648636,930.504816722,
282,1176.904313104,1098.187240687,933.82961565,
283,1181.055173172,1102.058635456,937.10696774,
284,1185.165050711,1106.043610187,940.44189849,
285,1189.322425514,1109.970621435,943.717429815,
286,1193.558859913,1113.904830761,946.995931461,
287,1197.675449744,1117.76753208,950.294343236,
288,,1121.726770679,953.593100971,
289,,1125.556451703,956.869740812,
290,,1129.5584983,960.172524334,
291,,1133.498736381,963.437984248,
292,,1137.446508702,966.709520122,
293,,1141.299702566,970.091987551,
294,,1145.222569581,973.36912577,
295,,1149.195041136,976.656683466,
