Trial,mri-1.9.3,mri-2.3.3,mjit-rtl-2.5,ruby-OMR-preview,jruby-1.7.27,jruby-9.1.13,truffleruby-0.29
1,12.71522682,10.968749726,9.683611958,10.605737108,21.026050734,13.245935798,57.098573662
2,25.296026339,21.683432132,19.435993956,21.137674498,41.876748534,25.879014168,113.680497007
3,37.760622685,32.367969916,29.143196062,31.712338902,62.682971134,38.285765526,168.62983783
4,50.263645103,43.095191575,38.84874717,42.272426073,83.266338097,50.522574835,215.9125319
5,62.672592456,53.727856683,48.646718639,52.819679558,105.325314599,62.857784279,300.658224947
6,75.083628516,64.457609483,58.310068546,63.378835346,127.053573859,75.4438972,385.382508669
7,87.462366041,75.294020101,68.096272468,73.92595687,148.545779134,88.197309203,468.462445385
8,100.021138411,86.059772902,77.807569855,84.479862114,170.203447651,100.59515061,552.484596526
9,112.380771272,96.896103643,87.536136774,95.008699506,190.977767239,113.169571081,636.869401577
10,124.754663605,107.590015306,97.258309493,105.686204688,211.876173653,125.829450153,719.681038671
11,137.129364834,118.256911606,106.985639762,116.20674998,233.050413656,138.085126847,803.129244529
12,149.575356489,129.051801643,116.743758035,126.818179459,253.947441615,150.478630244,885.978471712
13,161.957890407,139.893497862,126.51977307,137.371292128,275.843804516,163.174956496,968.538748892
14,174.325422509,150.69725202,136.322013389,147.854200004,296.875469597,175.608938137,1051.12314476
15,186.642585813,161.325206367,146.05100034,158.498233103,318.74306683,188.248113295,1134.077992801
16,198.950014288,172.084800273,155.811826609,168.969899817,339.574279744,200.274329546,1216.555229239
17,211.264228483,182.819485654,165.535169018,179.462227037,360.029520102,212.905274979,1298.752568076
18,223.505837058,193.618031317,175.272849189,190.052877755,381.325322071,227.253481654,1381.149640536
19,235.782398284,204.414384487,184.969850292,200.556748119,404.877886102,239.660275191,1464.002141662
20,248.12637477,215.10536978,194.697524088,211.032878615,426.45386858,252.248309721,1546.889091262
21,260.430544075,225.757563232,204.444974022,221.595742833,447.571231551,264.539002342,1629.570072693
22,272.794314079,236.474394489,214.105872345,232.127376313,474.505223411,277.376349507,1712.380599055
23,285.09028201,247.273870624,223.836898661,242.709638725,500.947500776,290.042072339,1795.143742478
24,297.344004611,258.004382254,233.587742097,253.258375168,529.726808411,309.453208353,1877.821552591
25,309.674257909,268.760504579,243.281492433,263.863132425,559.828374053,330.298103682,1960.731952099
