Attribute,Value
Test-Script,examples/cpu/optcarrot/optcarrot_optimized_ppu.rb
Observed attribute,Frames per second
Higher value is better,true
Base Interpreter,mri-1.9.3
Threshold for the p-value,0.01
Iterations per run,1
Warmup runs,1
Trial runs,25
Start-Time of the Experiment,2017-11-29 00:49:08 +0100
End-Time of the Experiment,2017-11-29 04:17:33 +0100
Evaluating interpreter,ruby 2.3.3p222 (2016-11-21 revision 56859) [x86_64-linux]
Operating system,Ubuntu 16.04.3 LTS
Processor,Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
Physical cores,4
Total cores,8
Memory (total),16429312kB
Memory (free),3685320kB
