Trial,mri-1.8.7,mri-2.3.3,ruby+omr,rtl-mjit,jruby-1.7.27,jruby-9.1.13,truffleruby-0.30.2
1,3.36328125,9.48828125,9.35546875,8.90625,149.42578125,200.92578125,594.26171875
2,3.36328125,9.48828125,9.35546875,8.90625,153.484375,209.9375,602.640625
3,3.36328125,9.48828125,9.35546875,8.90625,156.07421875,208.046875,653.12890625
4,3.36328125,9.48828125,9.35546875,8.90625,160.140625,212.3125,653.7421875
5,3.36328125,9.48828125,9.35546875,8.90625,162.140625,216.390625,653.96875
6,3.36328125,9.48828125,9.35546875,8.90625,166.171875,220.9140625,653.96875
7,3.36328125,9.48828125,9.35546875,8.90625,168.171875,225.78125,654.140625
8,3.36328125,9.48828125,9.35546875,8.90625,172.35546875,229.88671875,654.2734375
9,3.36328125,9.48828125,9.35546875,8.90625,174.35546875,235.88671875,654.2734375
10,3.36328125,9.48828125,9.35546875,8.90625,178.609375,242.23828125,654.2734375
11,3.36328125,9.48828125,9.35546875,8.90625,182.609375,248.3046875,660.41015625
12,3.36328125,9.48828125,9.35546875,8.90625,185.015625,252.4375,660.73046875
13,3.36328125,9.48828125,9.35546875,8.90625,189.015625,256.4375,660.87109375
14,3.36328125,9.48828125,9.35546875,8.90625,191.06640625,260.4375,660.9609375
15,3.36328125,9.48828125,9.35546875,8.90625,195.19921875,264.48046875,661.03515625
16,3.36328125,9.48828125,9.35546875,8.90625,199.19921875,268.48046875,661.2109375
17,3.36328125,9.48828125,9.35546875,8.90625,203.19921875,272.48046875,661.3671875
18,3.36328125,9.48828125,9.35546875,8.90625,205.19921875,278.48046875,661.49609375
19,3.36328125,9.48828125,9.35546875,8.90625,209.23046875,282.48046875,661.5703125
20,3.36328125,9.48828125,9.35546875,8.90625,211.30078125,286.52734375,661.6328125
21,3.36328125,9.48828125,9.35546875,8.90625,215.30078125,290.52734375,661.65625
22,3.36328125,9.48828125,9.35546875,8.90625,217.30078125,294.52734375,661.765625
23,3.36328125,9.48828125,9.35546875,8.90625,221.30078125,298.5859375,661.88671875
24,3.36328125,9.48828125,9.35546875,8.90625,223.30078125,302.5859375,662.0390625
25,3.36328125,9.48828125,9.35546875,8.90625,227.421875,306.5859375,662.12109375
26,3.36328125,9.48828125,9.35546875,8.90625,229.421875,310.5859375,662.328125
27,3.36328125,9.48828125,9.35546875,8.90625,233.421875,316.5859375,662.328125
28,3.36328125,9.48828125,9.35546875,8.90625,235.54296875,320.5859375,662.39453125
29,3.36328125,9.48828125,9.35546875,8.90625,239.54296875,324.6953125,662.4765625
30,3.36328125,9.48828125,9.35546875,8.90625,241.54296875,328.6953125,662.4765625
31,3.36328125,9.48828125,9.35546875,8.90625,243.54296875,332.6953125,662.61328125
32,3.36328125,9.48828125,9.35546875,8.90625,247.54296875,336.6953125,662.69140625
33,3.36328125,9.48828125,9.35546875,8.90625,249.58984375,340.6953125,662.69140625
34,3.36328125,9.48828125,9.35546875,8.90625,253.58984375,344.6953125,662.76953125
35,3.36328125,9.48828125,9.35546875,8.90625,255.58984375,348.6953125,662.9765625
36,3.36328125,9.48828125,9.35546875,8.90625,259.58984375,354.79296875,662.9765625
37,3.36328125,9.48828125,9.35546875,8.90625,261.58984375,358.79296875,663.08203125
38,3.36328125,9.48828125,9.35546875,8.90625,265.58984375,362.81640625,663.08203125
39,3.36328125,9.48828125,9.35546875,8.90625,267.58984375,366.81640625,663.08203125
40,3.36328125,9.48828125,9.35546875,8.90625,271.58984375,370.81640625,663.1015625
41,3.36328125,9.48828125,9.35546875,8.90625,273.58984375,374.83203125,663.1015625
42,3.36328125,9.48828125,9.35546875,8.90625,277.58984375,378.83203125,663.1015625
43,3.36328125,9.48828125,9.35546875,8.90625,279.69140625,382.94140625,663.1015625
44,3.36328125,9.48828125,9.35546875,8.90625,283.69140625,386.94140625,663.1015625
45,3.36328125,9.48828125,9.35546875,8.90625,285.69140625,392.94140625,663.2109375
46,3.36328125,9.48828125,9.35546875,8.90625,289.69140625,396.94140625,663.2734375
47,3.36328125,9.48828125,9.35546875,8.90625,291.69140625,400.94140625,663.3046875
48,3.36328125,9.48828125,9.35546875,8.90625,295.69140625,404.94140625,663.3046875
49,3.36328125,9.48828125,9.35546875,8.90625,299.84375,408.94140625,663.375
50,3.36328125,9.48828125,9.35546875,8.90625,303.84375,413.1328125,663.375
51,3.36328125,9.48828125,9.35546875,8.90625,306.21875,419.359375,663.48828125
52,3.36328125,9.48828125,9.35546875,8.90625,310.21875,423.359375,663.58984375
53,3.36328125,9.48828125,9.35546875,8.90625,312.265625,427.359375,663.58984375
54,3.36328125,9.48828125,9.35546875,8.90625,316.265625,433.359375,663.58984375
55,3.36328125,9.48828125,9.35546875,8.90625,318.4140625,437.359375,663.7421875
56,3.36328125,9.48828125,9.35546875,8.90625,322.4140625,441.359375,663.83984375
57,3.36328125,9.48828125,9.35546875,8.90625,324.4140625,445.359375,663.8671875
58,3.36328125,9.48828125,9.35546875,8.90625,328.4140625,449.359375,663.8671875
59,3.36328125,9.48828125,9.35546875,8.90625,330.4140625,453.4765625,663.93359375
60,3.36328125,9.48828125,9.35546875,8.90625,334.4140625,457.4765625,663.93359375
61,3.36328125,9.48828125,9.35546875,8.90625,336.4140625,461.51171875,664.015625
62,3.36328125,9.48828125,9.35546875,8.90625,338.4140625,465.51171875,664.08984375
63,3.36328125,9.48828125,9.35546875,8.90625,342.4140625,471.51171875,664.08984375
64,3.36328125,9.48828125,9.35546875,8.90625,344.4140625,475.51171875,664.12109375
65,3.36328125,9.48828125,9.35546875,8.90625,348.4140625,479.62109375,664.28125
66,3.36328125,9.48828125,9.35546875,8.90625,350.4453125,483.62109375,664.28125
67,3.36328125,9.48828125,9.35546875,8.90625,354.4453125,487.640625,664.32421875
68,3.36328125,9.48828125,9.35546875,8.90625,356.453125,491.640625,664.32421875
69,3.36328125,9.48828125,9.35546875,8.90625,360.453125,495.640625,664.32421875
70,3.36328125,9.48828125,9.35546875,8.90625,362.453125,499.640625,664.4453125
71,3.36328125,9.48828125,9.35546875,8.90625,366.453125,505.640625,664.4453125
72,3.36328125,9.48828125,9.35546875,8.90625,368.453125,509.640625,664.4453125
73,3.36328125,9.48828125,9.35546875,8.90625,372.453125,513.640625,664.6328125
74,3.36328125,9.48828125,9.35546875,8.90625,374.453125,517.640625,664.6328125
75,3.36328125,9.48828125,9.35546875,8.90625,378.453125,521.640625,664.6484375
76,3.36328125,9.48828125,9.35546875,8.90625,380.453125,533.6953125,664.6484375
77,3.36328125,9.48828125,9.35546875,8.90625,384.453125,533.6953125,664.6484375
78,3.36328125,9.48828125,9.35546875,8.90625,386.453125,533.6953125,664.6484375
79,3.36328125,9.48828125,9.35546875,8.90625,390.453125,533.6953125,664.7265625
80,3.36328125,9.48828125,9.35546875,8.90625,392.453125,533.6953125,664.7265625
81,3.36328125,9.48828125,9.35546875,8.90625,396.453125,533.6953125,664.7265625
82,3.36328125,9.48828125,9.35546875,8.90625,398.453125,533.6953125,664.76953125
83,3.36328125,9.48828125,9.35546875,8.90625,402.453125,533.6953125,664.83203125
84,3.36328125,9.48828125,9.35546875,8.90625,404.64453125,533.6953125,665.08203125
85,3.36328125,9.48828125,9.35546875,8.90625,408.64453125,533.6953125,665.16796875
86,3.36328125,9.48828125,9.35546875,8.90625,410.64453125,533.77734375,665.16796875
87,3.36328125,9.48828125,9.35546875,8.90625,414.64453125,533.77734375,665.16796875
88,3.36328125,9.48828125,9.35546875,8.90625,416.64453125,533.77734375,665.16796875
89,3.36328125,9.48828125,9.35546875,8.90625,420.64453125,533.77734375,665.16796875
90,3.36328125,9.48828125,9.35546875,8.90625,422.64453125,533.77734375,665.16796875
91,3.36328125,9.48828125,9.35546875,8.90625,424.64453125,533.77734375,665.16796875
92,3.36328125,9.48828125,9.35546875,8.90625,428.64453125,533.77734375,665.16796875
93,3.36328125,9.48828125,9.35546875,8.90625,430.64453125,533.77734375,665.16796875
94,3.36328125,9.48828125,9.35546875,8.90625,434.64453125,533.77734375,665.16796875
95,3.36328125,9.48828125,9.35546875,8.90625,436.64453125,533.77734375,665.16796875
96,3.36328125,9.48828125,9.35546875,8.90625,440.64453125,533.77734375,665.16796875
97,3.36328125,9.48828125,9.35546875,8.90625,442.64453125,533.8671875,665.16796875
98,3.36328125,9.48828125,9.35546875,8.90625,446.734375,533.8671875,665.16796875
99,3.36328125,9.48828125,9.35546875,8.90625,448.734375,533.8671875,665.16796875
100,3.36328125,9.48828125,9.35546875,8.90625,452.734375,533.8671875,665.16796875
101,3.36328125,9.48828125,9.35546875,8.90625,454.734375,533.8671875,665.22265625
102,3.36328125,9.48828125,9.35546875,8.90625,458.734375,533.8671875,665.22265625
103,3.36328125,9.48828125,9.35546875,8.90625,460.734375,533.8671875,665.22265625
104,3.36328125,9.48828125,9.35546875,8.90625,464.734375,533.8671875,665.30859375
105,3.36328125,9.48828125,9.35546875,8.90625,466.734375,533.8671875,665.30859375
106,3.36328125,9.48828125,9.35546875,8.90625,470.734375,533.8671875,665.30859375
107,3.36328125,9.48828125,9.35546875,8.90625,472.734375,533.8671875,665.30859375
108,3.36328125,9.48828125,9.35546875,8.90625,476.734375,533.8671875,665.30859375
109,3.36328125,9.48828125,9.35546875,8.90625,478.734375,533.8671875,665.40625
110,3.36328125,9.48828125,9.35546875,8.90625,482.7421875,533.93359375,665.40625
111,3.36328125,9.48828125,9.35546875,8.90625,484.7421875,533.93359375,665.40625
112,3.36328125,9.48828125,9.35546875,8.90625,488.7421875,533.93359375,665.40625
113,3.36328125,9.48828125,9.35546875,8.90625,490.7421875,533.93359375,665.54296875
114,3.36328125,9.48828125,9.35546875,8.90625,494.7421875,533.93359375,665.54296875
115,3.36328125,9.48828125,9.35546875,8.90625,496.7421875,533.93359375,665.54296875
116,3.36328125,9.48828125,9.35546875,8.90625,500.7421875,533.93359375,665.67578125
117,3.36328125,9.48828125,9.35546875,8.90625,502.76171875,533.93359375,665.72265625
118,3.36328125,9.48828125,9.35546875,8.90625,504.76171875,533.93359375,665.72265625
119,3.36328125,9.48828125,9.35546875,8.90625,504.76171875,533.93359375,665.75
120,3.36328125,9.48828125,9.35546875,8.90625,506.76171875,533.93359375,665.75
121,3.36328125,9.48828125,9.35546875,8.90625,508.76171875,533.93359375,665.9375
122,3.36328125,9.48828125,9.35546875,8.90625,510.76171875,533.93359375,665.9375
