Trial,mri-1.8.7,mri-2.3.3,ruby+omr,rtl-mjit,jruby-1.7.27,jruby-9.1.13,truffleruby-0.30.2
1,0.000115103,0.000103378,0.000117496,0.000119812,6.1115e-05,8.4885e-05,0.000154745
2,0.027763834,0.021457448,0.024721177,0.024874627,0.055170609,0.094144448,0.47377718
3,0.04890069,0.044018128,0.04922146,0.046940889,0.08411227,0.185621361,0.896502018
4,0.070428454,0.056703619,0.062385017,0.058977678,0.101483738,0.266722141,1.135394586
5,0.084080828,0.067289845,0.072277466,0.068936196,0.114392124,0.313907484,1.231781565
6,0.100949739,0.076433927,0.081184131,0.078716809,0.126944484,0.345202362,1.312277775
7,0.116162054,0.08509476,0.091061606,0.088403816,0.139730632,0.371824714,1.378560926
8,0.133404032,0.094432507,0.100344969,0.097798323,0.150624037,0.397784636,1.43906301
9,0.147614002,0.104147836,0.110665024,0.107442161,0.162850262,0.421596799,1.500834056
10,0.164837615,0.114579672,0.119936754,0.116956264,0.175734463,0.43427354,1.558336253
11,0.182138025,0.124928612,0.129668735,0.12745873,0.210526954,0.446929153,1.621369416
12,0.196448267,0.139959482,0.139754487,0.137232687,0.238685674,0.45943338,1.697734994
13,0.212210069,0.150088642,0.150774072,0.146676791,0.265901136,0.473530686,1.75130854
14,0.229304979,0.160727325,0.161569519,0.157589821,0.283915713,0.489460915,1.798413812
15,0.244728534,0.170217234,0.171962547,0.167992157,0.299291813,0.504811031,1.837519971
16,0.261638994,0.179416687,0.188475504,0.178521877,0.313318985,0.521040174,1.87613357
17,0.276024816,0.189385244,0.201233703,0.189585801,0.32423211,0.534289904,1.916900386
18,0.292221565,0.199086649,0.211419178,0.204182991,0.335108058,0.547895757,1.956243896
19,0.307522781,0.208682076,0.220707274,0.214283164,0.345468429,0.563340519,1.990177559
20,0.322655154,0.217070705,0.230639318,0.224534582,0.356238113,0.579691678,2.020665585
21,0.337685534,0.225514536,0.240330443,0.235225299,0.367854713,0.594783651,2.046114182
22,0.353645921,0.235298949,0.250450268,0.245151977,0.381401738,0.608788352,2.076159768
23,0.369280269,0.244895582,0.260773173,0.256193223,0.395463099,0.621044398,2.106046994
24,0.383463581,0.254536776,0.270585591,0.267635375,0.407982991,0.632736953,2.13774698
25,0.399906778,0.264042112,0.280724784,0.277791763,0.421168305,0.645304832,2.163915382
26,0.41573383,0.273831295,0.290684164,0.288223221,0.435309456,0.657411792,2.190451268
27,0.430359083,0.283004838,0.300976719,0.2985617,0.44840505,0.669126388,2.233084147
28,0.443954326,0.293723255,0.31099781,0.309354406,0.462393391,0.681886095,2.255228951
29,0.460079244,0.303381181,0.321203185,0.31933588,0.475873563,0.694596411,2.278992137
30,0.473808602,0.312834904,0.331908899,0.329342819,0.489858075,0.708987287,2.302567408
31,0.489322559,0.322430113,0.342102632,0.34006155,0.504333272,0.727440984,2.325886647
32,0.50345573,0.332218704,0.352292104,0.350790835,0.518590093,0.74421069,2.345817758
33,0.517167896,0.342099273,0.362949495,0.3608435,0.531641408,0.763026717,2.369261568
