Trial,mri-1.8.7,mri-2.3.3,ruby+omr,rtl-mjit,jruby-1.7.27,jruby-9.1.13,truffleruby-0.30.2
1,0.015930553,0.010357917,0.013218718,0.013367319,0.046002547,0.087766855,0.46608291
2,0.020786753,0.008927037,0.009252576,0.009235637,0.019600644,0.081668277,0.402178657
3,0.021065406,0.011182364,0.011132164,0.010661776,0.016097267,0.079431015,0.234335706
4,0.013325161,0.008123889,0.007568978,0.008148724,0.011551797,0.045597863,0.092963697
5,0.016236072,0.00679637,0.006599019,0.006785697,0.011219417,0.029687469,0.076993888
6,0.014773797,0.006473557,0.007746907,0.007250333,0.011253629,0.025252315,0.062867422
7,0.016790992,0.006623,0.007170376,0.00741486,0.009227187,0.023705557,0.056630278
8,0.013750791,0.006866645,0.007032766,0.007257211,0.010713921,0.022047405,0.057625951
9,0.016771483,0.007601632,0.006749884,0.006667778,0.010204217,0.010625093,0.053957855
10,0.016657111,0.007193774,0.007392041,0.007843535,0.032730793,0.010943681,0.058468244
11,0.013979223,0.006485981,0.007549847,0.007353344,0.025353068,0.010878824,0.073243659
12,0.015151761,0.00826578,0.007413973,0.006947686,0.024586765,0.012035696,0.049401863
13,0.016731138,0.00809869,0.007468957,0.007113198,0.015724591,0.012788435,0.043524517
14,0.015061559,0.006747541,0.00732017,0.007118827,0.013234606,0.012960766,0.035123394
15,0.016530414,0.007013353,0.007464665,0.007452609,0.009171629,0.012876075,0.034900927
16,0.01390791,0.007220711,0.010984741,0.007840372,0.00906472,0.011137687,0.034763674
17,0.015809258,0.007090093,0.006723318,0.007643899,0.009053325,0.012131171,0.035606163
18,0.014955587,0.007238433,0.007258385,0.007824019,0.008697999,0.012636892,0.029185168
19,0.014577355,0.006233178,0.006900387,0.007825693,0.008819099,0.012812652,0.026563478
20,0.014656636,0.006277401,0.006948828,0.007578635,0.008398901,0.011948473,0.021413567
21,0.015505191,0.006920936,0.007206345,0.006432127,0.010092792,0.012383297,0.025066188
22,0.015266476,0.00715267,0.00780944,0.008131993,0.010870716,0.009801318,0.025125853
23,0.013772006,0.007275462,0.00722065,0.007216933,0.009196623,0.010125851,0.025582516
24,0.016021359,0.007234076,0.007144999,0.007469963,0.010218619,0.010745308,0.022707484
25,0.015485582,0.007057606,0.007085238,0.007353106,0.010147125,0.010381109,0.022497822
26,0.014270845,0.006505601,0.007349135,0.007243086,0.010071979,0.009900795,0.039928075
27,0.013154334,0.007979296,0.00698788,0.007764143,0.010830679,0.010653083,0.018615738
28,0.015792021,0.006981413,0.007692397,0.007233454,0.010532953,0.010389211,0.019964274
29,0.013186485,0.007147332,0.007695886,0.007196877,0.009983111,0.01152347,0.019945995
30,0.015142842,0.006956649,0.007285442,0.007885296,0.01096473,0.013857745,0.019302624
