Trial,mri-1.8.7,mri-2.3.3,ruby+omr,rtl-mjit,jruby-1.7.27,jruby-9.1.13,truffleruby-0.30.2
1,60.4765625,49.56640625,77.01171875,59.96484375,307.953125,381.22265625,863.11328125
2,61.2734375,89.51171875,89.98046875,79.01953125,388.1171875,543.296875,1023.59765625
3,62.80859375,106.26953125,89.98046875,97.05078125,488.12109375,549.3828125,1166.96875
4,62.80859375,106.52734375,107.8671875,97.30859375,498.12109375,565.3828125,1215.8046875
5,62.80859375,106.52734375,107.8671875,97.30859375,510.1796875,581.44921875,1282.125
6,62.80859375,106.52734375,88.89453125,97.33203125,520.203125,651.8046875,1360.453125
7,62.80859375,106.52734375,88.89453125,97.33203125,536.3046875,651.8046875,1390.4609375
8,62.80859375,106.52734375,88.89453125,78.2734375,552.3203125,651.87890625,1457.234375
9,62.80859375,106.52734375,108.01953125,78.2734375,552.3203125,651.87890625,1541.37109375
10,62.80859375,106.52734375,88.546875,78.2734375,556.42578125,654.00390625,1569.37109375
11,62.80859375,106.52734375,88.546875,78.2734375,556.42578125,654.00390625,1661.58203125
12,62.80859375,114.8359375,88.546875,78.2734375,556.42578125,654.00390625,1691.71484375
13,62.80859375,114.8359375,88.546875,78.2734375,556.49609375,654.00390625,1805.83984375
14,62.80859375,114.8359375,88.546875,78.2734375,556.5859375,654.0078125,1871.83984375
15,62.80859375,114.8359375,88.546875,78.2734375,556.5859375,654.0078125,1902.92578125
16,62.80859375,114.8359375,88.546875,78.2734375,560.5859375,654.0078125,1987.4296875
17,62.80859375,114.8359375,88.546875,78.2734375,560.640625,654.0078125,2041.625
18,62.80859375,114.8359375,88.546875,78.2734375,560.640625,654.1015625,2111.671875
19,62.80859375,114.8359375,88.546875,78.2734375,560.640625,654.1015625,2173.01953125
20,62.80859375,114.8359375,88.546875,78.2734375,579.52734375,654.1015625,2205.4140625
21,62.80859375,114.8359375,88.546875,78.2734375,579.52734375,654.1015625,2270.75
22,62.80859375,114.8359375,88.546875,78.2734375,579.54296875,654.1015625,2270.75
23,62.80859375,114.8359375,88.546875,78.2734375,579.54296875,654.1015625,2270.75
24,62.80859375,114.8359375,88.546875,78.2734375,599.54296875,654.1015625,2271.0078125
25,62.80859375,114.83984375,88.546875,78.2734375,599.54296875,654.1015625,2271.0078125
26,62.80859375,114.83984375,88.546875,78.2734375,599.54296875,654.3515625,2271.01953125
27,62.80859375,114.83984375,88.546875,78.2734375,599.54296875,654.3515625,2271.01953125
28,62.80859375,114.83984375,88.546875,78.2734375,600.46484375,654.4921875,2271.0234375
29,62.80859375,114.83984375,107.91796875,97.33203125,622.46484375,654.4921875,2271.26171875
30,62.80859375,114.83984375,88.546875,77.83203125,622.46484375,654.44140625,2271.26171875
31,62.80859375,114.83984375,88.546875,77.83203125,622.46484375,654.5859375,2271.26171875
32,62.80859375,114.83984375,88.546875,77.83203125,622.46484375,654.5859375,2271.26171875
33,62.80859375,114.83984375,88.546875,77.83203125,656.46484375,654.5859375,2271.26171875
34,62.80859375,114.83984375,88.546875,77.83203125,656.46484375,654.5859375,2271.26171875
35,62.80859375,114.83984375,88.546875,77.83203125,656.46484375,654.5859375,2271.26171875
36,62.80859375,114.83984375,88.546875,77.83203125,656.46484375,654.5859375,2271.26171875
37,62.80859375,114.83984375,88.546875,77.83203125,656.46484375,654.5859375,2271.26171875
38,62.80859375,114.83984375,88.546875,77.83203125,656.54296875,654.5859375,2271.26171875
39,62.80859375,114.83984375,88.546875,77.83203125,660.6953125,654.5859375,2271.26171875
40,62.80859375,114.83984375,88.546875,77.83203125,660.6953125,654.5859375,2271.265625
41,62.80859375,114.83984375,88.546875,77.83203125,660.6953125,654.5859375,2271.3984375
42,62.80859375,114.83984375,88.546875,77.83203125,660.6953125,654.7890625,2271.3984375
43,62.80859375,114.83984375,88.546875,77.83203125,660.6953125,654.7890625,2271.3984375
44,62.80859375,114.83984375,88.546875,77.83203125,660.6953125,654.7890625,2271.3984375
45,62.80859375,114.83984375,88.546875,77.83203125,660.6953125,654.7890625,2271.3984375
46,62.80859375,114.83984375,88.546875,77.83203125,660.6953125,654.7890625,2271.3984375
47,62.80859375,114.83984375,107.91796875,97.15234375,660.6953125,662.7890625,2271.40234375
48,62.80859375,114.83984375,88.546875,77.84375,660.6953125,662.7890625,2271.40234375
49,62.80859375,114.83984375,88.546875,77.84375,660.78515625,662.7890625,2271.40234375
50,62.80859375,114.83984375,88.546875,77.84375,660.78515625,663.04296875,2271.40234375
51,62.80859375,114.83984375,88.546875,77.84375,660.78515625,663.04296875,2271.65234375
52,62.80859375,114.83984375,88.546875,77.84375,660.78515625,663.40625,2271.65234375
53,62.80859375,114.83984375,88.546875,77.84375,660.78515625,663.40625,2271.859375
54,62.80859375,114.83984375,88.546875,77.84375,660.78515625,663.40625,2271.859375
55,62.80859375,114.83984375,88.546875,77.84375,660.78515625,663.40625,2271.859375
56,62.80859375,114.83984375,88.546875,77.84375,660.79296875,663.8359375,2271.90625
57,62.80859375,114.83984375,88.546875,77.84375,661.03125,663.8359375,2271.90625
58,62.80859375,114.83984375,88.546875,77.84375,661.03125,663.8359375,2271.90625
59,62.80859375,114.83984375,88.546875,77.84375,661.09375,663.8359375,2271.90625
60,62.80859375,114.83984375,88.546875,77.84375,661.09375,663.8359375,2271.90625
61,62.80859375,114.83984375,88.546875,77.84375,661.09375,664.31640625,2271.96875
62,62.80859375,114.83984375,88.546875,77.84375,681.09375,664.31640625,2271.96875
63,62.80859375,114.83984375,88.546875,77.84375,681.09375,664.31640625,2271.96875
64,62.80859375,114.84375,88.546875,77.84375,681.09375,664.31640625,2288.84375
65,62.80859375,114.84375,107.91796875,77.84375,681.09375,664.31640625,2288.84375
