Trial,mri-1.8.7,mri-2.3.3,ruby+omr,rtl-mjit,jruby-1.7.27,jruby-9.1.13,truffleruby-0.30.2
1,4.6385e-05,0.000144456,0.000134439,0.000147185,0.000115655,0.000124304,9.0931e-05
2,5.626462746,2.668329343,2.110694154,2.130120604,2.113061288,2.936945028,7.24687889
3,11.258785339,5.30492609,4.193738183,4.256047709,4.230145989,5.893962336,14.310437308
4,16.643999103,7.919066069,6.279454761,6.360098548,6.672989893,8.74450594,20.046595783
5,22.073693763,10.544765497,8.387691054,8.471455064,8.760884219,11.59726877,24.379501998
6,27.42374584,13.164999583,10.487450814,10.580866637,10.877147712,14.5361963,28.826936935
7,32.79126618,15.789766316,12.56587473,12.708673739,12.964672757,17.470469634,33.147373232
8,38.113108719,18.420298134,14.634588128,14.788198056,15.083762537,20.342975201,37.470827896
9,43.460365544,21.068041588,16.71546302,16.866706159,17.192314161,23.254517522,41.870737436
10,48.788758876,23.678499868,18.844589931,18.974291219,19.267153908,26.162228146,46.211229568
11,54.163051947,26.278246652,20.95930702,21.063995916,21.372544467,29.056977217,50.517521397
12,59.505007972,28.885679719,23.054341276,23.149026777,23.44166491,31.896819378,54.890979289
13,64.449217587,31.501093342,25.171047463,25.25838745,25.525843202,34.768013282,59.184690515
14,69.749934229,34.118332526,27.284909138,27.369481789,27.603324658,37.598652321,63.594309354
15,75.046139378,36.773152573,29.356558572,29.474583108,29.679063201,40.463266362,67.920618793
16,80.366209365,39.434716428,31.419893263,31.55010989,31.765012342,43.362104465,72.283476836
17,85.700362993,42.097724153,33.517389742,33.645600753,33.917783189,46.198628738,76.607209536
18,91.040030764,44.705715494,35.607959196,35.773836254,36.072585849,49.097377042,80.915850578
19,96.392246803,47.32775364,37.701282496,37.923211266,38.230496547,52.183239916,85.360325867
20,101.53230948,49.951053309,39.774577307,40.060589599,40.302270984,55.095762194,89.713069262
21,106.916141273,52.588585801,41.850110993,42.154664708,42.413178194,57.959780686,94.051682759
22,112.219372265,55.189422365,43.956140097,44.284510528,44.516622745,60.819373516,98.580116557
23,117.525833266,57.795594118,46.03290109,46.384399037,46.626681398,63.653149706,102.865452018
24,122.822673221,60.422815216,48.120147277,48.46350125,48.69880488,66.515762081,107.164702776
25,128.120836707,63.056076651,50.193161571,50.561389122,50.820542003,69.35964843,111.441294931
26,133.512185489,65.667738826,52.275207905,52.637286925,52.880362398,72.262965754,115.748090041
27,138.357815943,68.268025223,54.345931726,54.750971954,54.97897368,75.11767253,120.016455451
28,143.538385568,70.873744078,56.440493448,56.890230778,57.071034941,78.020315023,124.317040935
29,148.310787638,73.471886303,58.524588407,58.980521628,59.169684371,80.909830229,128.619347951
30,153.656207068,76.117543158,60.593703252,61.100351326,61.274132812,83.736475592,132.932473359
31,159.014988089,78.714528147,62.682714871,63.196886199,63.390086136,86.632936907,137.250472665
32,164.372320256,81.332554687,64.747405913,65.294346187,65.4585781,89.456222711,141.558022376
33,169.686141797,83.953958219,66.835415139,67.411437856,67.56092012,92.335050808,145.877505056
34,175.034555143,86.567345447,68.910002931,69.521157947,69.69136888,95.198762146,150.186505716
35,180.35110148,89.180448038,70.995345534,71.642357975,71.762906994,98.058681521,154.596785162
36,185.739997904,91.825314985,73.085167868,73.744979887,73.898074111,100.900945539,158.893546305
37,191.077645349,94.445761425,75.187871315,75.848279661,75.983421203,103.751248306,163.300079404
38,196.453045196,97.064490034,77.285074412,77.929414841,78.096172203,106.678151651,167.584460388
39,201.333917411,99.73130803,79.397891344,80.037130044,80.188081806,109.541232683,171.868899843
40,206.581876911,102.341081882,81.502019209,82.142989014,82.294745502,112.416316944,176.25151645
41,211.922479932,104.950469534,83.590026885,84.257330448,84.371256697,115.247802242,180.528320487
42,217.266948584,107.584367598,85.667808882,86.362248274,86.444418516,118.102357103,184.850529289
43,222.609161666,110.241190093,87.8183384,88.469453393,88.531802732,120.961474389,189.381678142
44,227.928191479,112.852657913,89.92008679,90.57365338,90.602757697,123.800851439,193.694453774
45,233.242004479,115.501092721,92.00393875,92.672150074,92.673495795,126.695969659,197.973561663
46,238.617299094,118.103472298,94.109661331,94.784055814,94.75467495,129.545997461,202.266165994
47,243.912056216,120.704376698,96.236032014,96.93328403,96.849758971,132.380384687,206.609761392
48,249.043194081,123.309922079,98.346239294,99.078782256,98.963531841,135.226779814,210.901903015
49,254.373763508,125.92223499,100.449720189,101.201230059,101.042331952,138.049906937,215.15588701
50,259.723887796,128.534424074,102.578469801,103.358597131,103.100297104,140.921148122,219.436437395
51,265.025271827,131.136644952,104.711338157,105.450192518,105.170693379,143.771376865,223.715588258
52,270.386764569,133.746352979,106.817885623,107.578554341,107.255922793,146.70921599,227.984756219
53,275.73750118,136.37126532,108.901319598,109.684794768,109.350435984,149.584402832,232.26977192
54,281.074210179,139.002392829,110.979212645,111.780957382,111.392199783,152.437534316,236.56351621
55,286.532722952,141.615335762,113.051825571,113.886401653,113.475803522,155.287389135,240.827850632
