Trial,mri-1.8.7,mri-2.3.3,ruby+omr,rtl-mjit,jruby-1.7.27,jruby-9.1.13,truffleruby-0.30.2
1,5.619025349,2.653062704,2.094051497,2.112699013,2.105149541,2.922443499,7.232111138
2,5.632044875,2.618437292,2.068044486,2.106685119,2.100280248,2.937708747,7.045566722
3,5.384951926,2.610327567,2.082651776,2.101544621,2.440185448,2.848195022,5.733467872
4,5.429323355,2.622163361,2.104664179,2.10878452,2.08525383,2.849269951,4.330007776
5,5.3498024,2.616937321,2.098016863,2.106401735,2.113112404,2.935419854,4.444403812
6,5.366926499,2.621798145,2.07483674,2.125441217,2.084170287,2.930557467,4.318032859
7,5.321553725,2.627777901,2.065262467,2.076993986,2.115751333,2.869332501,4.321601628
8,5.347004397,2.644426875,2.077856867,2.075769354,2.105780434,2.908665863,4.397174154
9,5.328133004,2.606638841,2.126184121,2.104829807,2.071422692,2.906222904,4.337912135
10,5.373971928,2.596725464,2.111164655,2.086861612,2.101806477,2.892836046,4.303304815
11,5.341681103,2.603065804,2.091681498,2.0822822,2.065359491,2.836757317,4.370004493
12,4.943921299,2.611779699,2.113221844,2.106862925,2.080557593,2.86805684,4.290503487
13,5.300433138,2.613617055,2.110738336,2.107694324,2.072767211,2.827517593,4.40693101
14,5.295728421,2.64951107,2.068313911,2.101760943,2.071879199,2.861387209,4.321689651
15,5.319780661,2.649163711,2.059894864,2.071687949,2.081968099,2.895617832,4.359865787
16,5.33387172,2.660386321,2.094348475,2.091446198,2.1495032,2.832687244,4.320793738
17,5.339409967,2.605205815,2.087081387,2.124493086,2.150674644,2.894708606,4.307154251
18,5.351902514,2.620848396,2.089879931,2.145178263,2.154081929,3.081880972,4.44020446
19,5.139443351,2.620404194,2.069515072,2.133438543,2.068017587,2.908318714,4.349152511
20,5.383611093,2.6346534,2.071892128,2.090010071,2.10734,2.860284252,4.335238419
21,5.302957599,2.596872943,2.102346341,2.126068692,2.100016662,2.855516196,4.524841288
22,5.306195759,2.602074524,2.072931053,2.096255047,2.106062752,2.829306688,4.281845994
23,5.29657832,2.62329905,2.083505513,2.074382129,2.069033579,2.85833018,4.295485379
24,5.297914588,2.628998844,2.069207755,2.093559046,2.11785036,2.839579372,4.274230275
25,5.391108245,2.607624553,2.078284242,2.071582234,2.056149802,2.89907637,4.30359816
26,4.845361797,2.59594048,2.067126515,2.108819075,2.094988219,2.849889139,4.264457178
27,5.180128104,2.601436412,2.090843557,2.134013593,2.088692916,2.897514479,4.295878627
28,4.772120875,2.594119733,2.079933776,2.084360735,2.094672199,2.883506337,4.298659992
29,5.34518897,2.641635139,2.06502625,2.11454598,2.099459501,2.817897552,4.309305981
30,5.358508691,2.592956058,2.08518254,2.088093061,2.110931487,2.892096188,4.31422511
31,5.357062931,2.613872471,2.060705805,2.093343306,2.064554304,2.819272899,4.303702579
32,5.313291025,2.617103845,2.084111098,2.112400659,2.09932132,2.874769431,4.315268502
33,5.348121804,2.609325232,2.070565484,2.104772141,2.126079324,2.858875334,4.302236424
34,5.316274049,2.608786703,2.080740078,2.116853873,2.066837302,2.855518431,4.406229351
35,5.388629659,2.640571868,2.084267796,2.097724518,2.130874298,2.837597198,4.292762568
36,5.337255826,2.615812475,2.098222327,2.097942184,2.081418702,2.84565314,4.40374027
37,5.375127424,2.614610417,2.092519483,2.075610377,2.108362391,2.922055802,4.279328331
38,4.880575598,2.662418811,2.108153972,2.103273879,2.087634957,2.85884173,4.279230927
39,5.247575005,2.605084795,2.099498394,2.100634596,2.101986639,2.870408483,4.377602374
40,5.340332914,2.60486001,2.083172514,2.109582664,2.071075326,2.826626308,4.272018466
41,5.343981711,2.629594793,2.072852671,2.102924402,2.068068507,2.849428242,4.317135852
42,5.341914136,2.652374312,2.144848067,2.102344007,2.082333674,2.854843974,4.52627509
43,5.318710647,2.606930777,2.095678653,2.099589383,2.066336878,2.834527681,4.306688334
44,5.313538874,2.643610783,2.078251747,2.093667085,2.06535934,2.889760021,4.272936013
45,5.374829906,2.599076119,2.098178929,2.107211557,2.075743648,2.844957361,4.284725354
46,5.294469645,2.596482762,2.121686375,2.14439769,2.089310723,2.830078026,4.338855158
47,5.13083541,2.600948515,2.105398358,2.141320508,2.106040843,2.841531849,4.287615942
48,5.330301733,2.607770564,2.099008454,2.118408292,2.074593491,2.820642189,4.250408755
49,5.349858276,2.607848148,2.124331115,2.152948063,2.053892425,2.867212132,4.276287269
50,5.300980749,2.597573059,2.128276028,2.087046353,2.065994827,2.848080247,4.274828769
51,5.361231615,2.604955284,2.102026681,2.12389111,2.080864016,2.934541988,4.264894066
52,5.350475331,2.619989775,2.078854485,2.102489154,2.090057235,2.8706151,4.280654545
53,5.336441804,2.624291471,2.073396411,2.091624891,2.036692969,2.84855844,4.289538483
54,5.458245194,2.608376032,2.06840957,2.100684888,2.078935768,2.847572233,4.259891508
55,5.323485295,2.615895359,2.069390452,2.131492586,2.104110028,2.82735178,4.24595742
56,5.084695004,2.642631057,2.081493528,2.093482041,2.079896241,2.879971129,4.277735192
57,5.304451917,2.61906372,2.07229215,2.10551966,2.102552786,2.899868284,4.228184576
58,5.284892426,2.617365199,2.061732967,2.093397287,2.168243389,2.861544994,4.254617163
59,5.318228565,2.628125657,2.084359062,2.130222409,2.052228319,2.843785944,4.286350723
