Trial,mri-1.8.7,mri-2.3.3,ruby+omr,rtl-mjit,jruby-1.7.27,jruby-9.1.13,truffleruby-0.30.2
1,7.0526e-05,0.000101416,6.3085e-05,8.1884e-05,6.9764e-05,7.0027e-05,8.995e-05
2,0.341385886,0.301327485,0.424285125,0.311698842,0.232685901,0.255335777,5.758844159
3,0.653059515,0.569453677,0.817688284,0.641292191,0.683949048,0.511616673,11.317013768
4,0.960979563,0.832000676,1.14269959,0.91225346,1.088512285,0.728205342,14.012437956
5,1.262317092,1.094984989,1.431149987,1.193529515,1.434162854,1.061337921,16.547065102
6,1.577281528,1.39025403,1.885939691,1.488720622,1.740030898,1.298926082,19.032364818
7,1.871984116,1.653645307,2.242105261,1.909449644,2.061820479,1.496280008,21.536678085
8,2.223749309,2.017182324,2.654321437,2.190262948,2.340113816,1.689590714,24.001194517
9,2.515540311,2.352332833,2.953731929,2.594308785,2.654750163,1.93385928,26.382820827
10,2.821515666,2.624093682,3.314581215,3.009219518,2.984844306,2.140804706,28.896774004
11,3.134735879,2.909067305,3.604273423,3.322677659,3.210367966,2.322515124,31.301821804
12,3.422027583,3.193040337,3.966412948,3.730619667,3.410639608,2.532989066,33.685826665
13,3.720690258,3.473791985,4.321874642,4.114753311,3.5976186,2.724347283,36.047628969
14,4.024792703,3.84330764,4.749441914,4.527403903,3.78514051,2.91736003,38.456521657
15,4.3240054,4.11732592,5.111325666,4.922597555,4.004266109,3.134702306,40.865750774
16,4.622010143,4.398614833,5.525891414,5.208284936,4.221334896,3.324265747,43.239457581
17,4.923649919,4.767088597,5.806387391,5.498233852,4.546762313,3.516741535,45.757991267
18,5.227691511,5.053356248,6.098217446,5.78860926,4.873089454,3.730055342,48.143483134
19,5.530438215,5.341942968,6.456968555,6.172121481,5.237281345,3.92908782,50.543565377
20,5.829565345,5.629992151,6.775554769,6.467925852,5.45686573,4.12248455,53.056469284
21,6.133270242,6.031343383,7.062149606,6.745718099,5.646879119,4.337521978,55.567545354
22,6.433062456,6.393038935,7.342038199,7.163102897,6.006191059,4.539351327,58.072872476
23,6.735282868,6.677554077,7.677358231,7.590495799,6.335580655,4.738190567,60.569765616
24,7.038229091,7.025864943,7.977192387,7.885996041,6.522390595,4.923900186,63.081022523
25,7.34105955,7.316905387,8.258477605,8.18559412,6.728317681,5.137086961,65.45750017
26,7.640725479,7.60029346,8.68249237,8.479293568,6.914255556,5.327110221,67.857959127
27,7.95586553,7.956921138,8.998648921,8.761189116,7.102091509,5.513668982,70.239210603
28,8.256298025,8.242134322,9.402545636,9.118772696,7.346729097,5.722298694,72.683639486
29,8.564796411,8.529152445,9.80716194,9.405116264,7.640930217,5.917558553,75.079899472
30,8.863291044,8.909079807,10.089513126,9.71439354,7.968789996,6.084833948,77.484190381
31,9.165365112,9.200062198,10.375899819,9.984348877,8.326211582,6.287169791,79.925276839
