Trial,mri-1.8.7,mri-2.3.3,ruby+omr,rtl-mjit,jruby-1.7.27,jruby-9.1.13,truffleruby-0.30.2
1,0.328044875,0.283161043,0.403327384,0.302616548,0.223721539,0.249359121,5.751676937
2,0.311295259,0.259454525,0.379072184,0.316328137,0.440026378,0.248002249,5.550248415
3,0.307386789,0.261306286,0.323296933,0.268818903,0.402650688,0.21542458,2.694261824
4,0.301004974,0.260976553,0.286910777,0.279115132,0.343682231,0.331813328,2.532733401
5,0.314684681,0.293334894,0.453398674,0.293565282,0.304117157,0.236127932,2.483295532
6,0.294387531,0.261664748,0.354192992,0.418685955,0.319634162,0.195109959,2.502572554
7,0.351389493,0.361814037,0.410037637,0.2791167,0.27625118,0.190994981,2.46269075
8,0.291540192,0.333204314,0.29796206,0.402312559,0.313122358,0.241894763,2.380069174
9,0.305705331,0.26966874,0.358907815,0.41155122,0.327908391,0.201844555,2.512131817
10,0.312960822,0.282730963,0.287436136,0.311248794,0.223138716,0.179189515,2.403140262
11,0.286985567,0.281819133,0.359790856,0.405860043,0.197779798,0.207852181,2.381844066
12,0.29836097,0.278713906,0.353759807,0.380325259,0.184564376,0.188691286,2.359313114
13,0.303827568,0.367846877,0.425043783,0.409131375,0.185087109,0.190288096,2.40637884
14,0.298909054,0.271515852,0.359562738,0.39302326,0.216705626,0.214642603,2.405665339
15,0.297721442,0.279032054,0.412209367,0.283485289,0.21464143,0.186683541,2.370949823
16,0.30136432,0.365937625,0.278183786,0.287865367,0.323069944,0.187988075,2.516009953
17,0.303824733,0.28290421,0.289552726,0.288145496,0.32372512,0.211308975,2.382602881
18,0.302484126,0.286777504,0.357163387,0.381717678,0.361665832,0.195199257,2.397273738
19,0.298632099,0.285520644,0.31687301,0.294141691,0.216284175,0.190025933,2.510119578
20,0.303377849,0.397897772,0.284622567,0.276178172,0.186751488,0.212208617,2.508257955
21,0.299426892,0.359639064,0.277409527,0.413898335,0.3567212,0.198163996,2.502416722
22,0.301915316,0.281719485,0.332997652,0.424900073,0.327675826,0.193188614,2.494892524
23,0.302617969,0.345251987,0.294108344,0.293743309,0.184233902,0.181517162,2.508164407
24,0.302487481,0.288051052,0.278654641,0.297392234,0.203228661,0.209187871,2.372107911
25,0.299349894,0.280351071,0.422063023,0.291160029,0.183050271,0.185995219,2.397947037
26,0.314836595,0.354461587,0.313446897,0.280118547,0.185117298,0.183182089,2.377875869
27,0.300203071,0.283075346,0.40209345,0.353950489,0.241928164,0.205170672,2.439597199
28,0.308264141,0.284897944,0.401838388,0.284495332,0.291444891,0.191572812,2.391822295
29,0.298259234,0.377743933,0.279420093,0.306768942,0.325785053,0.162741398,2.40085913
30,0.301832521,0.287731467,0.283696838,0.267113975,0.354694217,0.199183213,2.437161763
31,0.298592191,0.28734589,0.394221935,0.355863228,0.291281537,0.188548796,2.405892107
32,0.305463806,0.290869354,0.417522354,0.417928257,0.300833606,0.18452756,2.401927895
33,0.310747131,0.343032468,0.41789197,0.294910936,0.203053464,0.21426308,2.405464699
34,0.296894634,0.336431289,0.333390122,0.341484303,0.291993196,0.202831428,2.421756887
35,0.29954125,0.281033534,0.286220505,0.418444451,0.182502363,0.208545982,2.399028672
36,0.297354007,0.340338686,0.333736879,0.398228993,0.222121565,0.204253954,2.384119948
37,0.301030283,0.317062053,0.285134799,0.377367003,0.176451715,0.188204949,2.387976563
38,0.300487691,0.285485787,0.41303895,0.411546668,0.178175676,0.189214947,2.383926909
39,0.302052734,0.309366424,0.397917522,0.412012404,0.207235683,0.185270543,2.399611979
40,0.309010808,0.297195622,0.40256279,0.287868684,0.298982502,0.211517991,2.362984749
41,0.306083472,0.283133769,0.40290089,0.409667565,0.183572806,0.189578209,2.377492924
