mri-1.8.7,mri-2.3.3,ruby+omr,rtl-mjit,jruby-1.7.27,jruby-9.1.13,truffleruby-0.30.2
8.28125,9.60546875,9.86328125,9.30859375,172.47265625,214.83984375,614.55078125
8.32421875,9.57421875,9.8984375,9.1640625,171.70703125,211.08203125,684.3828125
8.35546875,9.5703125,9.91796875,9.26953125,166.4375,215.046875,661.8671875
8.296875,9.6171875,9.96875,9.34375,168.76171875,207.83984375,630.33203125
8.28125,9.546875,9.9453125,9.2734375,165.85546875,206.87109375,601.90625
8.28125,9.671875,9.96875,9.29296875,170.140625,215.5546875,655.19140625
8.47265625,9.58984375,10.0234375,9.29296875,167.9921875,214.625,684.35546875
8.27734375,9.58203125,10.015625,9.28515625,172.421875,203.84765625,594.49609375
8.296875,9.66796875,9.9296875,9.28515625,171.203125,213.27734375,658.46875
8.30859375,9.66796875,9.86328125,9.32421875,168.93359375,215.4140625,661.05078125
8.359375,9.4921875,9.8515625,9.3046875,173.3828125,220.54296875,632.89453125
8.32421875,9.60546875,9.94921875,9.2109375,167.43359375,214.5625,654.9609375
8.33203125,9.6328125,9.91796875,9.3359375,175.58984375,212.8671875,596.83203125
8.2734375,9.5859375,9.9296875,9.25390625,165.71484375,217.34375,661.40625
8.28125,9.546875,10.01171875,9.2734375,168.2734375,211.9453125,663.203125
8.375,9.61328125,9.94921875,9.27734375,171.24609375,212.25,654.75
8.296875,9.62890625,9.91015625,9.21484375,169.75,200.7734375,674.21484375
8.3046875,9.58203125,9.91015625,9.28125,168.9609375,212.3046875,667.33984375
8.3203125,9.61328125,9.9453125,9.296875,171.26171875,210.859375,681.0
8.33203125,9.57421875,9.88671875,9.30078125,168.21875,211.16015625,662.0625
8.3515625,9.671875,9.88671875,9.28515625,169.91796875,218.55859375,667.11328125
8.28515625,9.5390625,9.9453125,9.296875,162.828125,214.66796875,666.85546875
8.36328125,9.66015625,9.94921875,9.30859375,171.85546875,212.37890625,663.34765625
8.27734375,9.59765625,9.83203125,9.36328125,165.4609375,215.67578125,599.953125
8.32421875,9.58984375,9.97265625,9.26953125,168.046875,217.56640625,594.30078125
8.328125,9.5,9.953125,11.2734375,165.5703125,209.78515625,597.953125
8.3203125,9.6015625,9.91015625,9.296875,172.75390625,213.6640625,662.27734375
8.37890625,9.51953125,9.96484375,9.28515625,169.515625,217.8203125,655.45703125
8.28515625,9.56640625,9.94140625,9.1875,168.15625,212.1796875,658.07421875
8.3671875,9.55859375,9.93359375,9.33203125,175.30859375,214.1328125,600.11328125
8.296875,9.5,9.8359375,9.23828125,165.4921875,207.84765625,655.6875
8.37109375,9.6328125,10.01171875,9.2890625,174.46484375,218.74609375,669.2734375
8.3046875,9.5625,9.90234375,9.29296875,175.8984375,213.44921875,667.65234375
8.2890625,9.546875,9.99609375,9.3359375,166.71875,206.5,658.84375
8.28125,9.59375,9.98046875,9.27734375,175.76953125,204.86328125,599.4765625
8.515625,9.55078125,9.94140625,9.2890625,170.0703125,212.640625,590.0
8.2890625,9.5234375,9.96484375,9.23046875,171.640625,207.37890625,658.7890625
8.27734375,9.60546875,9.87109375,9.37890625,177.8203125,216.92578125,654.16796875
8.2734375,9.5546875,9.9296875,9.359375,185.359375,213.1328125,660.8125
8.37109375,9.5390625,9.93359375,11.21875,172.0234375,208.15625,634.71875
8.328125,9.578125,9.97265625,9.3203125,173.5859375,206.265625,662.50390625
8.30078125,9.55859375,9.9296875,9.2578125,170.50390625,210.25390625,655.3046875
8.296875,9.6328125,9.9921875,9.19140625,169.82421875,214.421875,667.42578125
8.31640625,9.59765625,9.9375,9.24609375,166.6640625,210.6796875,665.953125
8.29296875,9.5859375,9.953125,9.2890625,166.14453125,206.67578125,654.16796875
8.3125,9.62109375,9.92578125,9.2265625,170.52734375,213.7578125,664.80078125
8.37890625,9.68359375,10.02734375,9.359375,172.32421875,210.9140625,664.3046875
8.37890625,9.51171875,9.91015625,9.21875,171.68359375,213.41796875,666.8125
8.27734375,9.609375,9.95703125,9.30859375,170.28125,208.62890625,686.703125
8.28125,9.578125,9.84375,9.38671875,164.53125,208.01171875,654.74609375
8.34765625,9.5625,9.96875,9.33203125,173.19140625,210.828125,667.23828125
8.3125,9.58984375,9.97265625,9.3125,171.2265625,210.3984375,604.75390625
8.328125,9.578125,9.92578125,9.33203125,175.3203125,206.5625,658.59765625
8.27734375,9.625,10.0078125,9.28125,166.64453125,217.6328125,663.296875
8.3125,9.578125,9.875,9.28515625,171.36328125,207.75,597.8046875
8.3125,9.62109375,10.01171875,9.2890625,164.9765625,211.515625,653.765625
8.2890625,9.578125,10.0,9.3046875,170.15625,208.82421875,663.59375
8.3046875,9.5859375,9.921875,9.359375,169.71484375,211.2265625,664.51953125
8.2734375,9.55078125,9.8671875,9.30078125,166.52734375,205.59375,653.04296875
8.27734375,9.60546875,9.90625,9.2578125,168.828125,216.87109375,658.69921875
8.3828125,9.5625,10.01171875,9.33984375,173.37109375,208.81640625,658.8671875
8.37890625,9.58203125,9.98046875,9.19140625,166.3046875,207.58984375,666.5703125
8.015625,9.53125,9.91796875,9.2421875,176.64453125,211.33203125,656.10546875
8.2890625,9.6328125,9.91015625,9.265625,176.59375,210.921875,601.54296875
8.3828125,9.5859375,9.9765625,9.2734375,178.82421875,211.1953125,664.06640625
8.3046875,9.546875,10.00390625,9.328125,163.51953125,211.79296875,657.1171875
8.36328125,9.66015625,9.83984375,9.25,167.58203125,206.9609375,599.8125
8.3671875,9.66015625,9.98828125,9.23046875,173.203125,215.16015625,660.84765625
8.2734375,9.55078125,9.91796875,9.2890625,172.47265625,216.49609375,659.98828125
8.28125,9.5703125,9.98828125,9.3046875,177.1640625,209.93359375,599.8046875
8.3828125,9.6015625,9.86328125,9.34765625,165.25390625,208.96875,664.80859375
8.28515625,9.5234375,9.91796875,9.3203125,166.70703125,212.4921875,599.28515625
8.01953125,9.66015625,9.9453125,9.3125,173.16015625,210.5625,662.4921875
8.28125,11.5703125,9.87890625,9.20703125,169.47265625,213.55859375,660.39453125
8.078125,9.65625,9.87109375,9.25,173.36328125,211.92578125,662.0
8.3125,9.52734375,10.01171875,9.23046875,165.640625,218.22265625,670.32421875
8.02734375,9.6015625,9.91015625,9.21875,168.9921875,210.01171875,663.19921875
8.30859375,9.53515625,9.94921875,9.32421875,169.734375,208.36328125,615.67578125
8.2734375,9.546875,9.9296875,9.3359375,168.6328125,216.07421875,667.31640625
8.3203125,9.58203125,9.84765625,9.2109375,176.23046875,219.83984375,666.24609375
8.3671875,9.68359375,9.93359375,9.26953125,166.91796875,203.2578125,656.00390625
8.359375,9.63671875,9.96484375,9.16015625,170.73046875,213.42578125,653.171875
8.3046875,9.65234375,9.91015625,9.1640625,166.82421875,208.26953125,656.3828125
8.3125,9.6796875,9.91015625,9.24609375,175.4140625,214.71875,650.5625
8.3203125,9.6015625,9.9140625,9.22265625,171.69921875,213.72265625,661.4375
8.28125,9.671875,9.97265625,9.32421875,170.859375,215.0625,660.94921875
8.3046875,9.53515625,9.91015625,9.23828125,179.703125,209.8359375,661.38671875
8.0546875,9.578125,9.95703125,9.328125,170.86328125,209.50390625,603.6015625
8.328125,9.51171875,9.93359375,9.28125,170.30078125,211.96484375,673.8671875
8.3125,9.58203125,9.98046875,9.28515625,167.2578125,208.953125,665.96484375
8.28125,9.51953125,9.953125,9.23046875,171.640625,206.3203125,664.12109375
8.27734375,9.5859375,9.94921875,9.23046875,171.78125,208.5859375,663.3125
8.30859375,9.625,9.953125,9.37890625,166.08984375,205.11328125,661.01953125
8.32421875,9.57421875,9.84765625,9.2578125,170.87890625,212.91796875,663.9453125
