mri-1.8.7,mri-2.3.3,ruby+omr,rtl-mjit,jruby-1.7.27,jruby-9.1.13,truffleruby-0.30.2
0.338495255,0.329639344,0.306381491,0.314536798,2.12178725,2.546690492,5.195596897
0.332615195,0.333251377,0.327253907,0.313259974,2.02170365,2.609585051,5.555649243
0.331787493,0.341056979,0.310183796,0.30766075,2.013061746,2.537355174,5.882436013
0.329953019,0.348661185,0.301855795,0.320079763,2.01482956,2.580817739,5.307961951
0.327783428,0.3381549,0.299029233,0.315387946,2.068710693,2.55475957,5.063658468
0.336253739,0.338069937,0.315990421,0.331168425,2.128980603,2.502854543,5.383764251
0.332908153,0.329943362,0.311138911,0.301883591,2.000467057,2.467238645,5.773739052
0.328029157,0.334147402,0.311983858,0.306509443,2.020442327,2.544553977,5.351087084
0.327841363,0.347274548,0.311189247,0.314664632,1.991872935,2.564393542,5.655037288
0.330431668,0.336336721,0.315105123,0.3051796,1.98278791,2.547211658,5.349390441
0.331565397,0.338629848,0.312939396,0.302141343,2.167183663,2.456578891,5.385745905
0.330153273,0.345469614,0.312556258,0.32240272,1.990003746,2.681015263,5.439027764
0.328651531,0.326404355,0.307829961,0.318708821,1.990828649,2.585900027,5.220436084
0.327342842,0.374502713,0.314129748,0.320830894,2.012974851,2.489215272,5.417825469
0.33096208,0.402664437,0.31670366,0.301493142,2.029755119,2.540078304,5.30467604
0.323126631,0.389479136,0.306680689,0.314319341,2.154046451,2.583737867,5.293603953
0.333298351,0.327109594,0.308896534,0.304411871,2.009037167,2.620951447,5.60390704
0.337236922,0.327301576,0.323511865,0.307976972,1.961084965,2.398360924,5.699767147
0.3274636,0.330315569,0.31695322,0.315207008,2.155351499,2.525837261,5.630506661
0.331223573,0.336307413,0.310591278,0.32403815,1.976969411,2.642424499,5.631984283
0.336551674,0.338321209,0.317457842,0.312646896,2.071571525,2.478429217,5.367501014
0.333162729,0.330991366,0.312704025,0.31453219,1.94953318,2.527998359,5.603281278
0.335345686,0.328138003,0.313182216,0.330038387,2.028132468,2.709241569,5.790131163
0.336992808,0.337185204,0.31364724,0.314073665,1.998402995,2.506625505,5.080763175
0.317390895,0.336895405,0.3079988,0.318132693,2.067033243,2.478044308,5.085440484
0.330207083,0.338167028,0.312110599,0.316602205,2.012910553,2.479865384,5.225047723
0.333266705,0.33773261,0.298227848,0.312603317,1.97472631,2.482537784,5.459744223
0.338975079,0.336489345,0.324784855,0.324899184,2.001302681,2.516100172,5.488673445
0.332829145,0.330327623,0.352016718,0.310201409,2.03876237,2.546922961,5.334872329
0.326988608,0.333493598,0.362325811,0.316934682,2.053234144,2.538691487,5.162352444
0.325690392,0.338422961,0.342991433,0.311802188,2.136580407,2.530195619,5.570088237
0.335082754,0.348994127,0.318361776,0.314881155,2.146641479,2.572484569,5.403570011
0.328005268,0.329013674,0.300863745,0.318800699,2.110663466,2.531403385,5.844692227
0.333929241,0.333548594,0.312139448,0.309177359,1.985004857,2.582714543,5.36172159
0.350094407,0.334830417,0.315946801,0.299547771,2.063423208,2.426796249,5.086075983
0.337445819,0.330039803,0.315349882,0.316781237,2.072128376,2.461868744,5.181158821
0.330567847,0.32708983,0.317331011,0.319584036,1.981632153,2.449345855,5.405964455
0.33644151,0.334513477,0.309905217,0.308120825,2.087818359,2.589232226,5.464863894
0.329349695,0.34182949,0.314687269,0.320090586,2.074305137,2.568254069,5.085805395
0.333308669,0.335425562,0.314640312,0.315661623,2.008334448,2.595645077,5.217127804
0.332225593,0.335623241,0.308266529,0.323186235,2.145552176,2.509665864,5.813086013
0.332293288,0.337544008,0.315762233,0.312818529,2.0359892,2.654254576,5.499106782
0.330276188,0.336847623,0.31892369,0.323253222,2.156625758,2.543850249,5.80235528
0.328347304,0.33737967,0.310754044,0.356639048,2.077162382,2.523437017,5.149645936
0.332618196,0.331234553,0.310134911,0.356758718,2.066488887,2.518420058,5.556503389
0.327986137,0.34182108,0.32064286,0.365680462,2.025449164,2.729778447,5.594505972
0.323396971,0.335659466,0.323085034,0.301965884,2.080689416,2.582560251,5.568408981
0.324316979,0.336886662,0.31901965,0.316142124,2.043809958,2.493390028,5.459974975
0.327470228,0.332491059,0.325367358,0.302769786,2.042174209,2.411810833,5.636560763
0.335692599,0.341554097,0.309343393,0.305905041,2.009235511,2.568825633,5.231518244
0.333582083,0.341190348,0.309355668,0.313029123,2.058453291,2.529793082,5.570004715
0.331770647,0.327668667,0.305993094,0.309053093,2.078222868,2.712535332,5.178652746
0.329873838,0.336086146,0.307768468,0.317639298,1.960503428,2.421646463,5.319669098
0.358887189,0.342258724,0.314370627,0.315894342,2.051853022,2.473425782,5.541064327
0.340753717,0.331086272,0.312635016,0.310510288,1.960639788,2.564490517,5.139128218
0.342533333,0.3279197,0.322370939,0.310929762,2.003284861,2.616463332,5.317717815
0.338739113,0.337723101,0.302177548,0.319882621,2.091108744,2.502770648,5.563780212
0.329225417,0.329822802,0.312610394,0.306460449,2.028482326,2.549101936,5.503370031
0.331237465,0.338135281,0.305523456,0.310860732,2.088617255,2.506916917,5.441070358
0.337046693,0.330044455,0.309931899,0.306037054,2.054489914,2.640734929,5.679141063
0.336122296,0.324786368,0.303415023,0.30975182,2.066398306,2.558416604,5.302339782
0.322035429,0.324490002,0.312127066,0.31603406,2.098001028,2.427142712,5.614480059
0.330003563,0.326199065,0.308910622,0.306073008,2.01328381,2.483931051,5.402831163
0.328480237,0.334527381,0.307970505,0.323138938,2.055862547,2.447522331,5.18672007
0.330882566,0.331567757,0.313612882,0.317584391,2.14654774,2.503060792,5.516020435
0.340212432,0.355094342,0.310811838,0.317320519,2.002576603,2.478103424,5.485559606
0.323823692,0.337625476,0.314658905,0.310351006,2.06534544,2.536866227,5.049353106
0.289435296,0.334883918,0.313150628,0.316509857,2.08310873,2.448146093,5.477410309
0.265143278,0.33533646,0.299710256,0.31732188,1.955276891,2.734484275,5.387838356
0.328768558,0.333601776,0.318172108,0.316850765,2.091856732,2.551223279,5.421702889
0.331059078,0.346064072,0.315296806,0.318936178,1.974069996,2.596105613,5.776853803
0.331061669,0.341079856,0.310356416,0.308911516,2.006125796,2.720472199,5.05677832
0.335627168,0.331861172,0.314929106,0.316473857,2.10724867,2.475949275,5.636312011
0.336115839,0.327050336,0.308824359,0.308909203,2.020044787,2.635173849,5.671249597
0.32704046,0.338236016,0.31754658,0.29898487,2.106985847,2.540206427,5.858265611
0.335287378,0.327172085,0.313625508,0.316417651,2.026825724,2.554258195,5.554173467
0.345709304,0.344737606,0.30722142,0.30697884,1.982289616,2.495045049,5.205148753
0.338108827,0.342160233,0.309981124,0.327905531,2.091726239,2.475688656,5.11603526
0.333886997,0.341980952,0.312010483,0.316680877,2.05512418,2.536123024,5.817726736
0.331252104,0.335383064,0.302132468,0.328279785,1.993368944,2.54269278,5.598397982
0.330165408,0.338851618,0.323180157,0.308353947,1.972232497,2.467843649,5.324697096
0.326715591,0.326542281,0.31016044,0.323959624,2.031155248,2.455284545,5.55910644
0.331291546,0.334434584,0.309391559,0.313705062,2.116584557,2.751258148,5.461786955
0.346664761,0.340483633,0.313507632,0.328787866,1.997605785,2.577962217,5.326752195
